ID,"FS name",FS macro region,"From","Link type","To","Description"
347,"Coastal plantation and mixed",LAC,"Water scarce area","Leads to","Reduced crop productivity/failure","Water scarcity is expected to increase in several areas due to climate change, leading to reduced coffee and fish production  in the farming system."
348,"Coastal plantation and mixed",LAC,"Water scarce area","Leads to","Water scarcity","Rapid urbanization over the past 50 years, lack of infrastructure (including rehabilitation of existing facilities) and more importantly weak governance are crucial factors that affect scarcity in a water rich region."
349,"Coastal plantation and mixed",LAC,"High prevalence of land degradation","Leads to","Increase in food insecurity","About 45% of croplands in South America and 74% in Meso-America are degraded. The arid lands are threatened by desertification and very often by droughts leading to increased food insecurity."
350,"Coastal plantation and mixed",LAC,"High poverty levels 






","Leads to","Dependence on food aid","High poverty levels in the farming system has led to critical situation in terms of food security hence leading to high dependence on food aid."
351,"Coastal plantation and mixed",LAC,"Lack of irrigation infrastructure","Leads to","Crop stress/damage/mortality","Lack of irrigation, which also depends on water supply leads to stress in crops, which can damage yields if they occur during droughts."
352,"Coastal plantation and mixed",LAC,"Reliance on rainfed agriculture","Leads to","Increase in food insecurity","Rainfed agriculture is prone to climate change impacts such as droughts hence leading to increased food insecurity."
353,"Coastal plantation and mixed",LAC,"Predominantly small-scale subsistence farming","Leads to","Loss of income","Subsistence small-scale farming is characterized by these identified challenges i.e high cost of borrowing, lack of entrepreneurship skills, inadequate infrastructure, insufficient markets, adverse climate changes and socio-cultural constraint hence leading to loss of income in the farming region."
354,"Coastal plantation and mixed",LAC,"Low level of education","Leads to","Increase in poverty","Education improves food security and reduces malnutrition. By educating citizens on agriculture and farming techniques, they become capable of growing and selling their own food. This creates a source of income as well as healthy living."
355,"Coastal plantation and mixed",LAC,"High poverty levels 






","Is mitigated by","Diversify livelihoods","Rural people in the farming should adopt diversified livelihoods strategies in order to augment incomes and reduce
consumption risks associated with primary agricultural production."
356,"Coastal plantation and mixed",LAC,"High illiteracy rates","Is mitigated by","Improve networking and knowledge exchange","High literacy level is mitigated by improving knowledge exchange through increasing the capacity of Latin American developing countries to quantify greenhouse gas emissions and develop low emissions agriculture options."
357,"Coastal plantation and mixed",LAC,"Reliance on rainfed agriculture","Is mitigated by","Invest in irrigation infrastructure","Rainfed agriculture is prone to climate change impacts such as droughts hence the need to invest in irrigation infrastructure in the farming system."
358,"Coastal plantation and mixed",LAC,"Predominantly small-scale subsistence farming","Is mitigated by","Capacity building on sustainable agricultural practices","Small scale farming should be trained on sustainable agricultural practices."
359,"Coastal plantation and mixed",LAC,"Reliance on rainfed agriculture","Is mitigated by","Implement conservation agriculture practices","Conservation agriculture (CA) such as soil and water conservation practices i.e minimum tillage has been adopted successfully in the Southern Cone region of South America to conserve water because the region is majorly dependent on rainfed agriculture."
360,"Coastal plantation and mixed",LAC,"Reliance on rainfed agriculture","Is mitigated by","Implement soil and water conservation practices","Over-reliance on rainfed agriculture needs conservation practices such as minimum or no tillage."
361,"Coastal plantation and mixed",LAC,"Weak land tenure","Is mitigated by","Land tenure reform","Strengthening land governance is critically needed in the farming system  to protect the environment and achieve gender equality."
362,"Coastal plantation and mixed",LAC,"Conflict prone area","Is mitigated by","Build capacity on advocacy","Social conflicts routinely show up as news headlines in the press throughout Latin America and the Caribbean. So, due to their prominence in the region, conflict prevention and democratic dialogue should be put at the center of the agendas of national, regional, and municipal governments."
363,"Coastal plantation and mixed",LAC,"Low access to markets","Is mitigated by","Improve access to markets","Access to the markets should be improved by investing in roads connecting the rural farmers."
364,"Coastal plantation and mixed",LAC,"Barriers to trade","Is mitigated by","Build capacity on advocacy","Regional trade agreements should be made through advocacy so as to reduce trade barriers."
365,"Coastal plantation and mixed",LAC,"High prevalence of land degradation","Is mitigated by","Implement reforestation practices","Land degradation is a globally recognized problem and restoration of degraded land is currently high on the international agenda."
366,"Coastal plantation and mixed",LAC,"Frequent bushfires","Is mitigated by","Develop/improve early warning systems","Wildfires are becoming more intense and more frequent, ravaging communities and ecosystems in their path. And therefore,assessment of existing monitoring/early warning systems (EWS) organized according to type of environmental threats should be put in place."
367,"Coastal plantation and mixed",LAC,"Water scarce area","Is mitigated by","Invest in water harvesting and storage infrastructure","Making more rainwater available to crops when most needed (capture water -rainwater harvesting, soil and water conservation-, and using it -deficit irrigation; supplementary irrigation etc."
368,"Coastal plantation and mixed",LAC,"High disease prevalence","Is mitigated by","Apply integrated pest and diseases management","High disease prevalence should be mitigated by implementing the intergrated pest and disease management practices."
369,"Coastal plantation and mixed",LAC,"Frequent bushfires","Is mitigated by","Improve climate change awareness
","World Food Programme are building the capacities of communities and governments in Central and South America to adapt to the growing challenges of climate change such as the catastrophic wildfires that  have become more frequent and impactful  as a result of environmental stressors and prolonged dry seasons."
370,"Coastal plantation and mixed",LAC,"Lack of irrigation infrastructure","Is mitigated by","Invest in irrigation infrastructure","Expanding the use of irrigation can thus increase LAC's food production, but it will require substantial additional infrastructure and capital."
371,"Coastal plantation and mixed",LAC,"High poverty levels 






","Is mitigated by","Diversify livelihoods","High poverty levels is mitigated by diversifying agricultural production. The output of this strategy is diversified food production for self-consumption and dietary diversity, and also diversified income to curb the poverty levels."
372,"Coastal plantation and mixed",LAC,"Reliance on rainfed agriculture","Is mitigated by","Adopt drought tolerant varieties






","Plant native and/or drought-tolerant coffee. They don't need water as frequently and usually will survive a dry period without watering."
373,"Coastal plantation and mixed",LAC,"Low level of education","Is mitigated by","Improve networking and knowledge exchange","Ensuring that there is free flow of information about climate change impacts among the farmers who are uneducated."
374,"Coastal plantation and mixed",LAC,"Predominantly small-scale subsistence farming","Is mitigated by","Plant multiple varieties","Small scale subsistence farmers should apart from the coffee, plant multiple crops  in the farming system."
375,"Coastal plantation and mixed",LAC,"Reliance on rainfed agriculture","Is mitigated by","Implement climate smart agriculture practices





","Climate smart practices should be enhance to cushion the smallholder farmers from the over-reliance on rainfed agriculture in the region."
376,"Coastal plantation and mixed",LAC,"Lack of irrigation infrastructure","Is mitigated by","Implement efficient water management","Lack of irrigation infrastructure should be mitigated by implementing efficient  water management structures such as, Water harvesting and storage structures."
377,"Coastal plantation and mixed",LAC,"Predominantly small-scale subsistence farming","Is mitigated by","Plant multiple crop types","Small- scale subsisitemce farming calls for the production of multiple crop types."
378,"Coastal plantation and mixed",LAC,"Lack of irrigation infrastructure","Is mitigated by","Structural adjustments","Need for the investment in infrastructural development to mitigate the lack of irrigation infrastructure in the region."
379,"Coastal plantation and mixed",LAC,"High illiteracy rates","Is mitigated by","Build climate information services","Institutions should be put in place to provide information services to the illiterate  in many Mesoamerican countries and the high primary school drop-out in the region."
380,"Coastal plantation and mixed",LAC,"Predominantly small-scale subsistence farming","Is mitigated by","Invest in agricultural research and development","Investing in Research &Development  so as to develop resistant crops and breeds suitable to predominantly small-scale subsistence farming."
381,"Coastal plantation and mixed",LAC,"Farmers engaged in agri system","Exposed to","Chronic poverty 
","Farmers in the Coastal plantation mixed are exposed to High levels of poverty and inequality , as large numbers of people are engaged in marginal, low
skilled livelihoods."
382,"Coastal plantation and mixed",LAC,"Farmers engaged in agri system","Exposed to","Food insecurity","Farmers engaged in agri system are exposed to  a pandemic of malnutrition due to the increasing food insecurity."
383,"Coastal plantation and mixed",LAC,"Area of land used","Exposed to","Loss of livelihoods","186 million of farmers under this agri system are exposed to loss of livelihoods due to climatical conditions."
384,"Dryland mixed",LAC,"Increase in drought events","Leads to","Unpredictable planting period","Increase in droughts events leads to unpredictable planting seasons."
385,"Dryland mixed",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Livestock mortalities","Extreme heat conditions leads to increase in livestock morality rates."
386,"Dryland mixed",LAC,"Increase in drought events","Leads to","Water scarcity","Prolonged droughts leads to water scarcity."
387,"Dryland mixed",LAC,"Increase in extreme rainfall events","Leads to","Increased flooding
","Extreme rainfall events cause flooding."
388,"Dryland mixed",LAC,"Shorter growing season","Leads to","Reduced crop productivity/failure","Shorter  growing season leads to lower yields or crop failure."
389,"Dryland mixed",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Reduced livestock productivity","Extreme heat also reduce livestock productivity"
390,"Dryland mixed",LAC,"Increase in average precipitation","Leads to","Increased flooding
","The potential impacts of heavy precipitation leads to heavy rains which causes increased flooding."
391,"Dryland mixed",LAC,"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Decreased precipitation leads to drought which causes reduced crop productivity."
392,"Dryland mixed",LAC,"Rising sea levels","Leads to","Soil erosion","Rising sea levels can cause destructive erosion, wetland flooding, aquifer and agricultural soil contamination with salt, and lost habitat for fish, birds, and plants."
393,"Dryland mixed",LAC,"Increase in average temperatures","Leads to","Livestock mortalities","Temperature increases between 1°C and 5°C above average have been suggested to give rise to higher mortality in grazing livestock."
394,"Dryland mixed",LAC,"Increase in dry days","Leads to","Reduced crop productivity/failure","Increase in number of dry days leads to reduced crop productivity."
395,"Dryland mixed",LAC,"Increase in tropical cyclones/hurricanes","Leads to","Increased flooding
","Tropical cyclones causes extreme flooding and strong winds."
396,"Dryland mixed",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Increase in heat stress","As heatwaves become more frequent, 2.5 million Latin American and Caribbean jobs could be lost to heat stress alone by 2030. The more direct impacts include illness and death from heat stress."
397,"Dryland mixed",LAC,"Increase in extreme rainfall events","Leads to","Reduced crop productivity/failure","Latin America and the Caribbean 2021 mega  extreme rainfall led to severe damage to crop production and infrastructure."
398,"Dryland mixed",LAC,"Increase in average precipitation","Leads to","Waterlogging","In Latin America, floods are equally intense and destructive, with an average of 27 critical events per year, affecting also the poorest states leading to waterlogged lands."
399,"Dryland mixed",LAC,"Increase in average precipitation","Leads to","Unpredictable planting period","Increase in average precipitation leads to floods worldwide, which are becoming more frequent, with shorter durations but also higher intensity leading to unpredictable planting period."
400,"Dryland mixed",LAC,"Decrease in average precipitation","Leads to","Water scarcity","Decrease in average precipitation leads to water scarcity. It becomes apparent after an observable lack of rainfall for weeks or months, whose damage affects mostly arid and semi-arid areas, and Latin America, despite being a water-abundant region."
401,"Dryland mixed",LAC,"Decrease in average precipitation","Leads to","Increase in soil water deficit","One of the causes of soil water deficit is decrease in average precipitation."
402,"Dryland mixed",LAC,"Rising sea levels","Leads to","Damage to infrastructure","Increasing sea-level rise and ocean warming are expected to continue to affect coastal livelihoods, leading to damage of infrastructure along the coastal region."
403,"Dryland mixed",LAC,"Rising sea levels","Leads to","Delays in transportation","Rise in sea levels leads to delayed transportation of goods , especially alonmg the coastal region, this is because its expected to continue to affect coastal livelihoods, tourism, health, food, energy, and water security, particularly in small islands and Central American countries."
404,"Dryland mixed",LAC,"Increase in average temperatures","Leads to","Crop stress/damage/mortality","Average temperature increase was about 0.2°C a decade between 1991 and 2021, compared to 0.1°C a decade between 1961 and 1990, hence leading to crop stress."
405,"Dryland mixed",LAC,"Increase in dry days","Leads to","Desertification","Risks from desertification are projected to increase due to climate change ,5% high in Latin America and the Caribbean caused by increased number of dry days and droughts."
406,"Dryland mixed",LAC,"Increase in tropical cyclones/hurricanes","Leads to","Landslide events","The 2021 Atlantic hurricane season saw the third highest number of named storms ever: 21, seven of them hurricanes, causing landslide events."
407,"Dryland mixed",LAC,"Increase in tropical cyclones/hurricanes","Leads to","Damage to infrastructure","Hurricanes leads to damage infrastructure. For instancve, the 2021 Atlantic hurricane season saw the third highest number of named storms ever."
408,"Dryland mixed",LAC,"Increase in average temperatures","Leads to","Increase in diseases","increase in average temperatures leads to increase in livestock and crop diseases."
409,"Dryland mixed",LAC,"Increase in dry days","Leads to","Increase in soil water deficit","Increase in the number of dry days leads to increase in soil water deficit."
410,"Dryland mixed",LAC,"Increase in drought events","Leads to","Increase in food insecurity","Increase in drought causing lower maize and cassava production, leading to increased food insecurity"
411,"Dryland mixed",LAC,"Increase in extreme rainfall events","Leads to","Loss of income","High rainfall causes poor  yields and poor livestock production which is one of the sources of income."
412,"Dryland mixed",LAC,"Increase in extreme rainfall events","Leads to","Increase in post-harvest losses","Extreme rainfall events leads to increase post-harvest losses ,especially in maize."
413,"Dryland mixed",LAC,"Increase in drought events","Leads to","Increase in migration","Drought causes both human and livestock migration in search of food and pastures."
414,"Dryland mixed",LAC,"Increase in drought events","Leads to","Increase in women's workload","Increase in drought events leads to increase in women workload .Women’s roles in agriculture have been expanding considerably, for example in agricultural labour where their average participation rate in the region jumped from 32.4%t in 1990 to 48.7 % in 2010."
415,"Dryland mixed",LAC,"Increase in drought events","Leads to","Increase in poverty","Drought also leads to poverty due to poor yields."
416,"Dryland mixed",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Increase in food imports","Extreme heat leads tolow productivity. Poor yields will lead to increase importation of food."
417,"Dryland mixed",LAC,"Decrease in average precipitation","Leads to","Increase in food insecurity","Decrease in average precipitation leads to droughts, which  have also caused significant losses in crops and livestock in the region, leading to food insecurity."
418,"Dryland mixed",LAC,"Rising sea levels","Leads to","Increase in migration","Increasing sea-level rise and ocean warming are expected to continue to affect coastal livelihoods,hence increasing migration of coastal communities to safer regions."
419,"Dryland mixed",LAC,"Increase in average temperatures","Leads to","Loss of income","The largest impact of climate change is that it could wipe off up to 18% of GDP off the worldwide economy by 2050 if global temperatures rise by 3.2°C, leading to loss of income."
420,"Dryland mixed",LAC,"Increase in average temperatures","Leads to","Increase in food prices","High temperatures could reduce agricultural production, hence leading to increased food prices due to food shortages."
421,"Dryland mixed",LAC,"Increase in dry days","Leads to","Increase in food insecurity","Drought decreases the environmental carrying capacity and productivity of the soil. Poor agricultural production leads to increased food insecurity."
422,"Dryland mixed",LAC,"Increase in tropical cyclones/hurricanes","Leads to","Increase in food insecurity","Nearly 8 million people in Guatemala, El Salvador and Nicaragua experienced high levels of food insecurity, with contributing factors including impacts from Hurricanes Eta and Iota in late 2020 and Covid."
423,"Dryland mixed",LAC,"Increase in average precipitation","Leads to","Increase in food spoilage/wastage","Increase in average precipitation leads to floods worldwide, which leads to food wastage at farm before harvest."
424,"Dryland mixed",LAC,"Increase in drought events","Leads to","Competition for resources","Increase in drought events leads to competition for natural resources."
425,"Dryland mixed",LAC,"Soil erosion","Leads to","Land degradation","Soil erosion caused by floods, agricultural activities leads to land degradation."
426,"Dryland mixed",LAC,"Land degradation","Leads to","Leaching of soil nutrients","The eroded sediments or soil are highly concentrated with crop nutrients, which are washed away from farmlands."
427,"Dryland mixed",LAC,"Leaching of soil nutrients","Leads to","Reduced crop productivity/failure","Poor soil nutrients leads to reduced crop productivity."
428,"Dryland mixed",LAC,"Increase in diseases","Leads to","Livestock mortalities","Livestock, especially cattle is susceptible to diseases leading to high mortality rates."
429,"Dryland mixed",LAC,"Increase in heat stress","Leads to","Reduced livestock productivity","Increase in heat stress reduced livestock productivity."
430,"Dryland mixed",LAC,"Damage to infrastructure","Leads to","Delays in transportation","Damage to infrastructure such as poor roads leads to delays in transportation of goods."
431,"Dryland mixed",LAC,"Loss of income","Leads to","Increase in poverty","Loss of income leads to high poverty levels among households."
432,"Dryland mixed",LAC,"Increased flooding
","Leads to","Soil salinisation","Salinization is the increase of salt concentration in soil and is, in most cases, caused by dissolved salts in the water supply. This supply of water can be caused by flooding of the land by seawater, seepage of seawater or brackish groundwater through the soil from below."
433,"Dryland mixed",LAC,"Soil salinisation","Leads to","Reduced crop productivity/failure","Salinity affects production in crops, pastures and trees by interfering with nitrogen uptake, reducing growth and stopping plant reproduction."
434,"Dryland mixed",LAC,"Increase in soil water deficit","Leads to","Reduced crop productivity/failure","The major constraints to crop production in dryland mixed farming regions in LAC are limited access to water, low soil fertility."
435,"Dryland mixed",LAC,"Reduced crop productivity/failure","Leads to","Increase in food insecurity","Nearly 4.1 million people or 57 percent of the population now face food insecurity, according to a recent survey conducted by the Caribbean."
436,"Dryland mixed",LAC,"Increase in food insecurity","Leads to","Dependence on food aid","While severe food insecurity in the region remained largely unchanged, when compared to February 2022, there has been a significant increase in households that have fallen into moderate levels of food insecurity. Overall, the number of food insecure people has increased by 1.3 million over the past six months, leading to over-dependence on food aids."
437,"Dryland mixed",LAC,"Increased flooding
","Leads to","Increase in migration","10% increase in flood frequency due to increased annual discharge in the Amazon River at Obidos , pushing people to migrate to safer spaces."
438,"Dryland mixed",LAC,"Dependence on food aid","Leads to","Increase in food imports","Dependence on import ratio: Caribbean countries are highly vulnerable. For example, in Haiti, over 30 percent of total imports are agrifood goods."
439,"Dryland mixed",LAC,"Increase in poverty","Leads to","Competition for resources","Poverty leads to cycles of further environmental degradation and ever-increasing poverty."
440,"Dryland mixed",LAC,"Competition for resources","Leads to","Land degradation","Increased demand, or pressure on land resources, shows up as declining crop production, degradation of land quality and quantity, and competition for land."
441,"Dryland mixed",LAC,"Increase in food spoilage/wastage","Leads to","Increase in food imports","Food spoilage directly impacts poor producers through foregone income and impacts poor consumers through reduced food availability, increased prices and causes increase in food imports."
442,"Dryland mixed",LAC,"Delays in transportation","Leads to","Increase in food spoilage/wastage","Delays in transportation leads to food spoilage along the value chain."
443,"Dryland mixed",LAC,"Reduced livestock productivity","Leads to","Increase in food insecurity","Livestock production will be limited by climate variability as animal water consumption is expected to increase by a factor of three, hence reducing their productivity leading to food insecurity."
444,"Dryland mixed",LAC,"Desertification","Leads to","Water scarcity","The Parana-La Plata basin drought-induced damages to agriculture reduced crop production, including soybean and corn, affecting global crop markets. In South America overall, drought conditions led to a decline of -2.6% in the 2020-2021 cereal harvest compared with the previous season."
445,"Dryland mixed",LAC,"Waterlogging","Leads to","Soil salinisation","In irrigated agricultural land, waterlogging is often accompanied by soil salinity as waterlogged soils prevent leaching of the salts imported by the irrigation water."
446,"Dryland mixed",LAC,"Water scarcity","Leads to","Reduced crop productivity/failure","In South America overall, drought conditions led to a decline of -2.6% in the 2020-2021 cereal harvest compared with the previous season."
447,"Dryland mixed",LAC,"Unpredictable planting period","Leads to","Loss of income","Unpredictable planting seasons leads to loss of income."
448,"Dryland mixed",LAC,"Crop stress/damage/mortality","Leads to","Reduced crop productivity/failure","Extreme heat does occur periodically, stressing crops and livestock and therefore reducing agricultural production."
449,"Dryland mixed",LAC,"Livestock mortalities","Leads to","Reduced livestock productivity","Substantial decline in cattle herd sizes can be due to increased mortality and forced off-take."
450,"Dryland mixed",LAC,"Increase in food prices","Leads to","Increase in food insecurity","Overall, the number of food insecure people has increased by 1.3 million over the past six months. The deterioration has been attributed to rising costs for food and other commodities, as the ripple effect of the Ukraine conflict and a slow recovery from the COVID-19 pandemic is felt throughout Latin America and the Caribbean."
451,"Dryland mixed",LAC,"Increase in post-harvest losses","Leads to","Increase in food insecurity","Hunger rose more sharply than in any other region between 2019 and 2020, reaching 59,7 million people, its highest point since 2000."
452,"Dryland mixed",LAC,"Landslide events","Leads to","Damage to infrastructure","Floods and landslides in the Brazilian states of Bahia and Minas Gerais led to an estimated loss of US$ 3.1 billion."
453,"Dryland mixed",LAC,"Shorter growing season","Leads to","Dependence on food aid","Shorter growing season leads to over-dependence on government and donors aid."
454,"Dryland mixed",LAC,"Shorter growing season","Leads to","Increase in food insecurity","Greater seasonal instability leads to supply shortages of food hence food insecurity."
455,"Dryland mixed",LAC,"Shorter growing season","Leads to","Loss of income","Shorter growing seasons could indicate reduced productivity hence loss of income."
456,"Dryland mixed",LAC,"Increase in women's workload","Leads to","Reduced crop productivity/failure","In Latin American 58 million women live in rural areas. However, only 30% of rural women own agricultural land and less than 5% have access to technical resources, leading to reduced crop productivity."
457,"Dryland mixed",LAC,"High poverty levels 






","Leads to","Increase in migration","High poverty levels leads to increased rural-urban migration"
458,"Dryland mixed",LAC,"Inability to interpret climate information","Leads to","Reduced livestock productivity","Poor climate interpretation leads to reduced livestock production."
459,"Dryland mixed",LAC,"Crop is highly susceptible to pests","Leads to","Reduced crop productivity/failure","Crop susceptibiliy leads to reduction in crop production."
460,"Dryland mixed",LAC,"Animal/breed is highly susceptible to diseases","Leads to","Livestock mortalities","High susceptibility to diseases leads to high mortality rates in livestock."
461,"Dryland mixed",LAC,"Demographic pressure on land","Leads to","Land degradation","Demographic pressure on land leads to  land degradation."
462,"Dryland mixed",LAC,"Reliance on rainfed agriculture","Leads to","Increase in food insecurity","Reliance on rainfed agriculture leads to increase food insecurity."
463,"Dryland mixed",LAC,"High poverty levels 






","Leads to","Competition for resources","The importance of environment-poverty links for the natural resource, health and vulnerability dimensions of the livelihoods of the poor is evident in empirical research."
464,"Dryland mixed",LAC,"Inability to interpret climate information","Leads to","Unpredictable planting period","Inability to interpret climate information leads to unpredictable planting periods."
465,"Dryland mixed",LAC,"Crop is highly susceptible to pests","Leads to","Loss of income","Pests leads to poor yields hence loss of income."
466,"Dryland mixed",LAC,"Animal/breed is highly susceptible to diseases","Leads to","Livestock mortalities","Infectious diseases of livestock are a major threat to global animal health and welfare."
467,"Dryland mixed",LAC,"Demographic pressure on land","Leads to","Desertification","Population growth has direct effects on increased demand for fuelwood and food and land fragmentation. Indirect effects exist through the demand for food which puts pressure on land extensification and intensification which affects soil quality and out migration which affect deforestation and desertification."
468,"Dryland mixed",LAC,"Low levels of climate change awareness at the farmer level","Leads to","Reduced crop productivity/failure","Economic Commission for Latin America and the Caribbean should raise awareness that climate change is already impacting the food security reducing crop productivity."
469,"Dryland mixed",LAC,"Low levels of climate change awareness at the farmer level","Leads to","Unpredictable planting period","Without  raising awareness on climate change , planting seasons is unpredictable."
470,"Dryland mixed",LAC,"Reliance on rainfed agriculture","Leads to","Reduced crop productivity/failure","Unfortunately, rain-fed agriculture is constrained with multifarious problems such as moisture stress, soil erosion and crusting, nutrient deficiency, depletion and poor nutrient use efficiency, and weed infestation limiting the yield potential of these lands."
471,"Dryland mixed",LAC,"Weak land tenure","Leads to","Increase in women's workload","Weak land tenure systems leads to gender inequality."
472,"Dryland mixed",LAC,"Inadequate climate information services","Leads to","Lack of willingness to invest in sustainable agricultural practices","Lack of adequate climate information leads to lack of willingness to invest in sustainable agricultural practices i.e irrigation."
473,"Dryland mixed",LAC,"Weak land tenure","Leads to","Land degradation","Insecure land tenure is linked to poor land use which in turn leads to environmental degradation."
474,"Dryland mixed",LAC,"Inadequate climate information services","Leads to","Unpredictable planting period","Inadequate climate information leads to unpredictable planting periods."
475,"Dryland mixed",LAC,"Low access to markets","Leads to","Increase in food prices","Low access to markets causes high competition leading to increase in food prices."
476,"Dryland mixed",LAC,"Unstable commodity prices","Leads to","Increase in food prices","Inflation is currently projected to increase further in 2022, due mainly to rising commodity prices and global supply disruptions."
477,"Dryland mixed",LAC,"Low access to markets","Leads to","Increase in food spoilage/wastage","Lack of timely market and weather information leads to poor production and harvesting decisions."
478,"Dryland mixed",LAC,"Unstable commodity prices","Leads to","Increase in food insecurity","Local producers are susceptible to unstable commodity  prices due to increase in imports, hence increased food insecurity."
479,"Dryland mixed",LAC,"High disease prevalence","Leads to","Reduced livestock productivity","High disease prevalence leads to reduced livestock production."
480,"Dryland mixed",LAC,"High prevalence of land degradation","Leads to","Desertification","Land degradation leads to desertification."
481,"Dryland mixed",LAC,"High levels of deforestation","Leads to","Desertification","High levels of deforestation  leads to desertification."
482,"Dryland mixed",LAC,"Unfavourable soil conditions","Leads to","Reduced crop productivity/failure","Poor soil conditions leads to reduced maize and cassava productions."
483,"Dryland mixed",LAC,"Water scarce area","Leads to","Increase in soil water deficit","Population growth has caused a fourfold reduction in the amount of available  water per capita, causing severe water stress especially in the Northern Mexican States."
484,"Dryland mixed",LAC,"Frequent bushfires","Leads to","Damage to infrastructure","Catastrophic wildfires have become more frequent and impactful in Central and South America as a result of environmental stressors, leading to damage to infrastructure."
485,"Dryland mixed",LAC,"High prevalence of land degradation","Leads to","Reduced crop productivity/failure","LAC is extremely sensitive to land degradation, hence reduced crop productivity."
486,"Dryland mixed",LAC,"High disease prevalence","Leads to","Livestock mortalities","Animal production, welfare and life expectancy are likely to be negatively impacted, through decreased feed availability and quality, heat stress, disease susceptibility."
487,"Dryland mixed",LAC,"High levels of deforestation","Leads to","Reduced livestock productivity","Deforestation affects animals in many ways. It causes habitat destruction, increased risk of predation, reduced food availability, and much more."
488,"Dryland mixed",LAC,"Unfavourable soil conditions","Leads to","Increase in food insecurity","There is also high sensitivity to unfavourable soil conditions due to land degradation and deforestation, leading to increase food insecurity."
489,"Dryland mixed",LAC,"Water scarce area","Leads to","Reduced crop productivity/failure","Productivity of Maize, cassava and livestock are hampered by recurrent droughts in the region leading to water scarcity."
490,"Dryland mixed",LAC,"Lack of road infrastructure","Leads to","Delays in transportation","Unsurfaced roads leads to delays in transportation"
491,"Dryland mixed",LAC,"Lack of access to improved crop varieties","Leads to","Reduced crop productivity/failure","Inaccesibility to improved maize and cassava varieties leads to reduced productivity."
492,"Dryland mixed",LAC,"Lack of access to improved livestock breeds","Leads to","Reduced livestock productivity","Inaccesibility to improved breeds varieties leads to reduced livestock productivity."
493,"Dryland mixed",LAC,"Inadequate agri research and development","Leads to","Increase in diseases","Inadequate research leads to increase in diseases."
494,"Dryland mixed",LAC,"High poverty levels 






","Leads to","Competition for resources","High poverty levels leads to  increased competition for natural resources such as land and water."
495,"Dryland mixed",LAC,"Lack of road infrastructure","Leads to","Loss of income","This poor road condition is hindering supply of cereal and livestock products to market, which in turn affect household's livelihoods and income."
496,"Dryland mixed",LAC,"Lack of access to improved crop varieties","Leads to","Unpredictable planting period","Climate-resilient crops and crop varieties increase farmers' resilience to climate change, but despite their benefits, adoption rates by smallholder farmers is very low, leading to unpredictable planting seasons."
497,"Dryland mixed",LAC,"Lack of access to improved livestock breeds","Leads to","Increase in diseases","Much research is dedicated to breeding disease resilient livestock, but this is not yet a common objective in practical breeding programs in the region."
498,"Dryland mixed",LAC,"Poor water use efficiency and management","Leads to","Water scarcity","Poor water use efficiency leads to water scarcity."
499,"Dryland mixed",LAC,"Inadequate agri research and development","Leads to","Increase in post-harvest losses","Food losses are mainly due to poor infrastructure and logistics, lack of technology, insufficient skills, knowledge and management capacity."
500,"Dryland mixed",LAC,"High poverty levels 






","Is mitigated by","Diversify livelihoods","Diversification that combines agriculture with off-farm incomes so as to mitigate the chronic poverty in the region."
501,"Dryland mixed",LAC,"Reliance on rainfed agriculture","Is mitigated by","Invest in irrigation infrastructure","These negative effects brought about by over-reliance on rainfed maize farming will be mitigated by investing in irrigation activities .It is expected that 0.5 million ha of new land will be irrigated."
502,"Dryland mixed",LAC,"Inability to interpret climate information","Is mitigated by","Build capacity on usage of climate information","Build capacity of  the rural communities on how to interpret climate information and read warning signs."
503,"Dryland mixed",LAC,"Low levels of climate change awareness at the farmer level","Is mitigated by","Improve access to climate information services","Low level of climate awareness, especially among the smallholder maize ,cassava and livestock producers should be mitigated by improving access to climate information services."
504,"Dryland mixed",LAC,"Animal/breed is highly susceptible to diseases","Is mitigated by","Adopt disease tolerant breeds","High susceptibility to diseases is mitigated by adopting disease tolerant breeds."
505,"Dryland mixed",LAC,"High poverty levels 






","Is mitigated by","Improve access to markets","Access to markets can reduce poverty and enhance sustainable development"
506,"Dryland mixed",LAC,"Poor water use efficiency and management","Is mitigated by","Implement climate smart agriculture practices





","In Brazil and Mexico, the objective of the Climate Smart Agriculture Project is to  build resilience to climate-change risks by mitigating the issue of poor water use and management."
507,"Dryland mixed",LAC,"Poor water use efficiency and management","Is mitigated by","Invest in water harvesting and storage infrastructure","Many Latin American countries have undergone major water reforms over the past three decades to increase water management efficiency."
508,"Dryland mixed",LAC,"Reliance on rainfed agriculture","Is mitigated by","Establish water user associations","In a region like the Caribbean, which mostly practices rainfed agriculture, establishing water user organizations will be important."
509,"Dryland mixed",LAC,"Inability to interpret climate information","Is mitigated by","Improve networking and knowledge exchange","Information and communication technologies and climate change adaptation in Latin America and the Caribbean is a framework for action to improve the ability to interpret climate change."
510,"Dryland mixed",LAC,"Low levels of climate change awareness at the farmer level","Is mitigated by","Improve networking and knowledge exchange","Information and communication technologies and climate change adaptation in Latin America and the Caribbean is a framework for action to improve the ability to interpret climate change."
