"ID","FS name","FS macro region","Factor","Type-1","Description"
"173","Upland Intensive Mixed","EAP","Increase in food prices","Impact","Food prices are more volatile in years with extreme climatic events."
"174","Upland Intensive Mixed","EAP","Increase in food insecurity","Impact","Extreme climatic events such as drought can result in considerable damage to the agriculture sector resulting in food shortages."
"175","Upland Intensive Mixed","EAP","Lack of willingness to invest in sustainable agricultural practices","Impact","Certain factors such as insecure land tenure and user rights, a lack of access to risk insurance, low access to credit/loans and low levels of education and climate change awareness can discourage farmers from investing in sustainable land management practices."
"176","Upland Intensive Mixed","EAP","Increase in poverty","Impact","Farming households in the upland intensive mixed farming system are typically poor, thus losses of income associated with poor yields are expected to push them further into poverty."
"177","Upland Intensive Mixed","EAP","Loss of income","Impact","Farming households in the upland intensive mixed farming system are typically poor, thus losses of income associated with poor yields are expected to push them further into poverty."
"178","Upland Intensive Mixed","EAP","Limited uptake of modern technologies","Vulnerability","Farmers in East Asia  tend to be conservative and prefer to use traditional methods. In addition, technology development typically focuses on specific commodities, rather than on integrated development of a system  that takes into account various land use options and different agro-ecological zones."
"179","Upland Intensive Mixed","EAP","Unsustainable land management practices","Vulnerability","Shifting cultivation has historically been the main land use system of upland rural villages. Two to ten year rotations are applied and the major crop, upland rice, is cultivated with no external inputs or mechanisation. However, this is changing in many areas as farming is becoming market-oriented with shorter fallow periods, some permanent fields, and the use of irrigation and inputs. With the more intensive production and shorter fallow periods, soil fertility is declining and production is being adversely affected, rendering the system ecologically unsustainable. This change has come about mainly due to demographic pressure and land-use restrictions."
"180","Upland Intensive Mixed","EAP","Unequal opportunities for women","Vulnerability","Women tend to be marginalised in the upland intensive mixed agricultural system despite the vital role they play. Traditionally, women are responsible for tasks such as transplanting, weeding and harvesting, while men work in land preparation, crop management and marketing. Women are often excluded from decision-making roles and are paid less than men for the same work. Further, land ownership by women is rare, so their work is largely unrecognised."
"181","Upland Intensive Mixed","EAP","Weak land tenure","Vulnerability","Land tenure is typically weak in the upland intensive mixed system. Land tenure, land leasing and land markets are policy issues that have to be reviewed to promote agricultural development in upland areas."
"182","Upland Intensive Mixed","EAP","Weak land tenure and access rights for women","Vulnerability","Land ownership by women is rare, so their work is largely unrecognised and they cannot access finance, extension services or other technical support. Even when national laws allocate equal rights to own and control land, social norms and customary laws tend to prevent it."
"183","Upland Intensive Mixed","EAP","Low access to credit","Vulnerability","Smallholder farmers within the agricultural system generally lack access to formal credit sources, particularly the poorer households and women farmers."
"184","Upland Intensive Mixed","EAP","Large contributor to national/regional GDP","Vulnerability","In recent years, agriculture has contributed less to regional GDP, however, it is still one of the top five contributing sectors and remains the key contributor for countries such as Laos. As agriculture is directly affected by climate change, a high dependency of national economies and societies on the sector puts them at risk. For example, three out of four poor people in Southeast Asia reside in rural areas and are dependent on agriculture."
"185","Upland Intensive Mixed","EAP","Lack of access to risk insurance","Vulnerability","Farms in the upland intensive mixed farming system are remote and so access to risk insurance is low."
"186","Upland Intensive Mixed","EAP","High levels of deforestation","Vulnerability","Government agencies and large timber companies have undertaken widespread and unsustainable logging of forested areas throughout the agricultural system. Areas of natural forest have decreased significantly in all East Asia countries. Further, demographic pressure has led to the clearing of land for agricultural activities. The high rates of deforestation have negative implications for local resilience and environmental feedback effects."
"187","Upland Intensive Mixed","EAP","Frequent bushfires","Vulnerability","The occurrence of forest fires in Indonesia, Myanmar and Vietnam are projected to increase, contributing to biodiversity loss."
"188","Upland Intensive Mixed","EAP","High prevalence of land degradation","Vulnerability","Shifting cultivation has historically been the main land use system of upland rural villages. Two to ten year rotations are applied and the major crop, upland rice, is cultivated with no external inputs or mechanisation. However, this is changing in many areas as farming is becoming market-oriented with shorter fallow periods, some permanent fields, and the use of irrigation and inputs. With the more intensive production and shorter fallow periods, soil fertility is declining and production is being adversely affected, rendering the system ecologically unsustainable. This change has come about mainly due to demographic pressure and land-use restrictions."
"189","Upland Intensive Mixed","EAP","High prevalence of pests","Vulnerability",""
"190","Upland Intensive Mixed","EAP","High prevalence of weeds","Vulnerability","Rice crops are adversely affected by complex and diverse weed flora. Weeds are a major biological constraint limiting rice production worldwide."
"191","Upland Intensive Mixed","EAP","Inadequate agri research and development","Vulnerability","In general, there is limited capacity to design, implement, monitor and evaluate relevant research. Documentation skills are lacking and there is limited sharing of research data and results. For example, the  quality of upland rice production data for Laos is insufficient to inform decision making."
"192","Upland Intensive Mixed","EAP","Low access to agricultural extension services","Vulnerability","Access to agricultural extension services is generally low in the agricultural system due to the large number of poor farmers with small plots in geographically dispersed communities with underdeveloped transport and communication infrastructure. The lack of access to extension services affects knowledge sharing on modern agricultural technology and practices. Women are typically excluded from access to critical productive resources such as  extension services and information."
"193","Upland Intensive Mixed","EAP","Lack of access to  inputs","Vulnerability","Due to the remoteness and widespread poverty within the agricultural system, farmers tend to lack capital for seeds, fertilisers, pesticides and wages to hire workers to plant and harvest crops. Women are typically excluded from access to critical productive resources and services such as credit, farm inputs, marketing facilities, extension and information."
"194","Upland Intensive Mixed","EAP","Low level of education","Vulnerability","Due to the remoteness of the upland intensive mixed farming system, education levels are generally low as school attendance requires commuting. For example the household heads of two villages engaged in upland agriculture in Laos, namely, Ko Ngiaw and Navene, 43% and 21% had completed secondary-level education, respectively. It was noted that the farmers with higher levels of education possessed greater adaptive capacity."
"195","Upland Intensive Mixed","EAP","Low levels of climate change awareness at the farmer level","Vulnerability","In general, farmers in South East Asia are aware of climate change due to information gathered from newspapers, the internet, television, advertisements, and their community and friends. However, in the more remote areas of the upland intensive agricultural system, access to information, and therefore farmers' climate change awareness, is typically lower."
"196","Upland Intensive Mixed","EAP","Demographic pressure on land","Vulnerability","The East Asian and Pacific Islands region has a total population of 660.6 million, and is growing annually at 1.08% on average. Indonesia is the most populous country, followed by the Philippines, then Vietnam. Population growth is a known driver of land use change in the mountainous areas of the region."
"197","Upland Intensive Mixed","EAP","Reliance on rainfed agriculture","Vulnerability","Less than 25% of farms in the upland intensive mixed system are irrigated."
"198","Upland Intensive Mixed","EAP","Lack of road infrastructure","Vulnerability","Farms in the agricultural system tend to be remote with limited to no road access. The lack of transportation facilities and related low access to information and support services (credit facilities, extension services) are often highlighted as major obstacles to agricultural development in the upland areas."
"199","Upland Intensive Mixed","EAP","Limited uptake of modern technologies","Vulnerability","In general, East Asian farmers lack the skills and technology required to adapt to the increasing rate of climate instability and uncertainty. Uptake of modern technologies tends to be low due to a lack of access to information and services and a preference for traditional farming methods."
"200","Upland Intensive Mixed","EAP","Weak land tenure and access rights, particularly for women","Vulnerability",""
"201","Upland Intensive Mixed","EAP","High poverty levels","Vulnerability","The upland intensive mixed farming system is characterised by high poverty levels. Upland households experience a much higher rate of chronic poverty than lowland households. For example, a survey of 300 households in Thailand and Vietnam classified 41% of the upland households as chronically poor, but only 3 % of the lowland households."
"202","Upland Intensive Mixed","EAP","Implement reforestation practices","Adaptation option","Forested areas are scattered throughout the system, mainly at higher elevations. Development programmes should promote afforestation practices and community management of forested areas to enhance ecological goods and services for improved agricultural productivity and livelihood options."
"203","Upland Intensive Mixed","EAP","Invest in road infrastructure","Adaptation option","Road networks are important catalysts for agricultural development as they improve accessibility to markets, services and support (i.e. bank institutions, education and extension services) and expand employment opportunities."
"204","Upland Intensive Mixed","EAP","Invest in water harvesting and storage infrastructure","Adaptation option","To enhance farmers' resilience to climate change there is a need to invest in improved watershed management, conservation farming, water harvesting and storage and the introduction of appropriate technologies."
"205","Upland Intensive Mixed","EAP","Improve climate change awareness","Adaptation option","It is important that farmers undergo training to enhance their skills and techniques and increase their awareness of climate change. Resources, such as the internet, television and radio have proved useful knowledge sources for farmers' adaptation strategies."
"206","Upland Intensive Mixed","EAP","Capacity building on sustainable agricultural practices","Adaptation option","Sustainable soil and water management practices should be promoted to improve crop yields and ensure maintenance of soil productivity."
"207","Upland Intensive Mixed","EAP","Implement agroforestry practices","Adaptation option","Agroforestry is a key climate change adaptation strategy as it provides multiple harvests at different times of the year. The diverse combination of crops buffers farmers from the risk of income loss due to climate variability, price fluctuations and other unexpected problems. On steeper lands such as in the upland intensive mixed agricultural system, agroforestry should be promoted with contour planting of suitable tree species for production of fruits, timber, fuelwood and non-timber forest products."
"208","Upland Intensive Mixed","EAP","Plant multiple crop types","Adaptation option","The planting of multiple crops, such as in agroforestry systems, shifts reliance from one or two annual crops to a range of food and income-generating crops, thus reducing vulnerability to climate shocks. Further, the planting of multiple crop types can reduce the incidence of pests and diseases."
"209","Upland Intensive Mixed","EAP","Invest in agricultural research and development","Adaptation option","Government and researchers should engage farmers in local-level research, drawing upon their indigenous knowledge in the identification of climate change issues and co-developing adaptation means to meet their context-specific needs."
"210","Upland Intensive Mixed","EAP","Integrated weed management","Adaptation option","Integrated weed management (IWM) combines a variety of preventive, cultural, mechanical, and chemical practices to control weed infestations. Often a single weed management practice is not feasible due to the diversity of weed species and differing life cycles and survival strategies."
"211","Upland Intensive Mixed","EAP","Build women's  capacity","Adaptation option","It is important to build the capacity of women and ethnic minorities to adopt appropriate agricultural innovations, and to understand how policies, social and biophysical constraints positively or negatively affect their development."
"212","Upland Intensive Mixed","EAP","Plant cash crops","Adaptation option","The integration of cash crops in upland livelihood strategies can increase household income levels and food security. Due to the remoteness of the farming system, emphasis needs to be placed on low weight, high value products that are easily transported, have a long shelf-life and can be processed locally to increase the market value."
"213","Upland Intensive Mixed","EAP","Diversify to livestock value chains","Adaptation option","Livestock products are an important source of household cash income in the agricultural system and there is considerable room for expanding production. However, focus must be placed on integrated livestock production systems and good livestock husbandry practices with improved access to animal health services."
"214","Upland Intensive Mixed","EAP","Diversify livelihoods","Adaptation option","Increasing off-farm income is one of the most important household strategies for reducing poverty and enhancing climate change resilience."
"215","Upland Intensive Mixed","EAP","Implement conservation agriculture practices","Adaptation option",""
"216","Upland Intensive Mixed","EAP","Apply integrated pest and diseases management","Adaptation option",""
"217","Upland Intensive Mixed","EAP","Adjust crop calendar","Adaptation option",""
"218","Upland Intensive Mixed","EAP","Adopt early maturing varieties","Adaptation option","Early maturing rice varieties are a useful adaptation option to changing cropping seasons and the prevention of flood damage."
"219","Upland Intensive Mixed","EAP","Improve networking and knowledge exchange","Adaptation option","Improved networking and knowledge sharing between farmers is an important climate change adaptation process as they have common experiences, language and practical understanding of the issues faced."
"220","Upland Intensive Mixed","EAP","Improve access to agricultural extension services","Adaptation option","There is substantial knowledge and technologies available for sustainable farming in the uplands but it rarely reaches the farmers. Extension agents are needed to strengthen the capabilities of farmers to improve their agricultural production and sustainably use forests. Developing a bond between the farmers and extension staff through effective extension activities is necessary for expanding the use of farming technologies. Participatory approaches such as farmer trainers’ can ensure widespread and rapid agricultural knowledge diffusion."
"221","Upland Intensive Mixed","EAP","Improve access to climate information services","Adaptation option","Access to climate information can be improved through media such as television and radio."
"222","Upland Intensive Mixed","EAP","Policy reform","Adaptation option","Climate change and gender equality needs to be mainstreamed into development strategies and plans and adaptation action needs to be translated into development plans at national and local levels."
"223","Upland Intensive Mixed","EAP","Develop/improve early warning systems","Adaptation option","Seasonal forecasts and extension departments need to provide early warning to farmers in the case of extreme climatic events, such as those associated with the El Niño Southern Oscillation."
"224","Upland Intensive Mixed","EAP","Build the capacity of agricultural extension agents","Adaptation option",""
"225","Upland Intensive Mixed","EAP","Land tenure reform","Adaptation option","Policy issues surrounding land tenure, land leasing and land markets need to be addressed to improve the adoption of sustainable agricultural practices in upland areas."
"226","Upland Intensive Mixed","EAP","Facilitate access to loans","Adaptation option","The adoption of sustainable agricultural practices is enhanced with an increase in income. Financially stable farmers tend to be more committed to adapting new techniques, technologies and transformations in agriculture."
"227","Upland Intensive Mixed","EAP","Improve access to credit","Adaptation option",""
"228","Upland Intensive Mixed","EAP","Establish payment for ecosystem services schemes","Adaptation option",""
"229","Upland Intensive Mixed","EAP","Improve access to risk insurance schemes","Adaptation option","Improving farmers' access to agricultural insurance encourages the adoption of new agricultural practices and technologies by providing the farmers with a safety net. Farmer organisations can be efficient channels for introducing crop insurance programmes for farmers."
"230","Upland Intensive Mixed","EAP","Farmers engaged in agri system","Exposure","Declines in productivity of the upland intensive mixed farming system will impact the livelihoods of millions of farmers."
"231","Upland Intensive Mixed","EAP","Chronic poverty","Risk","In the upland intensive mixed farming system poverty is widespread and classified as moderate to severe."
"232","Upland Intensive Mixed","EAP","Food insecurity","Risk","Farmers are dependent on their agricultural productivity to meet their food security needs."
"233","Coastal plantation and mixed","LAC","Increase in average temperatures","Hazard","Temperatures in the LAC region have increased more than the global average and are likely to continue to do so. 2020 was among the three warmest years in Central America and the Caribbean, and the second warmest year in South America, with, 1.0°C, 0.8°C and 0.6°C above the long-term average of 1981-2010 climatological reference period, respectively."
"234","Coastal plantation and mixed","LAC","Increase in drought events","Hazard","There has been widespread drought across Latin America and the Caribbean. The intense drought in the southern Amazonia and the Pantanal region was the worst in the last 50 years. A weak North American Monsoon and colder than normal sea surface temperatures along eastern Pacific associated with La Niña resulted in drought in Mexico."
"235","Coastal plantation and mixed","LAC","Rising sea levels","Hazard","In the LAC region the mean sea level rise (SLR), amounting to 1.8 ± 0.1 mm/yr, has been similar to the global mean (≈ 1.8 ± 0.5 mm/yr) over the last 60 years"
"236","Coastal plantation and mixed","LAC","Increase in tropical cyclones/hurricanes","Hazard","In 2020, a record-breaking 30 named storms were detected in the Atlantic basin.  When the Atlantic hurricane season is normally winding down, Category 4 hurricanes Eta and Iota made landfall in the same region within a short space of time. They followed identical paths across Nicaragua and Honduras"
"237","Coastal plantation and mixed","LAC","Increase in extreme rainfall events","Hazard","There are times when we have extreme rainfalls in some parts of LAC. Towards of the year 2020, intense rainfall events, floods and flash floods happened in rural and urban areas in Central and South America."
"238","Coastal plantation and mixed","LAC","Decrease in average precipitation","Hazard","There has been precipitation deficits particularly serious for the Caribbean region, as several of its territories are on the global list of top water-stressed countries"
"239","Coastal plantation and mixed","LAC","Ocean acidification","Hazard","The elevated levels of carbon dioxide (CO2) in the atmosphere have resulted in an increased uptake of CO2 at the ocean’s surface, manifesting as higher partial pressure of CO2 (pCO2) in the ocean and leading to a decline in seawater pH and a change in the relative concentrations of carbonate, bicarbonate and hydrogen ions and decreasing carbonate/aragonite saturation state"
"240","Coastal plantation and mixed","LAC","Increase in extreme heat (no. of hot days)","Hazard","According to the State of the Caribbean Climate report, towards the end of the century an increase in frequency of temperature extremes, including very hot days and nights, a decrease in very cold days  and nights, an increase in consecutive hot days (or warm spells) and drying conditions are projected."
"241","Coastal plantation and mixed","LAC","Loss of production of fish","Impact","Loss of production of fish in internal lakes mainly due to destruction of their habitats by climte related hazards"
"242","Coastal plantation and mixed","LAC","Saline intrusion","Impact","Gradual salinization of land and wells in the coastal strips"
"243","Coastal plantation and mixed","LAC","Reduced crop productivity/failure","Impact","Up to 964, 000 hectares of crops damaged by Cyclones and hurricanes parts of LAC which includde the coastal plantations"
"244","Coastal plantation and mixed","LAC","Coastal inundation","Impact","Inundation of land ( Increases in sea water intrusion may affect coastal aquifers, making them unsuitable for use in agriculture. Also, destruction of infrastracture)"
"245","Coastal plantation and mixed","LAC","Beach erosion","Impact","Beach erosion damage the housing and fisheries landing sites ( In particular storms and hurricanes)."
"246","Coastal plantation and mixed","LAC","Biodiversity loss","Impact","Loss of  diversity of ecosystems."
"247","Coastal plantation and mixed","LAC","Water scarcity","Impact","The American continent has regions with abundant water resources such as the watersheds of the Amazon, the Mississippi, the Rio de la Plata and the Great Lakes. However, twothirds of the continental surface area is made up of arid and semi-arid soils, where the rains are markedly seasonal, so based on the time of year, there is abundance or scarcity."
"248","Coastal plantation and mixed","LAC","Landslide events","Impact","Rampant cases of landslides have been experienced. For example,  Towards the end of 2020, intense rainfall events brought landslides, floods and flash floods to rural and urban areas in Central and South America"
"249","Coastal plantation and mixed","LAC","Damage to infrastructure","Impact","Coastal inundation leads to massive flooding in the coastal neighbouring leading to destruction of infrastructure."
"250","Coastal plantation and mixed","LAC","Glacier melt","Impact",""
"251","Coastal plantation and mixed","LAC","Flash floods","Impact","Floods and flash floods are common during extreme rainfalls. For example towards the end of 2020, intense rainfall events brought floods and flash floods and landslides to rural and urban areas in Central and South America"
"252","Coastal plantation and mixed","LAC","Increased flooding","Impact",""
"253","Coastal plantation and mixed","LAC","Increased incidence of bushfires","Impact",""
"254","Coastal plantation and mixed","LAC","Crop stress/damage/mortality","Impact",""
"255","Coastal plantation and mixed","LAC","Increase in malnutrition/ Reduced calorie intake","Impact","Malnutrition due to food insecurity (over 8 million people across Central America affected by extreme weather conditions)"
"256","Coastal plantation and mixed","LAC","Loss of income","Impact","Loss of income in agricultural exports"
"257","Coastal plantation and mixed","LAC","Reduction in tax collection by the government","Impact","Reduction in tax collection by the government (and as a result, reduction in the capacity of the government to finance its activities)"
"258","Coastal plantation and mixed","LAC","Increase in malnutrition/ Reduced calorie intake","Impact","For the malnourished people, climate change is an increasingly relevant threat multiplier"
"259","Coastal plantation and mixed","LAC","Increase in migration","Impact","Rural-urban migration (people fleeing because of drought)"
"260","Coastal plantation and mixed","LAC","Increase in food prices","Impact","Increase in price of staple foods"
"261","Coastal plantation and mixed","LAC","Decrease in labour productivity","Impact","Increase of outdoor and indoor heat loads will have a negative impact on the  health  and  productivity  of  millions  of working  people"
"262","Coastal plantation and mixed","LAC","Increase in food imports","Impact","Several countries have seen crop imports increase . For instance,  increase by 13.5% in the case of Belize, 9.7% in Nicaragua, 7.1% in El Salvador, and 6.4% in Mexico"
"263","Coastal plantation and mixed","LAC","Increase in food insecurity","Impact",""
"264","Coastal plantation and mixed","LAC","Increase in malnutrition","Impact",""
"265","Coastal plantation and mixed","LAC","Competition for resources","Impact",""
"266","Coastal plantation and mixed","LAC","Conflict over resources","Impact",""
"267","Coastal plantation and mixed","LAC","Dependence on food aid","Impact",""
"268","Coastal plantation and mixed","LAC","Increase in poverty","Impact","Under future  climate change,  house hold  real  income  would decline as a result of reduced income from factors of production."
"269","Coastal plantation and mixed","LAC","High poverty levels","Vulnerability","High levels of poverty and inequality are key factorsdriving sensitivity across the LAC region, as large numbers of people are engaged in marginal, low skilled livelihoods. In 2012, 11.3% of the LAC population, around 66 million people, were living in extreme poverty. In this agri system, poverty is high among labourers"
"270","Coastal plantation and mixed","LAC","Predominantly small-scale subsistence farming","Vulnerability","There are around 15 million smallholder farms in the LAC region, of which around 10 million are estimated to be subsistence enterprises which rely on non-farm sources of income to maintain their livelihoods"
"271","Coastal plantation and mixed","LAC","High illiteracy rates","Vulnerability","Low literacy rates are a concern in many Mesoamerican countries, along with high primary school drop-out rates, whereas poor quality education has been highlighted as a challenge in the Caribbean."
"272","Coastal plantation and mixed","LAC","Reliance on rainfed agriculture","Vulnerability","Most of the agricultural land in the Americas and Caribbean is rainfed, i.e., 87 % of arable land."
"273","Coastal plantation and mixed","LAC","Weak land tenure","Vulnerability","The subdividing of farms in Mexico, Central America and the Andean nations, the concentration of land in the Southern Cone countries, and the pre-eminence of state land ownership in the Caribbean are the general trends detected in the structure of land tenure in Latin America and the Caribbean."
"274","Coastal plantation and mixed","LAC","Conflict prone area","Vulnerability","There exist social and political conflict. There are also conflicts around access to  resources such as water resources"
"275","Coastal plantation and mixed","LAC","Low access to markets","Vulnerability","Low access to markets due to lack of policies that fail to reduce market inefficiencies"
"276","Coastal plantation and mixed","LAC","Barriers to trade","Vulnerability","Agricultural subsidies in advanced economies imply that many agricultural exports from largernLAC do not compete on a level playing field"
"277","Coastal plantation and mixed","LAC","Frequent bushfires","Vulnerability","Catastrophic wildfires have become more frequent and impactful in Central and South America as a result of environmental stressors, prolonged dry seasons, and other weather phenomenon impacting the region. They are especially experienced in the Amazonian forest."
"278","Coastal plantation and mixed","LAC","Water scarce area","Vulnerability","The American continent has regions with abundant water resources such as the watersheds of the Amazon, the Mississippi, the Rio de la Plata and the Great Lakes. However, twothirds of the continental surface area is made up of arid and semi-arid soils, where the rains are markedly seasonal, so based on the time of year, there is abundance or scarcity."
"279","Coastal plantation and mixed","LAC","High prevalence of land degradation","Vulnerability","Land degradation is a serious problem in LAC including coastal plantation mixed systems. 306 million hectares of LAC are moderately or intensely degradaded"
"280","Coastal plantation and mixed","LAC","High disease prevalence","Vulnerability",""
"281","Coastal plantation and mixed","LAC","High poverty levels","Vulnerability","Households  real  income decline as a result of reduced income from factors of production."
"282","Coastal plantation and mixed","LAC","Lack of irrigation infrastructure","Vulnerability","There is very little use of agricultural irrigation under coastal plantation mixed, i.e. in only 13 % of arable land."
"283","Coastal plantation and mixed","LAC","Reliance on rainfed agriculture","Vulnerability","Most of the agricultural land in the Americas and Caribbean is rainfed, i.e., 87 % of arable land."
"284","Coastal plantation and mixed","LAC","Predominantly small-scale subsistence farming","Vulnerability","There are around 15 million smallholder farms in the LAC region, of which around 10 million are estimated to be subsistence enterprises which rely on non-farm sources of income to maintain their livelihoods"
"285","Coastal plantation and mixed","LAC","Low level of education","Vulnerability","Low literacy rates are a concern in many Mesoamerican countries, along with high primary school drop-out rates, whereas poor quality education has been highlighted as a challenge in the Caribbean."
"286","Coastal plantation and mixed","LAC","Implement marine conservation practices","Adaptation option","Restoration and conservation of coastal ecosystems (mangroves and coral reefs) which are important ecosystems where fish species live."
"287","Coastal plantation and mixed","LAC","Implement wetland restoration","Adaptation option","The NDCs of Central American and the Caribbean countries incorporate ocean-related adaptation proposals, such as mangrove and wetland restoration, to reduce theimpacts of sea-level rise and extreme sea level."
"288","Coastal plantation and mixed","LAC","Implement reforestation practices","Adaptation option",""
"289","Coastal plantation and mixed","LAC","Invest in water harvesting and storage infrastructure","Adaptation option","There are  efforts to protect freshwater water resources through harvesting and storage infrastructure.  In addition there is use of advanced technology to increase water supply in response to climate induced drought; energy-intensive technologies for water purification (such as reverse osmosis)"
"290","Coastal plantation and mixed","LAC","Structural adjustments","Adaptation option","As part of coastal zone management,  there is investments in infrastructure development (i.e., artificial breakwaters, erosion control) and coastal zone planning"
"291","Coastal plantation and mixed","LAC","Invest in irrigation infrastructure","Adaptation option","About 13% of arable land in this agri system is under irrigation. There is Improvements in irrigation efficiency"
"292","Coastal plantation and mixed","LAC","Implement soil and water conservation practices","Adaptation option","Conservation agriculture (CA) including soil and water conservation practices sucha as minimum/NO tillage has been widely successful in the Southern Cone region of South America.  Other regions of Latin America, however, such as Central America and the Andean region, CA adoption has proven more difficult. The development of effective CA innovation systems in countries such as Brazil and Mexico has been instrumental in overcoming factors limiting CA adoption"
"293","Coastal plantation and mixed","LAC","Adopt drought tolerant varieties","Adaptation option","Adoption of pest-, drought-, and heat-resistant crops"
"294","Coastal plantation and mixed","LAC","Invest in agricultural research and development","Adaptation option","Research &Development  on resistant crops and breeds"
"295","Coastal plantation and mixed","LAC","Plant multiple crop types","Adaptation option","Agricultural diversification"
"296","Coastal plantation and mixed","LAC","Implement efficient water management","Adaptation option","Water harvesting and storage"
"297","Coastal plantation and mixed","LAC","Implement climate smart agriculture practices","Adaptation option","In the case of rain-fed agriculture (soybean, maize, wheat), CSA practices such as direct seeding and land use and management plans have higher levels of adoption. For intensive vegetable production (citrus, deciduous plants, horticulture) the most common CSA practices fall under the umbrella of integrated crop management and include techniques for soil, pests and disease management that contribute to more stable and/or increased production and to reduced use of agrochemicals. For instance, techniques of sexual confusion in fruit trees for managing Grapholita molesta in peaches and Carpocapsa pomonella in apples and quince allow for a reduction in insecticide use from 12 applications to 2 (on average per season)"
"298","Coastal plantation and mixed","LAC","Implement conservation agriculture practices","Adaptation option","Conservation agriculture (CA) including soiland water conservation practices sucha as minimum tillage has been widely successful in the Southern Cone region of South America.  Other regions of Latin America, however, such as Central America and the Andean region, CA adoption has proven more difficult. The development of effective CA innovation systems in countries such as Brazil and Mexico has been instrumental in overcoming factors limiting CA adoption"
"299","Coastal plantation and mixed","LAC","Apply integrated pest and diseases management","Adaptation option","Wider application of integrated pest management"
"300","Coastal plantation and mixed","LAC","Adopt drought tolerant varieties","Adaptation option","New drought tolerant crops and breeds are being developed. For example, the generation and validation of drought tolerant maize varieties to stabilize and reduce mycotoxin damage resulting from climate change"
"301","Coastal plantation and mixed","LAC","Improve climate change awareness","Adaptation option","Organizations such as the World Food Programme are building the capacities of communities and governments in Latin America and the Caribbean to adapt to the growing challenges of climate change."
"302","Coastal plantation and mixed","LAC","Diversify livelihoods","Adaptation option",""
"303","Coastal plantation and mixed","LAC","Capacity building on sustainable agricultural practices","Adaptation option",""
"304","Coastal plantation and mixed","LAC","Plant multiple varieties","Adaptation option",""
"305","Coastal plantation and mixed","LAC","Improve networking and knowledge exchange","Adaptation option","Big Data and the Internet of Things (IoT) have the potential to be the drivers for climate change solutions."
"306","Coastal plantation and mixed","LAC","Build capacity on advocacy","Adaptation option",""
"307","Coastal plantation and mixed","LAC","Build climate information services","Adaptation option","Provision of institutional support to diffuse information on climate change and adaptation possibilities"
"308","Coastal plantation and mixed","LAC","Develop policies for building climate change resilience","Adaptation option",""
"309","Coastal plantation and mixed","LAC","Develop/improve early warning systems","Adaptation option","Establishment of early warning systems in coastal zones and agricultural systems"
"310","Coastal plantation and mixed","LAC","Land tenure reform","Adaptation option",""
"311","Coastal plantation and mixed","LAC","Improve access to markets","Adaptation option","Enhancement of agricultural trade"
"312","Coastal plantation and mixed","LAC","Farmers engaged in agri system","Exposure","Farmers engaged in the value chain are exposed to Climate change"
"313","Coastal plantation and mixed","LAC","Area of land used","Exposure","186 million of farm under this agri system is under threat of different climatic related hazards"
"314","Coastal plantation and mixed","LAC","Food insecurity","Risk","People living in countries with this agri system are exposed to food insecurity"
"315","Coastal plantation and mixed","LAC","Chronic poverty","Risk",""
"316","Coastal plantation and mixed","LAC","Loss of livelihoods","Risk",""
"317","Dryland mixed","LAC","Increase in drought events","Hazard","Widespread drought across the Latin America and the Caribbean region has had significant impact on crop yields and food production, leading to worsening food insecurity across the region."
"318","Dryland mixed","LAC","Increase in extreme heat (no. of hot days)","Hazard","In 2020, the LAC region experienced major heat  waves."
"319","Dryland mixed","LAC","Increase in average temperatures","Hazard","The increase in average temperatures is projected in the rangeof  2-6°C."
"320","Dryland mixed","LAC","Increase in average precipitation","Hazard","Future increases in precipitation intensity are likely to be an important aspect of climate change"
"321","Dryland mixed","LAC","Increase in dry days","Hazard","Parts of Central and South America  could experience up to 30 more dry days per year by the end of this century."
"322","Dryland mixed","LAC","Rising sea levels","Hazard","There is an overall rise in sea level projection with higher increase in locations with more  humid conditions."
"323","Dryland mixed","LAC","Increase in tropical cyclones/hurricanes","Hazard","Hurricanes Eta and Iota reached category 4 intensity and made landfall in the region."
"324","Dryland mixed","LAC","Decrease in average precipitation","Hazard","Precipitation deficits are particularly adverse in the Caribbean region, which presents high vulnerability to drought."
"325","Dryland mixed","LAC","Increase in extreme rainfall events","Hazard","Some  partsof the region are faced with extreme rainfall."
"326","Dryland mixed","LAC","Soil erosion","Impact","Soil erosion caused by deforestation.Four LAC countries have over 40% of their national territory degraded."
"327","Dryland mixed","LAC","Soil salinisation","Impact","Salinisation  caused by rise in sea level thus introducing more salt water to the coastal fresh water. It influences the livestock production."
"328","Dryland mixed","LAC","Increase in soil water deficit","Impact","Increase in soil water deficit due to prolonged drought events in the region."
"329","Dryland mixed","LAC","Reduced crop productivity/failure","Impact","Reduced Crop productivity due to poor soil quality and low input use in the region."
"330","Dryland mixed","LAC","Land degradation","Impact","Land degradation caused by greater poverty and pressure due to the increasing population"
"331","Dryland mixed","LAC","Livestock mortalities","Impact","Heat stress in livestock increases mortality rates affecting animal reproduction, and reduces animal intake  and  milk  production in  the  case  of  cattle"
"332","Dryland mixed","LAC","Damage to infrastructure","Impact","Poor infrastructural development in the marginal dryland systems leading  to poor economic growth in the region."
"333","Dryland mixed","LAC","Increase in heat stress","Impact","Heat waves are projected to increase under climate change directly affects livestock and its productivity."
