"Citation","Year","Number","Title","Resource type","URL"
"FAO","2013","2","Mexico","FAO Report","http://www.fao.org/nr/water/aquastat/countries_regions/MEX/"
"FAO","2014","1","Disaster Management","FAO Report","http://http//mrrd.gov.af;%20http://www.fao.org/in-action/fapda"
"FAO","2015","1","Climate change and food security: risks and responses","Report","https://www.fao.org/3/i5188e/I5188E.pdf"
"FAO","2015","2","Soil and water conservation in Latin America and the Caribbean.","FAO Report","https://www.fao.org/americas/priorities/suelo-agua/en/"
"FAO","2015","3","Types of soil and ideal conditions for growing coffee","PowerPoint presentation","https://www.slideshare.net/FAOoftheUN/types-of-soil-and-ideal-conditions-for-growing-coffee"
"FAO","2015","4","Kenya's tea sector under climate change","Report","https://www.fao.org/3/i4824e/i4824e.pdf"
"FAO","2015","5","The economic lives of smallholder farmers","Book","https://www.fao.org/3/i5251e/i5251e.pdf"
"FAO","2015","6","Socio-economic implications
of climate change
for tea producing countries","Report","https://www.fao.org/3/i4482e/i4482e.pdf"
"FAO","2016","1","Cassava in Latin America and the Caribbean: A look at the potential of the Crop to promote Agric development and economic growth","FAO Report","https://www.fao.org/documents/card/en/c/e5f1c41c-3a9e-4683-a1f0-a894f24e8f26/"
"FAO","2016","2","Agriculture in Sub-Saharan Africa: Prospects and challenges for the next decade","Report","https://www.fao.org/3/bo092e/bo092e.pdf"
"FAO","2017","1","The future of food and agriculture: Trends and challenges.","FAO Report","http://www.fao.org/3/i6583e/i6583e.pdf"
"FAO","2017","2","The future of food and agriculture – Trends and challenges","Report","https://www.fao.org/3/i6583e/i6583e.pdf"
"FAO","2018","1","Climate Smart Agriculture: Building Resilience to Climate Change","Book","https://www.researchgate.net/publication/320372437_Climate-Smart_Agriculture_-_Building_Resilience_to_Climate_Change"
"FAO","2018","2","Maize markets in Eastern and Southern Africa (ESA) in the context of climate change","Report",
"FAO","2019","1","Latin American Agriculture: Prospects and Challenges","FAO Report","http://www.fao.org/3/CA4076EN/CA4076EN_Chapter2_Latin_American_Agriculture.pdf"
"FAO","2019","2","Latin American and Caribbean Forestry Commission: Forests and climate change moving towards the 25th Session of the Conference of the Parties (COP 25) to the UNFCCC.","Report","https://www.fao.org/3/ca5825en/ca5825en.pdf"
"FAO","2019","3","THE STATE OF FOOD SECURITY AND NUTRITION IN THE WORLD","Journal article","https://www.unicef.org/media/55926/file/SOFI-2019-in-brief.pdf"
"FAO","2020","1","Committee on forestry. Transforming agriculture and food systems: Halting deforestation and promoting sustainable production and consumption of forest products","Report","https://www.fao.org/3/nd565en/nd565en.pdf"
"FAO","2021","1","Climate Change fans spread of pests and threatens plants and crops: New FAO study.","FAO Report","https://www.fao.org/news/story/en/item/1402920/icode/"
"FAO","2021","2","Climate change fans spread of pests and threatens plants and crops, new FAO study","Report","https://www.fao.org/news/story/en/item/1402920/icode/"
"FAO","2021","3","New FAO report highlights urgent need to restore Africa’s degraded landscape","FAO Report","https://news.un.org/en/story/2021/09/1101632"
"FAO","2022","1","African swine fever (ASF) situation update in Asia and Pacific","Report","https://www.fao.org/animal-health/situation-updates/asf-in-asia-pacific/en"
"FAO","2022","2","Land and Water: Banana","Report","https://www.fao.org/land-water/databases-and-software/crop-information/banana/en/
"
"FAO","2022","3","Soil fertility","Webpage","https://www.fao.org/global-soil-partnership/areas-of-work/soil-fertility/en/"
"FAO","2022","4","STATUS OF DIGITAL AGRICULTURE
IN 47 SUB-SAHARAN AFRICAN COUNTRIES","Report","https://www.fao.org/3/cb7943en/cb7943en.pdf"
"FAO","2022","5","Plant pests and diseases: FAO Emergencies","Article","https://www.fao.org/emergencies/en/"
"FAO and UNICEF EAPRO","2021","1","Asia and the Pacific Regional Overview of Food Insecurity and Nutrition","Publication","https://www.unicef.org/eap/reports/asia-and-pacific-regional-overview-food-insecurity-and-nutrition"
"FAO and UNICEF EAPRO","2021","2","Asia and the Pacific Regional Overview of Food Insecurity and Nutrition.","FAO Report","https://www.unicef.org/eap/reports/asia-and-pacific-regional-overview-food-insecurity-and-nutrition"
"Fay et al.","2017","1","Rethinking Infrastructurein Lat in America and the Caribbean; Spending Better to Achieve More","World Bank Report","https://openknowledge.worldbank.org/bitstream/handle/10986/26390/114110-REVISED-PUBLIC-RethinkingInfrastructureFull.pdf"
"Fayad.","2022","1","Climate Change and Chronic Food Insecurity in Sub-Saharan Africa","Book Chapter","https://www.imf.org/-/media/Files/Publications/DP/2022/English/CCCFISSAEA.ashx"
"Feld and Galiani","2015","1","Climate change in Latin America and the Caribbean: policy options and research priorities.","Economic review article","https://doi.org/10.1007/s40503-015-0028-4"
"Feld and Galiani","2015","2","Climate change in Latin America and the Caribbean: policy options and research priorities","Journal article","https://latinaer.springeropen.com/articles/10.1007/s40503-015-0028-4"
"Felix and Romuald","2012","1","Rainfall Shocks, Food Prices Vulnerability and Food Security: Evidence for Sub-
Saharan African Countries.","Journal","https://www.afdb.org/sites/default/files/documents/publications/aec_2012_-_rainfall_shocks_food_prices_vulnerability_and_food_security-evidence_for_sub-saharan_african_countries.pdf"
"Fenzi et al.","2015","1","Longitudinal analysis of maize diversity in Yucatan, Mexico: influence of agro-ecological factors on landraces conservation and modern variety introduction",,"http://journals.cambridge.org/article_S1479262115000374"
"Fernando","2006","1","Trends in Land Degradation in Latin America
and the Caribbean","Publication (Center on Agriculture and Environment, AGRIMED)","http://www.wamis.org/agm/meetings/wocald06/S2-Santibanez.pdf"
"Ferraro et al.","2015","1","Cassava (Manihot esculenta Crantz) and Yam (Dioscorea spp.) Crops and Their Derived Foodstuffs: Safety, Security and Nutritional Value","Journal article","https://doi.org/10.1080/10408398.2014.922045"
"Ferrise et al.","2013","1","Climate Change Impacts on Typical Mediterranean Crops and Evaluation of Adaptation
Strategies to Cope With. In A. Navarra and L. Tubiana (Eds.), Regional Assessment
of Climate Change in the Mediterranean","Report","https://mdpires.com/d_attachment/sustainability/sustainability-11-02769/article_deploy/sustainability-11-02769.pdf?version=1557894327"
"Fiebig-Wittmaack et al.","2011","1","Climatic trends and impact of climate change on agriculture in an arid Andean valley","Article/Journal","https://link.springer.com/article/10.1007/s10584-011-0200-z"
"Filho et al.","2020","1","Introducing experiences from African pastoralist communities to cope with climate change risks, hazards and extremes: Fostering poverty reduction","Journal article","https://doi.org/10.1016/j.ijdrr.2020.101738"
"Finlayson et al.","2019","1","East and Southeast Asia","Book","https://worldgeo.pressbooks.com/chapter/east-and-southeast-asia/"
"Fisher et al.","2015","1","Drought tolerant maize for farmer adaptation to drought in sub-Saharan Africa: Determinants of adoption in eastern and southern Africa.","Journal","https://link.springer.com/article/10.1007/s10584-015-1459-2"
"Flachsbarth et al.","2015","1","The Role of Latin America’s Land and Water Resources for Global Food Security: Environmental Trade-Offs of Future Food Production Pathways.","Journal","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0116733"
"Fleming","2019","1","Reshaping Africa’s rural food systems and cutting food losses.","Article","https://ensia.com/features/africa-food-loss-refrigeration-cold-storage-economy/"
"Fleshman","2008","1","Saving Africa’s forests, the ‘lungs of the world’","Report","https://www.un.org/africarenewal/magazine/january-2008/saving-africa%E2%80%99s-forests-%E2%80%98lungs-world%E2%80%99"
"Flintan et al.","2022","1","Opportunities for Participatory
Rangeland Management (PRM)
in the Great Green Wall Initiative
in Mali and Senegal","Report","https://hdl.handle.net/10568/119174"
"Fraval et al.","2019","1","Food Access Deficiencies in Sub-saharan Africa: Prevalence and Implications for Agricultural Interventions","Journal article","https://www.frontiersin.org/articles/10.3389/fsufs.2019.00104/full"
"Friedman et al.","2022","1","Designing Climate Information Services to Enhance Resilient Farming Activities: Lessons From Papua New Guinea","Journal article","https://www.frontiersin.org/articles/10.3389/fclim.2022.871987/full"
"Garcia et al.","2022","1","Soil governance and sustainable agriculture in Mexico","Journal article","https://www.sciencedirect.com/science/article/pii/S2667006222000260"
"García-Ruiz et al.","2011","1","Mediterranean water resources in a global change scenario. Earth-Science Reviews","Article","doi:10.1016/j.earscirev.2011.01.006"
"Gardner et al.","2014","1","Governing for sustainability in agricultural-forest frontiers: A case study of the Brazilian Amazon.","Journal article","https://www.jstor.org/stable/resrep00384?seq=1"
"Garitty","2012","1","Understanding African Farming Systems: Science and Policy Implications. Invited paper, Food Security in Africa: bridging research into practice","Conference Paper","https://www.researchgate.net/profile/Boffa-J-M/publication/258518038_Garrity_D_Dixon_J_Boffa_J-M_2012_Understanding_African_Farming_Systems_Science_and_Policy_Implications_Invited_paper_Food_Security_in_Africa_bridging_research_into_practice_30_November_2012_Sydney_Aus/links/5eaaac9a45851592d6ac2d0b/Garrity-D-Dixon-J-Boffa-J-M-2012-Understanding-African-Farming-Systems-Science-and-Policy-Implications-Invited-paper-Food-Security-in-Africa-bridging-research-into-practice-30-November-2012-Sydn.pdf?origin=publication_detail"
"Garrett et al.","2017","1","Explaining the persistence of low income and environmentally degrading land uses in the Brazilian Amazon.","Journal article","https://www.jstor.org/stable/26270164?seq=1"
"Garrity et al.","2012","1","Understanding African Farming Systems: Science and Policy Implications","Report","Understanding African Farming Systems: Science and Policy Implications (aciar.gov.au)"
"Garrity et al.","2012","2","Understanding African Farming Systems: Science and Policy Implications","Journal article","https://www.researchgate.net/publication/258518038_Garrity_D_Dixon_J_Boffa_J-M_2012_Understanding_African_Farming_Systems_Science_and_Policy_Implications_Invited_paper_Food_Security_in_Africa_bridging_research_into_practice_30_November_2012_Sydney_Aus"
"Gaur et al.","2010","1","Chickpea Seed Production Manual","Book",
"Gautam et al.","2013","1","Climate change and its impact on plant diseases","Journal","https://www.jstor.org/stable/24099750"
"Gebre et al.","2015","1","Farmers climate change adaptation options and their determinants in Tigray Region, Northern Ethiopia","Journal article","https://www.researchgate.net/publication/274715013_Farmers_climate_change_adaptation_options_and_their_determinants_in_Tigray_Region_Northern_Ethiopia"
"Gebrehiwot et al.","2016","1","The Need for Agricultural Water Management in Sub-Saharan Africa","Journal article","https://www.scirp.org/journal/paperinformation.aspx?paperid=69117"
"Gebrekirstos et al.","2011","1","Understanding past, present, and future climate changes from East to West Africa","Journal article","https://cgspace.cgiar.org/handle/10568/34974"
"GEPA","2017","1","Sector capabilities: Cassava from Ghana","Webpage","https://www.gepaghana.org/import/ghana-product/cassava-from-ghana/"
"Gianella et al.","2019","1","Climate Change, Agriculture, and Adaptation Options for Peru","Report","https://ebrary.ifpri.org/digital/api/collection/p15738coll2/id/133213/download"
"Gianessi","2014","1","IMPORTANCE OF PESTICIDES FOR GROWING MAIZE IN SUB-SAHARAN AFRICA","Report","https://croplife.org/case-study/importance-of-pesticides-for-growing-maize-in-sub-saharan-africa/"
"Giller","2020","1","The Food Security Conundrum of sub-Saharan Africa","Journal article","https://www.sciencedirect.com/science/article/pii/S2211912420300857"
"Giller","2020","2","The Food Security Conundrum of sub-Saharan Africa.","Journal","https://doi.org/10.1016/j.gfs.2020.100431"
"Giller et al.","2021","1","Small farms and development in sub‑Saharan Africa: Farming for food, for income or for lack of better options?","Journal article","https://cgspace.cgiar.org/rest/bitstreams/8a2129d7-7f0c-4255-b977-a29a384b2a2e/retrieve"
"Ginting","2022","1","Investing in Asia’s Water Sector Infrastructure","Journal article","https://www.aiib.org/en/news-events/media-center/blog/2022/Investing-in-Asia-s-Water-Sector-Infrastructure.html"
"Giráldez et al.","2020","1","Change of the Rainfall Seasonality Over Central Peruvian Andes: Onset, End, Duration and Its Relationship With Large-Scale Atmospheric Circulation","Report","https://mdpi-res.com/d_attachment/climate/climate-08-00023/article_deploy/climate-08-00023.pdf?version=1580208740"
"Githu et al.","2022","1","Pastoralist herd size maintenance during drought with the use of reseeded fields near Lake Baringo, Kenya","Journal article","https://pastoralismjournal.springeropen.com/articles/10.1186/s13570-022-00238-4"
"GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH)","2018","1","Agricultural insurance policies for farmers in Peru","Website","https://www.giz.de/en/mediacenter/62830.html"
"Godde et al.","2021","1","Impacts of climate change on the livestock food supply chain; a review of the evidence","Journal","https://www.sciencedirect.com/science/article/pii/S2211912420301413"
"Godde et al.","2021","2","Impacts of climate change on the livestock food supply chain; a review of the evidence","Journal article","https://www.sciencedirect.com/science/article/pii/S2211912420301413"
"Godoy","2015","1","Water Politics Polarised in Mexico.",,"http://www.ipsnews.net/2015/04/water-politics-polarised-in-mexico"
"Godoy","2021","1","Impacts of climate change on the livestock food supply chain; a review of the evidence","Journal article","https://www.sciencedirect.com/science/article/pii/S2211912420301413"
"Goedde et al.","2019","1","Winning in Africa’s agricultural market","Article","https://www.mckinsey.com/industries/agriculture/our-insights/winning-in-africas-agricultural-market"
"GOM","2014","1","National Water Plan: 2013-2018.","GOM Report","http://www.unwater.org/fileadmin/user_upload/unwater_new/docs/Publications/MEX_pagebypage.pdf"
"Gornall et al.","2010","1","Implications of climate change for agricultural productivity in the early twenty-first century","Journal article","https://royalsocietypublishing.org/doi/10.1098/rstb.2010.0158"
"Gourdji et al.","2015","1","Historical climate trends, deforestation, and maize and bean yieldsin Nicaragua","Journal article","https://www.sciencedirect.com/science/article/pii/S0168192314002536"
"Govind","2022","1","Towards Climate Change Preparedness in the MENA’s Agricultural Sector.","Journal article","https://www.mdpi.com/2073-4395/12/2/279"
"Gowing and Palmer","2007","1","Sustainable agricultural development in sub-Saharan Africa: the case for a paradigm shift in land husbandry","Journal","https://bsssjournals.onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2007.00137.x"
"Grabs","2020","1","Fostering sustainable development in coffee-exporting countries: Coffee production and the natural environment: Challenges and opportunities","UNCTAD document","https://unctad.org/system/files/non-official-document/18Feb2020_Coffee_Grabs.pdf"
"Grote et al.","2021","1","Food Security and the Dynamics of Wheat and Maize Value Chains in Africa and Asia.",,"https://doi.org/10.3389/fsufs.2020.617009"
"Growth Research and Development Corporation","2018","1","Growth Research and Development Corporation","Report",
"Gruter et al.","2022","1","Expected global suitability of coffee, cashew and avocado due to climate change.","Journal article","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261976"
"GSO","2021","1","Statistical yearbook of Vietnam","Government report","https://www.gso.gov.vn/en/data-and-statistics/2021/07/statistical-yearbook-of-2020/"
"Guido et al.","2020","1","Farmer forecasts: Impacts of seasonal rainfall expectations on agricultural decision-making in Sub-Saharan Africa","Journal article","https://www.sciencedirect.com/science/article/pii/S2212096320300371"
"Gwilliam et al.","2009","1","The Burden of Maintenance: Roads in Sub-Saharan Africa","Report","https://roadsforwater.org/wp-content/uploads/2013/10/the-burden-of-maintenance_roads-in-SSA.pdf"
"Haarhoff et al.","2020","1","A prospectus for sustainability of rainfed maize production systems in South Africa","Journal article","https://doi.org/10.1002/csc2.20103"
"Haefele and Bouman","2009","1","Drought-prone rainfed lowland rice in Asia: limitations and management options","Journal article","https://www.researchgate.net/publication/279611275_Drought-prone_rainfed_lowland_rice_in_Asia_limitations_and_management_options"
"Hagen et al.","2022","1","Climate change-related risks and adaptation potential in Central and South America during the 21st century","Article","https://iopscience.iop.org/article/10.1088/1748-9326/ac5271"
"Hagen et al.","2022","2","Climate change-related risks and adaptation potential in Central and South America during the 21st century","Journal article","https://ui.adsabs.harvard.edu/abs/2022ERL....17c3002H/abstract"
"Haggar et al.","2021","1","Understanding and informing decisions on Sustainable Agricultural Intensification in Sub-Saharan Africa","Journal article","https://www.tandfonline.com/doi/full/10.1080/14735903.2020.1818483"
"Hallegatte et al.","2016","1","Shock Waves: Managing the Impacts of Climate Change on Poverty","Report","https://openknowledge.worldbank.org/handle/10986"
"Hanjra and Williams","2020","1","Global Change and Investments in Smallholder Irrigation for Food and Nutrition Security in Sub-Saharan Africa.","Journal","https://link.springer.com/chapter/10.1007/978-3-030-42148-9_6"
"Hannah et al.","2017","1","Regional modeling of climate change impacts
on smallholder agriculture and ecosystems
in Central America","Journal article","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://link.springer.com/content/pdf/10.1007/s10584-016-1867-y.pdf"
"Harlan and Raymond","2015","1","Managing weather and climate risks to agriculture in North America, Central America and the Caribbean","Journal article","https://doi.org/10.1016/j.wace.2015.10.006"
"Harvey et al.","2018","1","Climate change impacts and adaptation among smallholder farmers in Central America","Journal article","https://agricultureandfoodsecurity.biomedcentral.com/articles/10.1186/s40066-018-0209-x"
"Hasnat et al.","2018","1","Major Environmental Issues and Problems of South Asia, Particularly Bangladesh","Journal","https://doi.org/10.1007/978-3-319-58538-3_7-1"
"Hassan and Aenis","2016","1","Participation in Extension Program Planning for an Improvement of Smallholders' Livelihoods in the MENA Region","Research paper","https://www.harper-adams.ac.uk/events/ifsa/papers/1/1.4%20Aenis.pdf"
"Hauser et al.","2014","1","Cassava system cropping guide","Report","https://www.iita.org/wp-content/uploads/2016/06/Cassava_system_cropping_guide.pdf"
"He et al.","2021","1","Flood impacts on urban transit and accessibility—A case study of Kinshasa,Transportation Research Part D: Transport and Environment","Journal","https://doi.org/10.1016/j.trd.2021.102889.(https://www.sciencedirect.com/science/article/pii/S1361920921001905)"
"Hellin et al.","2020","1","Trans-Disciplinary Responses to Climate Change:
Lessons from Rice-Based Systems in Asia","Journal article","https://cgspace.cgiar.org/handle/10568/109953"
"Hellin et al.","2020","2","Trans-Disciplinary Responses to Climate Change:
Lessons from Rice-Based Systems in Asia","Journal article","https://www.mdpi.com/2225-1154/8/2/35"
"Hen-I Lin et al.","2022","1","Status of Food Security in East and Southeast Asia and Challenges of Climate Change","Journal","https://www.mdpi.com/2225-1154/10/3/40/pdf"
"Hen-I Lin et al.","2022","2","Status of Food Security in East and Southeast Asia and Challenges of Climate Change","Journal article","https://www.mdpi.com/2225-1154/10/3/40/pdf"
"Hen-I Lin et al.","2022","3","Status of Food Security in East and Southeast Asia and Challenges of Climate Change","Journal","https://doi.org/10.3390/cli10030040"
"Hepp et al.","2019","1","Transitioning towards commercial upland agriculture: A comparative study in Northern Lao PDR","Journal article","https://www.tandfonline.com/doi/full/10.1016/j.njas.2018.11.001"
"Hernandez et al.","1994","1","FAO Plant Production and Protection Series No.26","Book","https://www.feedipedia.org/node/25906"
"Herrero and Thornton","2011","1","Production Systems for the Future: Balancing Trade-Offs between Food Production, Efficiency, Livelihoods and the Environment.","Key note paper","https://globalresearchalliance.org/wp-content/uploads/2018/02/Nairobi-Kenya-LRG-Regional-Workshop-Presentation-day-1-Herraro-Sept-2012.pdf"
"Herrero et al.","2016","1","Climate change and pastoralism: impacts,
consequences and adaptation","Journal article","https://www.researchgate.net/profile/Mario-Herrero/publication/311449728_Climate_change_and_pastoralism_impacts_consequences_and_adaptation_-EN-_-FR-_Le_changement_climatique_et_le_pastoralisme_effets_consequences_et_adaptation_-ES-_Cambio_climatico_y_pastoreo_efectos_dire/links/5851e12a08ae95fd8e1afcb8/Climate-change-and-pastoralism-impacts-consequences-and-adaptation-EN--FR-Le-changement-climatique-et-le-pastoralisme-effets-consequences-et-adaptation-ES-Cambio-climatico-y-pastoreo-efectos-d.pdf"
"Hiwasaki et al.","2016","1","Integrated Systems Research for Sustainable Smallholder Agriculture in the Central Mekong: Achievements and challenges of implementing integrated systems research","Book","https://cgspace.cgiar.org/handle/10568/78299"
"Holden et al.","2016","1","Land tenure reforms, tenure security and food security in poor agrarian economies: Causal linkages and research gaps","Journal article","https://www.sciencedirect.com/science/article/pii/S2211912416300153"
"Hoq et al.","2021","1","Welfare impact of market participation: The case of rice farmers from wetland ecosystem in Bangladesh.","Journal article","https://www.sciencedirect.com/science/article/pii/S2667010021002717?via%3Dihub"
"Horie","2019","1","Global warming and rice production in Asia: Modeling, impact prediction and adaptation","Journal article","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6751296/"
"HORIE","2019","1","Global warming and rice production in Asia: Modeling, impact prediction and adaptation","Journal article","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6751296/"
"Hossain et al.","2020","1","Wheat (Triticum aestivum L.) in the Rice-Wheat Systems of South Asia Is Influenced by Terminal Heat Stress at Late Sown Condition: A Case in Bangladesh","Journal article","https://www.intechopen.com/chapters/71534"
"Howeler et al.","2001","1","STRATEGIC ENVIRONMENTAL ASSESSMENT An Assessment of the Impact of Smallholder Cassava Production and Processing Practices on the Environmet.",,"https://www.researchgate.net/publication/322498955_STRATEGIC_ENVIRONMENTAL_ASSESSMENT_An_Assessment_of_the_Impact_of_Smallholder_Cassava_Production_and_Processing_Practices_on_the_Environment"
"Huang et al.","2016","1","Accelerated dryland expansion under climate change. Nature Climate Change","Report","https://www.nature.com/articles/nclimate2837"
"Hughes","2014","1","Literature Review of Land Tenure in Niger, Burkina Faso and Mali: Context and Opportunities.","Report","https://www.crs.org/sites/default/files/tools-research/literature-review-of-land-tenure-in-niger-burkina-faso-mali.pdf"
"Hussain et al.","2019","1","Temperature extremes: Impact on rice growth and development","Journal article","https://www.researchgate.net/publication/336406390_Temperature_Extremes_Impact_on_Rice_Growth_and_Development"
"Hutchinson et al.","2013","1","An assessment of the economic and social
impacts of climate change on the agriculture
sector in the Caribbean","Report","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cepal.org/sites/default/files/publication/files/38278/LCCARL398_en.pdf"
"Hyman et al.","2016","1","Priority regions for research on dryland cereals and legumes.","Journal article","https://pubmed.ncbi.nlm.nih.gov/27303632/"
"ICARDA","2021","1","It is not just about wheat - how diversified cropping systems help family farmers and the planet.","Webpage","https://www.cgiar.org/news-events/news/its-not-just-about-wheat-how-diversified-cropping-systems-help-family-farmers-and-the-planet/"
"ICRC","2021","1","Asia Pacific: Region overview","Climate Centre Report","https://www.climatecentre.org/wp-content/uploads/RCCC-ICRC-Country-profiles-Region_Asia_Pacific.pdf"
"ICRISAT","2021","1","ICRISAT website","Website","https://www.icrisat.org/"
"IDB","2021","1","Climate Change Impacts on Agriculture in Latin America and Caribbean:Application of the Intergrated Economic-Environmenal Modelling (IEEM)Platform","IDB Working paper","http://www.iadb.org/"
"IDMC","2019","1","More than 13 million people internally displaced across Asia in 2018, 2019b","IDMC Report","https://www.internal-displacement.org/media-centres/more-than-13-million-people-internally-displaced-across-asia-in-2018"
"IFAD","2011","1","Agriculture – Pathways to Prosperity in Asia and the Pacific","Report","https://www.ifad.org/documents/38714170/39135645/pathways.pdf/d87b6f4d-88cb-4c84-8b7e-6a645d0f5ea0"
"IFAD","2011","2","Pathways to Prosperity in Asia and the Pacific","IFAD Report","https://www.ifad.org/documents/38714170/39135645/pathways.pdf/d87b6f4d-88cb-4c84-8b7e-6a645d0f5ea0"
"IFAD","2011","3","Agriculture – Pathways to Prosperity in Asia and the Pacific","Book","https://www.ifad.org/documents/38714170/39135645/pathways.pdf/d87b6f4d-88cb-4c84-8b7e-6a645d0f5ea0"
"IFAD","2013","1","Smallholders, food security, and the environment","Report","https://www.ifad.org/documents/38714170/39135645/smallholders_report.pdf/133e8903-0204-4e7d-a780-bca847933f2e"
"IFAD","2017","1","Asia-Pacific Farmers’ Forum IFAD’s Medium-term Cooperation Programme with Farmers’ OrganizationsPhase Two (MTCP2)","IFAD Report","https://www.ifad.org/documents/38714170/39148759/MTCP2_apr.pdf/d9ca7f99-1c5e-4925-8962-d02646b66934"
"IFAD","2019","1","The Latin America and Caribbean Advantage Family farming – a critical success factor for resilient food security and nutrition","IFAD Report","https://www.ifad.org/documents/38714170/41422565/lac_advantage_e.pdf/fcc0594c-c8b6-23d9-543d-e1dcc2a6e233"
"IFAD","2021","1","Smallholder farming key to development in Latin America and the Caribbean","IFAD Report","https://www.ifad.org/en/web/latest/-/speech/smallholder-farming-key-to-development-in-latin-america-and-the-caribbean"
"IFAD","2021","2","Why land tenure is crucial for sustainable food systems","Report","https://www.ifad.org/en/web/latest/-/fs-thematic-land"
"IFAD","2022","1","Asia and the Pacific: Investing in rural people.","IFAD Report","https://www.ifad.org/en/web/operations/regions/apr"
"IFPRI","2007","1","Is Food Insecurity More Severe in South Asia or Sub-Saharan Africa?","Paper","http://landwise-production.s3.amazonaws.com/2022/03/Smith_et_al_Is_food_insecurity_more_severe_2007.pdf"
"IICA","2017","1","WATER FOR AGRICULTURE IN THE AMERICAS","Inter-American Institute for Cooperation on Agriculture document","https://repositorio.iica.int/bitstream/handle/11324/6148/BVE17109367i.pdf;jsessionid=AEE6DA082BDA94ED9A4F52E06688E8CB?sequence=2https://cgspace.cgiar.org/handle/10568/83484"
"Ikisan","2021","1","Ikisan - Agriculture Information Resource to Farmers","Website","https://www.ikisan.com/"
"ILRI","2013","1","Supporting the vulnerable: Increasing adaptive
capacities of agropastoralists to climate
change in West and southern Africa using
a transdisciplinary research approach","Report","https://cgspace.cgiar.org/bitstream/handle/10568/34882/PR_AgroPastoralists.pdf"
"Imbach et al.","2017","1","Climate change, ecosystems and smallholder agriculture in Central America: An introduction to the special issue","Journal article","https://link.springer.com/article/10.1007/s10584-017-1920-5"
"IMF","1995","1","Trade and Industrial Policy Reform in Latin America","IMF Report","https://doi.org/10.5089/9781557755179.071"
"IMF","2017","1","TRADE POLICY ISSUES IN LATIN AMERICA AND THE CARIBBEAN: VIEWS FROM COUNTRY AUTHORITIES AND CURRENT STATE OF PLAY","IMF document","https://www.imf.org/~/media/Files/Publications/CR/2017/cr1766-ap-1.ashx"
"IMF","2017","2","TRADE POLICY ISSUES IN LATIN AMERICA AND THE CARIBBEAN: VIEWS FROM COUNTRY AUTHORITIES AND CURRENT STATE OF PLAY","IMF Report","https://www.imf.org/~/media/Files/Publications/CR/2017/cr1766-ap-1.ashx"
"IMF","2020","1","Adapting to Climate Change in Sub-Saharan Africa.","IMF Report","https://www.elibrary.imf.org/view/books/086/28915-9781513536835-en/ch02.xml"
"IMF","2020","2","Adapting to Climate Change in Sub-Saharan Africa","Report","https://www.imf.org/-/media/Files/Publications/REO/AFR/2020/April/English/ch2.ashx"
"IMF","2021","1","Food Inflation in Sub-Saharan Africa","IMF Report","https://blogs.imf.org/2021/12/06/food-inflation-in-sub-saharan-africa/"
"IMF","2021","2","F&D Special Feature: Africa at a Crossroads: Learning from the Past and Looking to the Future.","Article","https://www.imf.org/en/Publications/fandd/issues/2021/12/Africa-Boosting-Climate-Responsiveness-SubSaharan-Public-Investment"
"INDC","2016","1","India's Intended Nationally Determined Contribution","Report","https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/India%20First/INDIA%20INDC%20TO%20UNFCCC.pdf"
"INDIA, R. B. O.","2018","1","State Finances, A Study of Budgets of 2017-18 and 2018-19","Report","https://smartnet.niua.org/sites/default/files/resources/0sf201718_full6ee17cfbd8004287a0cd4fdb0632afe8.pdf"
"Innazent et a.l","2022","1","Farm typology of smallholders integrated farming systems in Southern Coastal Plains of Kerala, India","Journal article","https://doi.org/10.1038%2Fs41598-021-04148-0"
"Innocent et al.","2020","1","State Of Water Storage In African Cities: Assessing Constraints To Urban-water Harvesting In Sub-saharan Africa.","Journal","https://www.researchgate.net/publication/339241019_State_Of_Water_Storage_In_African_Cities_Assessing_Constraints_To_Urban-water_Harvesting_In_Sub-saharan_Africa"
"IPCC","2014","1","Climate Change 2014: Impacts, Adaptation, and Vulnerability. Part A: Global and Sectoral Aspects","Report","https://www.cambridge.org/core/books/climate-change-2014-impacts-adaptation-and-vulnerability-part-a-global-and-sectoral aspects/1BE4ED76F97CF3A75C64487E6274783A"
"IPCC","2019","1","Climate change and land: an IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems.","Report",
"IPCC","2019","6","Impact of conservation tillage in rice–based cropping systems on soil aggregation, carbon pools and nutrients.","Journal article","https://www.sciencedirect.com/science/article/pii/S0016706118309212"
"IPCC","2022","1","Sixth Assessment Report: Regional fact sheet - Asia","Fact Sheet","https://www.ipcc.ch/report/ar6/wg1/downloads/factsheets/IPCC_AR6_WGI_Regional_Fact_Sheet_Asia.pdf"
