TempCount,"FS name","FS macro region","From","Link type","To","Description","Citation","Year","URL","ID"
834,"Forest based Livestock","LAC","Increase in deforestation/land clearing","Leads to","Land degradation","The Amazon Basin is undergoing extensive environmental degradation as a result of deforestation and increasing incidences of forest fires. Deforestation can impact soil functioning for years, including nutrient and carbon storage and recycling, erosion proclivity, and water drainage and filtration. Forest degradation is exacerbated by increasing dry periods in the Amazon Basin.","Silva et al.","2022",,"571"
835,"Forest based Livestock","LAC","Increase in deforestation/land clearing","Leads to","Land degradation","The Amazon Basin is undergoing extensive environmental degradation as a result of deforestation and increasing incidences of forest fires. Deforestation can impact soil functioning for years, including nutrient and carbon storage and recycling, erosion proclivity, and water drainage and filtration. Forest degradation is exacerbated by increasing dry periods in the Amazon Basin.","López-Carr","2021",,"571"
836,"Forest based Livestock","LAC","Reduced crop productivity/failure","Leads to","Reduced fodder availability","Climate change is expected to reduce crop yields in the Amazon region, thereby affecting fodder availability. For example, around 80% of Amazon soy is produced for animal feed. With a 4°C mean global temperature increase, soybean production in the Brazilian Amazon is projected to decline by 44% by 2050, and with a 2°C temperature increase, it is projected to decline by 1.8%. Additionally by 2100, it is projected that climate change will reduce pasture growth resulting in annual livestock productivity declines of up to 25% (average of various scenarios), compared with the base period of 1970–2010.","USAID","2018",,"572"
837,"Forest based Livestock","LAC","Reduced crop productivity/failure","Leads to","Reduced fodder availability","Climate change is expected to reduce crop yields in the Amazon region, thereby affecting fodder availability. For example, around 80% of Amazon soy is produced for animal feed. With a 4°C mean global temperature increase, soybean production in the Brazilian Amazon is projected to decline by 44% by 2050, and with a 2°C temperature increase, it is projected to decline by 1.8%. Additionally by 2100, it is projected that climate change will reduce pasture growth resulting in annual livestock productivity declines of up to 25% (average of various scenarios), compared with the base period of 1970–2010.","Tapasco et al.","2019",,"572"
838,"Forest based Livestock","LAC","Crop stress/damage/mortality","Leads to","Increase in food insecurity","Small-scale subsistence agriculture, the main livelihood of indigenous communities in the Amazon Basin, is threatened by climate change hazards such as drought and flooding. The resulting crop damage increases food insecurity amongst smallholder farmers.","USAID","2018",,"573"
839,"Forest based Livestock","LAC","Crop stress/damage/mortality","Leads to","Loss of income","Small-scale subsistence agriculture, the main livelihood of indigenous communities in the Amazon Basin, is threatened by climate change hazards such as drought and flooding. The resulting crop damage contributes to income loss for smallholder farmers.","Gardner et al.","2016",,"574"
840,"Forest based Livestock","LAC","Crop stress/damage/mortality","Leads to","Loss of income","Small-scale subsistence agriculture, the main livelihood of indigenous communities in the Amazon Basin, is threatened by climate change hazards such as drought and flooding. The resulting crop damage contributes to income loss for smallholder farmers.","USAID","2018",,"574"
841,"Forest based Livestock","LAC","Loss of income","Leads to","Increase in poverty","As the vast majority of people living in rural areas of the Amazon Basin are poor smallholder farmers, losses in income incurred as a result of climate change will force them further into poverty.","Gardner et al.","2016",,"575"
842,"Forest based Livestock","LAC","Livestock mortalities","Leads to","Loss of income","Small-scale subsistence agriculture, the main livelihood of indigenous communities in the Amazon Basin, is threatened by climate change hazards such as flooding which can lead to livestock mortalities and contribute to a loss of income for smallholder farmers.","Gardner et al.","2016",,"576"
843,"Forest based Livestock","LAC","Livestock mortalities","Leads to","Loss of income","Small-scale subsistence agriculture, the main livelihood of indigenous communities in the Amazon Basin, is threatened by climate change hazards such as flooding which can lead to livestock mortalities and contribute to a loss of income for smallholder farmers.","USAID","2018",,"576"
844,"Forest based Livestock","LAC","Increased flooding
","Leads to","Damage to infrastructure","Increased flooding may restrict the use of transportation infrastructure, such as road networks within the region, limiting farmers’ access to extension services, credit facilities and markets, amongst others.","USAID","2018",,"577"
845,"Forest based Livestock","LAC","Increased flooding
","Leads to","Damage to infrastructure","Increased flooding may restrict the use of transportation infrastructure, such as road networks within the region, limiting farmers’ access to extension services, credit facilities and markets, amongst others.","de Andrade et al.","2017",,"577"
846,"Forest based Livestock","LAC","Increase in heat stress","Leads to","Reduced livestock productivity","High temperatures reduce feed intake and growth rates, increase livestock mortality, and result in economic losses.","USAID","2018",,"578"
847,"Forest based Livestock","LAC","Increase in heat stress","Leads to","Reduced livestock productivity","High temperatures reduce feed intake and growth rates, increase livestock mortality, and result in economic losses.","Tapasco et al.","2019",,"578"
848,"Forest based Livestock","LAC","Reduced fodder availability","Leads to","Reduced livestock productivity","Decreases in livestock feed due to reduced crop yields could impact the health of livestock, and in turn, adversely affect livestock production. For example, around 80% of Amazon soy is produced for animal feed. With a 4°C mean global temperature increase, soybean production in the Brazilian Amazon is projected to decline by 44% by 2050, and with a 2°C temperature increase, it is projected to decline by 1.8%. Additionally by 2100, it is projected that climate change will reduce pasture growth resulting in annual livestock productivity declines of up to 25% (average of various scenarios), compared with the base period of 1970–2010.","USAID","2018",,"579"
849,"Forest based Livestock","LAC","Reduced fodder availability","Leads to","Reduced livestock productivity","Decreases in livestock feed due to reduced crop yields could impact the health of livestock, and in turn, adversely affect livestock production. For example, around 80% of Amazon soy is produced for animal feed. With a 4°C mean global temperature increase, soybean production in the Brazilian Amazon is projected to decline by 44% by 2050, and with a 2°C temperature increase, it is projected to decline by 1.8%. Additionally by 2100, it is projected that climate change will reduce pasture growth resulting in annual livestock productivity declines of up to 25% (average of various scenarios), compared with the base period of 1970–2010.","Tapasco et al.","2019",,"579"
850,"Forest based Livestock","LAC","Damage to infrastructure","Leads to","Limited access to markets","Damage to transport infrastructure due to climate impacts such as flooding can restrict farmers' access to markets.","USAID","2018",,"580"
851,"Forest based Livestock","LAC","Damage to infrastructure","Leads to","Limited access to markets","Damage to transport infrastructure due to climate impacts such as flooding can restrict farmers' access to markets.","Almudi & Sinclair","2022",,"580"
852,"Forest based Livestock","LAC","Damage to infrastructure","Leads to","Limited access to markets","Damage to transport infrastructure due to climate impacts such as flooding can restrict farmers' access to markets.","de Andrade et al.","2017",,"580"
853,"Forest based Livestock","LAC","Limited access to modern technologies","Leads to","Reduced crop productivity/failure","Improving agricultural productivity is key to fostering sustainable livelihood strategies and reducing poverty amongst rural populations. This can be achieved through the adoption of modern technologies to increase yields and therefore farm incomes. Remote small-scale farmers in the Amazon Basin demonstrate low use of modern technologies and inputs.","Sellers & Bilsborrow","2020",,"581"
854,"Forest based Livestock","LAC","Limited access to markets","Leads to","Loss of income","Small farming communities in the Amazon Basin are particularly susceptible to extreme flood events because of the lack of robust infrastructure for transporting people and their goods to markets. This affects their income earning potential.","USAID","2018",,"582"
855,"Forest based Livestock","LAC","Limited access to markets","Leads to","Loss of income","Small farming communities in the Amazon Basin are particularly susceptible to extreme flood events because of the lack of robust infrastructure for transporting people and their goods to markets. This affects their income earning potential.","Almudi & Sinclair","2022",,"582"
856,"Forest based Livestock","LAC","Limited access to markets","Leads to","Loss of income","Small farming communities in the Amazon Basin are particularly susceptible to extreme flood events because of the lack of robust infrastructure for transporting people and their goods to markets. This affects their income earning potential.","de Andrade et al.","2017",,"582"
857,"Forest based Livestock","LAC","Lack of willingness to invest in sustainable agricultural practices","Leads to","Land degradation","Unsustainable land management is a direct human cause of land degradation, with agriculture being a dominant sector driving degradation.","Olsson et al.","2019",,"583"
858,"Forest based Livestock","LAC","Reduced crop productivity/failure","Leads to","Competition for resources","As agricultural yields decrease due to climate change, farmers in the Amazon basin are likely to expand cultivated areas, increasing competition for resources with other subsistence farmers, plantation and beef producers.","USAID","2018",,"584"
859,"Forest based Livestock","LAC","Increase in pests","Leads to","Reduced livestock productivity","Increased pest infestations will negatively impact agricultural productivity.","WWF","2007",,"585"
860,"Forest based Livestock","LAC","Increase in pests","Leads to","Reduced crop productivity/failure","Increased pest infestations will negatively impact agricultural productivity.","WWF","2007",,"586"
861,"Forest based Livestock","LAC","Reduced crop productivity/failure","Leads to","Increase in food insecurity","A decrease in crop productivity due to climate change will enhance food insecurity amongst subsistence farmers.","WWF","2007",,"587"
862,"Forest based Livestock","LAC","Increased incidence of forest fires","Leads to","Crop stress/damage/mortality","Reduced rainfall may increase fire risk in plantations leading to crop damage and loss.","WWF","2007",,"588"
863,"Forest based Livestock","LAC","Unsustainable land management practices","Leads to","Land degradation","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Monoculture cropping (e.g. soya and oil palm) results in a loss of biodiversity and changes in landscape structure that affect the provision of ecosystem services, increase pest outbreaks and reduce soil quality. 

","Nobre et al.","2021",,"589"
864,"Forest based Livestock","LAC","Unsustainable land management practices","Leads to","Land degradation","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Monoculture cropping (e.g. soya and oil palm) results in a loss of biodiversity and changes in landscape structure that affect the provision of ecosystem services, increase pest outbreaks and reduce soil quality. 

","Marquardt et al.","2019",,"589"
865,"Forest based Livestock","LAC","Unsustainable land management practices","Leads to","Land degradation","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Monoculture cropping (e.g. soya and oil palm) results in a loss of biodiversity and changes in landscape structure that affect the provision of ecosystem services, increase pest outbreaks and reduce soil quality. 

","Skidmore et al.","2021",,"589"
866,"Forest based Livestock","LAC","Unsustainable livestock management systems","Leads to","Increase in deforestation/land clearing","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Pasture expansion for cattle is a key driver of deforestation in the Amazon, for example, in Brazil, it has been recognised as the cause of 80% of forest clearing. 

","Skidmore et al.","2021",,"590"
867,"Forest based Livestock","LAC","Unsustainable livestock management systems","Leads to","Increase in deforestation/land clearing","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Pasture expansion for cattle is a key driver of deforestation in the Amazon, for example, in Brazil, it has been recognised as the cause of 80% of forest clearing. 

","Tapasco et al.","2019",,"590"
868,"Forest based Livestock","LAC","Unsustainable livestock management systems","Leads to","Increase in deforestation/land clearing","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Pasture expansion for cattle is a key driver of deforestation in the Amazon, for example, in Brazil, it has been recognised as the cause of 80% of forest clearing. 

","Marquardt et al.","2019",,"590"
869,"Forest based Livestock","LAC","Unsustainable livestock management systems","Leads to","Increase in deforestation/land clearing","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Pasture expansion for cattle is a key driver of deforestation in the Amazon, for example, in Brazil, it has been recognised as the cause of 80% of forest clearing. 

","Nobre et al.","2021",,"590"
870,"Forest based Livestock","LAC","Unsustainable livestock management systems","Leads to","Increase in deforestation/land clearing","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Pasture expansion for cattle is a key driver of deforestation in the Amazon, for example, in Brazil, it has been recognised as the cause of 80% of forest clearing. 

","Garrett et al.","2017",,"590"
871,"Forest based Livestock","LAC","Unsustainable livestock management systems","Leads to","Increase in deforestation/land clearing","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Pasture expansion for cattle is a key driver of deforestation in the Amazon, for example, in Brazil, it has been recognised as the cause of 80% of forest clearing. 

","López-Carr","2021",,"590"
872,"Forest based Livestock","LAC","Weak land tenure","Leads to","Increase in deforestation/land clearing","Existing land tenure systems and failed policies (i.e. the corruption or mismanagement of the forestry sector) are key drivers of deforestation in the Amazon basin. Public lands are typically not valued in the same manner as private lands, as the cost of public resource use is not incurred by the individual. These land management systems tend to result in resource overexploitation.  In Peru, it was noted that fallow land is purchased by large scale commodity producers, disregarding customary land ownership, thereby forcing subsistence farmers to move to new areas. Farmers are less likely to invest in modern technologies and practices if their land ownership is insecure and they are not guaranteed to reap the benefits of their efforts. Weak land tenure not only discourages farmers' investment in sustainable land management practices but it restricts their access to credit and risk insurance, and therefore their financial capacity to adopt such practices. 


","Tapasco et al.","2019",,"591"
873,"Forest based Livestock","LAC","Weak land tenure","Leads to","Increase in deforestation/land clearing","Existing land tenure systems and failed policies (i.e. the corruption or mismanagement of the forestry sector) are key drivers of deforestation in the Amazon basin. Public lands are typically not valued in the same manner as private lands, as the cost of public resource use is not incurred by the individual. These land management systems tend to result in resource overexploitation.  In Peru, it was noted that fallow land is purchased by large scale commodity producers, disregarding customary land ownership, thereby forcing subsistence farmers to move to new areas. Farmers are less likely to invest in modern technologies and practices if their land ownership is insecure and they are not guaranteed to reap the benefits of their efforts. Weak land tenure not only discourages farmers' investment in sustainable land management practices but it restricts their access to credit and risk insurance, and therefore their financial capacity to adopt such practices. 


","Marengo et al.","2018",,"591"
874,"Forest based Livestock","LAC","Weak land tenure","Leads to","Increase in deforestation/land clearing","Existing land tenure systems and failed policies (i.e. the corruption or mismanagement of the forestry sector) are key drivers of deforestation in the Amazon basin. Public lands are typically not valued in the same manner as private lands, as the cost of public resource use is not incurred by the individual. These land management systems tend to result in resource overexploitation.  In Peru, it was noted that fallow land is purchased by large scale commodity producers, disregarding customary land ownership, thereby forcing subsistence farmers to move to new areas. Farmers are less likely to invest in modern technologies and practices if their land ownership is insecure and they are not guaranteed to reap the benefits of their efforts. Weak land tenure not only discourages farmers' investment in sustainable land management practices but it restricts their access to credit and risk insurance, and therefore their financial capacity to adopt such practices. 


","Marquardt et al.","2019",,"591"
875,"Forest based Livestock","LAC","Weak land tenure","Leads to","Increase in deforestation/land clearing","Existing land tenure systems and failed policies (i.e. the corruption or mismanagement of the forestry sector) are key drivers of deforestation in the Amazon basin. Public lands are typically not valued in the same manner as private lands, as the cost of public resource use is not incurred by the individual. These land management systems tend to result in resource overexploitation.  In Peru, it was noted that fallow land is purchased by large scale commodity producers, disregarding customary land ownership, thereby forcing subsistence farmers to move to new areas. Farmers are less likely to invest in modern technologies and practices if their land ownership is insecure and they are not guaranteed to reap the benefits of their efforts. Weak land tenure not only discourages farmers' investment in sustainable land management practices but it restricts their access to credit and risk insurance, and therefore their financial capacity to adopt such practices. 


","López-Carr","2021",,"591"
876,"Forest based Livestock","LAC","Policy promotes unsustainable land use","Leads to","Increase in deforestation/land clearing","Land use policy typically favours agricultural intensification and monocropping which contributes to deforestation in the Amazon region. For example, in Peru, agrarian policy promotes intensified cash cropping which contributes to deforestation.","Marengo et al.","2018",,"592"
877,"Forest based Livestock","LAC","Policy promotes unsustainable land use","Leads to","Increase in deforestation/land clearing","Land use policy typically favours agricultural intensification and monocropping which contributes to deforestation in the Amazon region. For example, in Peru, agrarian policy promotes intensified cash cropping which contributes to deforestation.","Ravikumar et al.","2016",,"592"
878,"Forest based Livestock","LAC","Policy promotes unsustainable land use","Leads to","Land degradation","Some agricultural policies have directly fostered frontier forest conversion. For example, the National Institute for Colonization and Agrarian Reform (INCRA) in Brazil provided plots
larger than 100 ha to early migrant farmers, as well as credit and food allowances. In addition, tax incentives for cattle farming led to agricultural expansion and forest clearing.","López-Carr","2021",,"593"
879,"Forest based Livestock","LAC","Lack of coordination between national and local levels of government","Leads to","Low adoption of sustainable agricultural practices","A key challenge to scaling-up sustainable agricultural interventions is to integrate knowledge across multiple levels by devolving action from the national to the local level. This ensures that interventions are put in the local context and are therefore locally viable.","Tapasco et al.","2019",,"594"
880,"Forest based Livestock","LAC","Low access to credit","Leads to","Limited access to modern technologies","Access to finance is a key barrier to the adoption of technology, particularly amongst subsistence farmers in the Amazon region.","Tapasco et al.","2019",,"595"
881,"Forest based Livestock","LAC","Lack of incentives for sustainable production","Leads to","Lack of willingness to invest in sustainable agricultural practices","Farmers in the Amazon region typically lack incentives to adopt sustainable land management practices.","Nobre et al.","2021",,"596"
882,"Forest based Livestock","LAC","Lack of incentives for sustainable production","Leads to","Lack of willingness to invest in sustainable agricultural practices","Farmers in the Amazon region typically lack incentives to adopt sustainable land management practices.","Tapasco et al.","2019",,"596"
883,"Forest based Livestock","LAC","High levels of deforestation","Leads to","Land degradation","Deforestation can impact soil functioning such as nutrient and carbon storage and recycling, water drainage and filtration, and increase soil erosion in the long term. Reforestation can reverse many of these effects, but can take decades to be realised.","Marengo et al.","2018",,"597"
884,"Forest based Livestock","LAC","High levels of deforestation","Leads to","Land degradation","Deforestation can impact soil functioning such as nutrient and carbon storage and recycling, water drainage and filtration, and increase soil erosion in the long term. Reforestation can reverse many of these effects, but can take decades to be realised.","López-Carr","2021",,"597"
885,"Forest based Livestock","LAC","Unfavourable soil conditions","Leads to","Reduced crop productivity/failure","Soils in the Amazon rainforest are poorly suited to growing crops for extended periods of time as they tend to be nutrient deficient, acidic soils, and in some areas are eroded due to poor land use management practices. Where subsistence farmers engaged in shifting cultivation do not leave land fallow for long periods of time the soil nutrients tend to become depleted leading to reduced crop productivity.","USAID","2018",,"598"
886,"Forest based Livestock","LAC","Frequent forest fires","Leads to","Land degradation","Fires used for clearing vegetation or burning agricultural fields or pastures often result in unintended wildfires that spread into adjacent forests, degrading them.","Armenteras et al.","2021",,"599"
887,"Forest based Livestock","LAC","Frequent forest fires","Leads to","Land degradation","Fires used for clearing vegetation or burning agricultural fields or pastures often result in unintended wildfires that spread into adjacent forests, degrading them.","Marengo et al.","2018",,"599"
888,"Forest based Livestock","LAC","Frequent forest fires","Leads to","Land degradation","Fires used for clearing vegetation or burning agricultural fields or pastures often result in unintended wildfires that spread into adjacent forests, degrading them.","Pivello et al.","2021",,"599"
889,"Forest based Livestock","LAC","Low access to agricultural extension services","Leads to","Reduced crop productivity/failure","Farmers in remote areas of the Amazon lack access to agricultural extension agents. This restricts their access to new technology and practices thereby limiting their potential for improved agricultural productivity.","Tapasco et al.","2019",,"600"
890,"Forest based Livestock","LAC","Low access to agricultural extension services","Leads to","Reduced crop productivity/failure","Farmers in remote areas of the Amazon lack access to agricultural extension agents. This restricts their access to new technology and practices thereby limiting their potential for improved agricultural productivity.","López-Carr","2021",,"600"
891,"Forest based Livestock","LAC","Low access to agricultural extension services","Leads to","Reduced livestock productivity","Farmers in remote areas of the Amazon lack access to agricultural extension agents. This restricts their access to new technology and practices thereby limiting their potential for improved agricultural productivity.","Tapasco et al.","2019",,"601"
892,"Forest based Livestock","LAC","Low access to agricultural extension services","Leads to","Reduced livestock productivity","Farmers in remote areas of the Amazon lack access to agricultural extension agents. This restricts their access to new technology and practices thereby limiting their potential for improved agricultural productivity.","López-Carr","2021",,"601"
893,"Forest based Livestock","LAC","Low access to markets","Leads to","Loss of income","In remote areas of the Amazon, smallholder farmers have limited access to markets due to inadequate road infrastructure, which in turn, restricts their income earning potential.","Gardner et al.","2016",,"602"
894,"Forest based Livestock","LAC","Low access to markets","Leads to","Loss of income","In remote areas of the Amazon, smallholder farmers have limited access to markets due to inadequate road infrastructure, which in turn, restricts their income earning potential.","López-Carr","2021",,"602"
895,"Forest based Livestock","LAC","Unsustainable livestock management systems","Is mitigated by","Implement climate smart agriculture practices





","The climate smart agriculture practice of integrated crop–livestock management is a potential means to improve the productivity and sustainability of cattle production in the Amazon. For example, integrated soybean–cattle systems have higher productivity than continuously grazed areas.  Silvopastoral systems are another climate smart approach to improving agricultural productivity. Silvopastoral systems provide shade, reducing body temperatures of grazing cattle by up to 4˚C compared with pasture-only systems. Some examples of climate smart pasture management options include not exceeding land carrying capacity, planting drought tolerant fodder crops (e.g. BRS Paiaguas), no tillage, intercropping of grasses and legumes for pasture diversification, and implementing manure management systems for improved soil quality.","Tapasco et al.","2019",,"603"
896,"Forest based Livestock","LAC","Unsustainable livestock management systems","Is mitigated by","Implement climate smart agriculture practices





","The climate smart agriculture practice of integrated crop–livestock management is a potential means to improve the productivity and sustainability of cattle production in the Amazon. For example, integrated soybean–cattle systems have higher productivity than continuously grazed areas.  Silvopastoral systems are another climate smart approach to improving agricultural productivity. Silvopastoral systems provide shade, reducing body temperatures of grazing cattle by up to 4˚C compared with pasture-only systems. Some examples of climate smart pasture management options include not exceeding land carrying capacity, planting drought tolerant fodder crops (e.g. BRS Paiaguas), no tillage, intercropping of grasses and legumes for pasture diversification, and implementing manure management systems for improved soil quality.","Marquardt et al.","2019",,"603"
897,"Forest based Livestock","LAC","Unsustainable livestock management systems","Is mitigated by","Implement climate smart agriculture practices





","The climate smart agriculture practice of integrated crop–livestock management is a potential means to improve the productivity and sustainability of cattle production in the Amazon. For example, integrated soybean–cattle systems have higher productivity than continuously grazed areas.  Silvopastoral systems are another climate smart approach to improving agricultural productivity. Silvopastoral systems provide shade, reducing body temperatures of grazing cattle by up to 4˚C compared with pasture-only systems. Some examples of climate smart pasture management options include not exceeding land carrying capacity, planting drought tolerant fodder crops (e.g. BRS Paiaguas), no tillage, intercropping of grasses and legumes for pasture diversification, and implementing manure management systems for improved soil quality.","Nobre et al.","2021",,"603"
898,"Forest based Livestock","LAC","Unsustainable livestock management systems","Is mitigated by","Implement climate smart agriculture practices





","The climate smart agriculture practice of integrated crop–livestock management is a potential means to improve the productivity and sustainability of cattle production in the Amazon. For example, integrated soybean–cattle systems have higher productivity than continuously grazed areas.  Silvopastoral systems are another climate smart approach to improving agricultural productivity. Silvopastoral systems provide shade, reducing body temperatures of grazing cattle by up to 4˚C compared with pasture-only systems. Some examples of climate smart pasture management options include not exceeding land carrying capacity, planting drought tolerant fodder crops (e.g. BRS Paiaguas), no tillage, intercropping of grasses and legumes for pasture diversification, and implementing manure management systems for improved soil quality.","Maeda et al.","2020",,"603"
899,"Forest based Livestock","LAC","Unsustainable livestock management systems","Is mitigated by","Implement climate smart agriculture practices





","The climate smart agriculture practice of integrated crop–livestock management is a potential means to improve the productivity and sustainability of cattle production in the Amazon. For example, integrated soybean–cattle systems have higher productivity than continuously grazed areas.  Silvopastoral systems are another climate smart approach to improving agricultural productivity. Silvopastoral systems provide shade, reducing body temperatures of grazing cattle by up to 4˚C compared with pasture-only systems. Some examples of climate smart pasture management options include not exceeding land carrying capacity, planting drought tolerant fodder crops (e.g. BRS Paiaguas), no tillage, intercropping of grasses and legumes for pasture diversification, and implementing manure management systems for improved soil quality.","Ministry of Agriculture, Livestock and Food Supply","2021",,"603"
900,"Forest based Livestock","LAC","Unsustainable livestock management systems","Is mitigated by","Capacity building on sustainable agricultural practices","Sustainable agricultural production in the Amazon region can be promoted by combining farmer training and education with technology and investment. Training producers to use new technology is an important strategy which is best achieved through a training of trainers approach to increase reach.","Tapasco et al.","2019",,"604"
901,"Forest based Livestock","LAC","Unsustainable land management practices","Is mitigated by","Implement agroforestry practices","Agroforestry is a valuable climate change adaptation option for forest-agriculture frontiers.  Agroforestry improves soil fertility, increases water availability, provides vegetation cover and maintains the microclimate. Furthermore, agroforestry has the potential to recover degraded lands and is an economically viable approach that can be integrated in grain, non-timber forest products and beef production systems.","Maeda et al.","2020",,"605"
902,"Forest based Livestock","LAC","Unsustainable land management practices","Is mitigated by","Implement agroforestry practices","Agroforestry is a valuable climate change adaptation option for forest-agriculture frontiers.  Agroforestry improves soil fertility, increases water availability, provides vegetation cover and maintains the microclimate. Furthermore, agroforestry has the potential to recover degraded lands and is an economically viable approach that can be integrated in grain, non-timber forest products and beef production systems.","Nobre et al.","2021",,"605"
903,"Forest based Livestock","LAC","Unsustainable land management practices","Is mitigated by","Implement agroforestry practices","Agroforestry is a valuable climate change adaptation option for forest-agriculture frontiers.  Agroforestry improves soil fertility, increases water availability, provides vegetation cover and maintains the microclimate. Furthermore, agroforestry has the potential to recover degraded lands and is an economically viable approach that can be integrated in grain, non-timber forest products and beef production systems.","Ministry of Agriculture, Livestock and Food Supply","2021",,"605"
904,"Forest based Livestock","LAC","Unsustainable land management practices","Is mitigated by","Improve networking and knowledge exchange","Long fallow (>5 years) swidden land use systems can deliver both conservation, livelihoods and agro-ecologically sustainable and productive systems. There is a need to work with smallholder farming communities for knowledge exchange on sustainable, traditional practices and to co-develop solutions where traditional farming practices are no longer viable. Participatory processes involving government agents, civil society and rural communities are key.","Løvold","2014",,"606"
905,"Forest based Livestock","LAC","Unsustainable land management practices","Is mitigated by","Devolve forest conservation and management","The conservation and sustainable use of primary forest is not adequate to maintain system functioning of the Amazon landscape. To reach the necessary scale of vegetation cover, conservation of primary forest must be combined with forest recovery efforts by the people who live there. Due to the remote nature of forest conservation areas, the development of sustainable production expertise and devolution of governance to regional and local-level public institutions and forest villages can strengthen the implementation of government plans and strategies.","Marquardt et al.","2019",,"607"
906,"Forest based Livestock","LAC","Unsustainable land management practices","Is mitigated by","Devolve forest conservation and management","The conservation and sustainable use of primary forest is not adequate to maintain system functioning of the Amazon landscape. To reach the necessary scale of vegetation cover, conservation of primary forest must be combined with forest recovery efforts by the people who live there. Due to the remote nature of forest conservation areas, the development of sustainable production expertise and devolution of governance to regional and local-level public institutions and forest villages can strengthen the implementation of government plans and strategies.","Tapasco et al.","2019",,"607"
907,"Forest based Livestock","LAC","Unsustainable land management practices","Is mitigated by","Policy reform
","Policy can be developed to encourage sustainable land use. This is best achieved through dialogue facilitated with multiple stakeholders and appropriate land use zoning and enforcement. For example, land use zoning should allow for the conversion of less sensitive forested areas that are likely to produce great benefits, but disallow land clearing in ecologically important areas such as in and around protected areas.","Maeda et al.","2020",,"608"
908,"Forest based Livestock","LAC","Unsustainable land management practices","Is mitigated by","Policy reform
","Policy can be developed to encourage sustainable land use. This is best achieved through dialogue facilitated with multiple stakeholders and appropriate land use zoning and enforcement. For example, land use zoning should allow for the conversion of less sensitive forested areas that are likely to produce great benefits, but disallow land clearing in ecologically important areas such as in and around protected areas.","Ravikumar et al.","2016",,"608"
909,"Forest based Livestock","LAC","Lack of coordination between national and local levels of government","Is mitigated by","Improve networking and knowledge exchange","A key challenge to scaling-up sustainable agricultural interventions is to integrate knowledge across multiple levels. Improving communication and knowledge exchange between different levels of government and devolving action from the national to the local level ensures interventions are locally viable.","Tapasco et al.","2019",,"609"
910,"Forest based Livestock","LAC","Weak land tenure","Is mitigated by","Land tenure reform","Weak land tenure can be improved through regularising and formalising land rights. Land ownership encourages sustainable land management practices. For example, in Brazil, the Rural Environmental Registry of private properties (CAR) provides a tool for monitoring compliance with the Brazilian Forest Code by holding land owners accountable for their farming practices. Furthermore, secure land ownership enables farmers to access financial resources key to implementing sustainable land management strategies. Farmers are more willing to invest in their land knowing they will reap the returns, thereby avoiding a 'tragedy of the commons' scenario. However, it should be noted that in some cases credit obtained through improved land tenure increased cattle adoption and  accelerated forest conversion.","Tapasco et al.","2019",,"610"
911,"Forest based Livestock","LAC","Weak land tenure","Is mitigated by","Land tenure reform","Weak land tenure can be improved through regularising and formalising land rights. Land ownership encourages sustainable land management practices. For example, in Brazil, the Rural Environmental Registry of private properties (CAR) provides a tool for monitoring compliance with the Brazilian Forest Code by holding land owners accountable for their farming practices. Furthermore, secure land ownership enables farmers to access financial resources key to implementing sustainable land management strategies. Farmers are more willing to invest in their land knowing they will reap the returns, thereby avoiding a 'tragedy of the commons' scenario. However, it should be noted that in some cases credit obtained through improved land tenure increased cattle adoption and  accelerated forest conversion.","Marengo et al.","2018",,"610"
912,"Forest based Livestock","LAC","Weak land tenure","Is mitigated by","Land tenure reform","Weak land tenure can be improved through regularising and formalising land rights. Land ownership encourages sustainable land management practices. For example, in Brazil, the Rural Environmental Registry of private properties (CAR) provides a tool for monitoring compliance with the Brazilian Forest Code by holding land owners accountable for their farming practices. Furthermore, secure land ownership enables farmers to access financial resources key to implementing sustainable land management strategies. Farmers are more willing to invest in their land knowing they will reap the returns, thereby avoiding a 'tragedy of the commons' scenario. However, it should be noted that in some cases credit obtained through improved land tenure increased cattle adoption and  accelerated forest conversion.","Marquardt et al.","2019",,"610"
913,"Forest based Livestock","LAC","Weak land tenure","Is mitigated by","Land tenure reform","Weak land tenure can be improved through regularising and formalising land rights. Land ownership encourages sustainable land management practices. For example, in Brazil, the Rural Environmental Registry of private properties (CAR) provides a tool for monitoring compliance with the Brazilian Forest Code by holding land owners accountable for their farming practices. Furthermore, secure land ownership enables farmers to access financial resources key to implementing sustainable land management strategies. Farmers are more willing to invest in their land knowing they will reap the returns, thereby avoiding a 'tragedy of the commons' scenario. However, it should be noted that in some cases credit obtained through improved land tenure increased cattle adoption and  accelerated forest conversion.","López-Carr","2021",,"610"
