Resource,Tags,ID
"Sulca et al., 2018; Chávez and Takahashi, 2017",,484
,Temperature related,485
,,486
"Fiebig-Wittmaack, 2011; USAID, 2017",Biophysical,487
"Fiebig-Wittmaack, 2011; USAID, 2017",Biophysical,488
ThinkHazard,Biophysical,489
"World Bank, 2014",Biophysical,490
"World Bank, 2014",Biophysical,491
"USAID, 2017",Pests and diseases,492
"USAID, 2017",Biophysical,493
"Sulca et al., 2018; Chávez and Takahashi, 2017",Biophysical,494
,Biophysical,495
,Biophysical,496
,Biophysical,497
,Biophysical,498
,Biophysical,499
,Biophysical,500
,Biophysical,501
,Biophysical,502
,Biophysical,503
,Biophysical,504
"Fiebig-Wittmaack, 2011; USAID, 2017; Stäubli et al., 2018",Socioeconomic,505
"Fiebig-Wittmaack, 2011; USAID, 2017; Stäubli et al., 2018",Socioeconomic; finance,506
"Fiebig-Wittmaack, 2011; USAID, 2017; Stäubli et al., 2018",Socioeconomic,507
"Fiebig-Wittmaack, 2011; USAID, 2017; Stäubli et al., 2018",Socioeconomic,508
,Socioeconomic,509
,Socioeconomic,510
,Socioeconomic,511
,Socioeconomic,512
,Socioeconomic,513
"World Bank, 2014",Human capacity; infrastructure,514
"World Bank, 2014",Human capacity,515
"Bergmann et al., 2021; World Bank, 2019",human capacity,515
"USAID, 2017",Pests and diseases,516
"USAID, 2017",Human capacity; institution and policy; infrastructure,517
"USAID, 2017",Human capacity,518
"SINAGERD et al., 2014; Bergmann et al., 2021",Governance; institution and policy; research and development,519
"SINAGERD et al., 2014; Bergmann et al., 2021",Institutions and policies; governance; gender,520
"SINAGERD et al., 2014; Bergmann et al., 2021",Institutions and policies,521
"USAID, 2017",Institutions and policies; governance; gender; finance,522
"Almeida, 2015",finance; institutitions and policy; gender,523
,,524
"World Bank, 2014; USAID, 2017",Governance; institution and policy; research and development,525
,,526
"SINAGERD et al., 2014; Bergmann et al., 2021",finance; institutitions and policy; gender,527
"SINAGERD et al., 2014; Bergmann et al., 2021",Institution and policy; Finance; partnership required; community level,528
"Bergmann et al., 2021",Institution and policy; governance; finance,529
"World Bank, 2014",Human capacity,530
"Bergmann et al., 2021; World Bank, 2019",human capacity,530
"UNDP, 2018",gender,531
,,532
,,533
,,534
"UNEP, 2019; Trillion Trees website",Agroforestry; Farm-level; Community-level; Conservation agriculture;,535
"Fiebig-Wittmaack, 2011",Conservation agriculture; Climate-smart agriculture; Farm-level ; community level,536
"USAID, 2017",Conservation agriculture; Climate-smart agriculture; Farm-level; ommunty level,537
"USAID, 2017",Capacity Building; Infrastructure; Gender; Farm-level ; Community-level; Policy-level; Network dependent; Partnership required; Conservation agriculture; Climate-smart agriculture,538
"Bergmann et al., 2021",Capacity building; Ecosystem-based adaptation; farm level; community level,539
"Schoolmeester et al., 2016",Capacity building; Conservation agriculture; Climate-smart agriculture; farm level; community level; Partnership required,540
,,541
,,541
,,542
,,543
,,544
,,545
,,546
,,546
"Schoolmeester et al., 2016",Institutions and policy; Partnership required; community level,547
"Schoolmeester et al., 2016",gender; community level; partnerships required,548
"Schoolmeester et al., 2016",gender; Institution and policy; community level; partnerships required,548
"Schoolmeester et al., 2016",Institutions and policy; Partnership required; Policy-level,549
"SINAGERD et al., 2014; Schoolmeester et al., 2016",Institutions and policy; Technology; nfrastructure; Community-level;,550
"Schoolmeester et al., 2016",gender; community level; partnerships required,551
"Schoolmeester et al., 2016",gender; Institution and policy; community level; partnerships required,551
,,552
GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH) Website,finance; institutions and policy; partnerships required; community level,553
,,554
,,555
"Dixon et al., 2001",,556
"Bergmann et al., 2021",,557
"Bergmann et al., 2021; USAID, 2017",,558
"Mächtle, 2016; Bergmann et al., 2021",,559
,,560
"(Prager et al., 2020);",Rainfall related,561
"(Prager et al., 2020); (Ochoa-Noriega et al., 2020); (Peña-Guerrero et al., 2020)",Rainfall related,562
"(Prager et al., 2020); (Ochoa-Noriega et al., 2020); (Peña-Guerrero et al., 2020); (Rivera et al., 2021); (Hagen et al., 2022)",Temperature related,563
"(Hagen et al., 2022); (World Bank, 2021)",Temperature related,564
"(Prager et al., 2020);",Rainfall related,565
"(Hagen et al., 2022);",Maritime related,566
"(Donoso, 2021); (Rivera et al., 2021); (Hagen et al., 2022)",Temperature related,567
"(Prager et al., 2020); (Donoso, 2021)",Biophysical,568
"(Prager et al., 2020)",Biophysical,569
"(Prager et al., 2020);",Biophysical,570
"(Prager et al., 2020)",Biophysical,571
"(Bohn et al., 2018); (Mendoza-Espinosa and Daessle, 2018)",Biophysical,572
"(Bohn et al., 2018); (Mendoza-Espinosa and Daessle, 2018); (Ochoa-Noriega et al., 2020)",Biophysical,573
"(Lambrano et al., 2020); (Prager et al., 2020)",Biophysical,574
"(Zazueta-Gutiérrez et al., 2021)",Biophysical,575
"(Godde et al., 2021)",Biophysical,576
"(Godde et al., 2021)",Biophysical,577
"(Olsson et al., 2019)",Biophysical,578
"(Bohn et al., 2018); (Donoso, 2021)",Biophysical,579
"(Donoso, 2021); (Lambrano et al., 2020); (Ochoa-Noriega et al., 2020); (Dixon et al., 2001)",Biophysical,580
"(Lambrano et al., 2020)",Biophysical,581
,Biophysical,582
"(Bohn et al., 2018); (Donoso, 2021)",Biophysical,583
"(Prager et al., 2020); (Donoso, 2021)",Socioeconomic,584
"(Banerjee et al., 2021)",Socioeconomic,585
"(FAO, 2015)",Socioeconomic,586
"(World Bank et al., 2014)",Socioeconomic,587
"(Baron and Govaerts, 2021); (Cerrato et al., 2022)",Gender; Institutions and policy; Governance,588
"(Donoso, 2021)",Institutions and policy; Governance,589
"(Baron and Govaerts, 2021)",Gender; Institutions and policy,590
"(Lambrano et al., 2020); (Rivera et al., 2021)",Institutions and policy,591
"(World Bank et al., 2014); (Cerrato et al., 2022)",Institutions and policy; Governance,592
"(World Bank et al., 2014); (Jordan and Speelman, 2020)",Finance; Institutions and policy,593
"(Meza., 2012); (Bohn et al., 2018); (Donoso, 2021); (Jordan and Speelman, 2020); (Lambrano et al., 2020); (Ochoa-Noriega et al., 2020); (Portugal, 2019); (Rivera et al., 2021); (World Bank, 2021); (Dixon et al., 2001)",Biophysical; Weather and environment,594
"(Feld and Galiani, 2015); (Jordan and Speelman, 2020)",Technology; Human capacity,595
"(Hutchinson et al., 2013);",Human capacity,596
"(World Bank et al., 2014)",Human capacity,597
"(Lambrano et al., 2020); (Ochoa-Noriega et al., 2020); (Portugal, 2019)",Weather and environment,598
"(World Bank et al., 2014); (Lambrano et al., 2020)",Infrastructure; Climate-smart agriculture; Farm-level; Community-level,599
"(World Bank et al., 2014); (Ochoa-Noriega et al., 2020); (Peña-Guerrero et al., 2020)",Research and development,600
"(Meza et al., 2012); (Jordan and Speelman, 2020); (Lambrano et al., 2020)",Institutions and policy; Capacity building; Farm-level,601
"(Hutchinson et al., 2013); (Lambrano et al., 2020)",Climate-smart agriculture; Conservation agriculture; Farm-level,602
"(World Bank et al., 2014); (Lambrano et al., 2020); (Zazueta-Gutiérrez et al., 2021); (Prager et al., 2020)",Climate-smart agriculture; Conservation agriculture; Farm-level,603
"(Lambrano et al., 2020)","Capacity building; Climate-smart agriculture; Conservation agriculture; Farm-level; Community-level; Policy-level; ",604
"(Donoso, 2021)",Network dependent; Community-level,605
"(Salmoral et al., 2020)",Partnership required; Institutions and policy; Research and development,606
"(World Bank et al., 2014); (Cerrato et al., 2022)",Institutions and policy; Governance; Policy-level,607
"(Donoso, 2021)",Institutions and policy; Governance; Policy-level,608
"(Tiwari and Dinar, 2001)",Institutions and policy; Governance; Policy-level,609
"(Prager et al., 2020)",Institutions and policy,610
"(Rivera et al., 2021)",Institutions and policy; Policy-level,611
"(World Bank et al., 2014); (Lambrano et al., 2020); (Jordan and Speelman, 2020)",Finance; Institutions and policy,612
"(Dixon et al., 2001)",,613
"(Baron and Govaerts, 2021)",,614
"(Baron and Govaerts, 2021)",,615
"(Harvey et al., 2018); (Waddick, 2017); (Gourdji et al., 2015); (IPCC, 2022); (Thomas et al., 2018); (CDKN, 2014)",Temperature related,616
"(Harvey et al., 2018); (Waddick, 2017); (Gourdji et al., 2015); (Imbach et al., 2017); (IPCC, 2022); (Thomas et al., 2018); (CDKN, 2014)",Rainfall related,617
"(Harvey et al., 2018); (Imbach et al., 2017); (IPCC, 2022); (Pacillo et al., 2022); (CDKN, 2014)",Rainfall related,618
"(Harvey et al., 2018); (Gourdji et al., 2015); (Imbach et al., 2017); (IPCC, 2022)",Rainfall related,619
"(Harvey et al., 2018); (Imbach et al., 2017);  (Pacillo et al., 2022)",Rainfall related,620
"(IPCC, 2022); (Pacillo et al., 2022)",Rainfall related,621
"(Waddick, 2017); (CDKN, 2014)",Biophysical,622
"(Harvey et al., 2018)",Biophysical; Pests and diseases,623
"(Harvey et al., 2018)",Biophysical; Pests and diseases,624
"(Eitzinger et al., 2012)",Biophysical,625
"(Eitzinger et al., 2012)",Biophysical,626
"(Harvey et al., 2018)",Biophysical,627
"(Harvey et al., 2018)",Biophysical,628
"(Imbach et al., 2017)",Biophysical,629
"(Gourdji et al., 2015)",Biophysical,630
"(Eitzinger et al., 2012); (Donatti et al., 2018)",Biophysical,631
"(Gourdji et al., 2015)",Biophysical,632
"(Harvey et al., 2018); (Imbach et al., 2017); (Ramirez-Cabral et al., 2017)",Biophysical,633
"(Harvey et al., 2018); (CDKN, 2014)",Socioeconomic,634
"(Harvey et al., 2018)",Socioeconomic,635
"(Pons, 2021)",Socioeconomic,636
"(Imbach et al., 2017)",Socioeconomic,637
,Socioeconomic,638
,Socioeconomic,639
,Socioeconomic,640
"(Sain et al., 2017); (Harvey et al., 2018)",Socioeconomic,641
"(Eitzinger et al., 2012)",Socioeconomic,642
"(Harvey et al., 2018); (Eitzinger et al., 2012)",Location specific; Governance; Institutions and policy,643
"(Pons, 2021); (Imbach et al., 2017); (Eitzinger et al., 2012); (Imbach et al., 2017)",Governance; Institutions and policy,644
"(Harvey et al., 2018); (Eitzinger et al., 2012)",Finance,645
"(Imbach et al., 2017); (Waddick, 2017)",Governance,646
"(Waddick, 2017); (Gourdji et al., 2015)",Biophysical,647
"(CDKN, 2014)",Biophysical; Weather and environment,648
"(Eitzinger et al., 2012)",Biophysical,649
"(Eitzinger et al., 2012)",Research and development; Weather and environment,650
"(Harvey et al., 2018); (Eitzinger et al., 2012)",Location specific; Governance; Institutions and policy; Human capacity,651
"(Harvey et al., 2018)",Location specific; Governance; Institutions and policy,652
"(Harvey et al., 2018); (Gourdji et al., 2015); (Harvey et al., 2018)"," Governance; Institutions and policy",653
"(Eitzinger et al., 2012); (Perez, 2020)",Location specific; Infrastructure,654
"(Gourdji et al., 2015)",Infrastructure,655
"(Eitzinger et al., 2012); (Perez, 2020); (Harvey et al., 2018)",Infrastructure; Governance; Institutions and policy,656
"(Imbach et al., 2017); (Gourdji et al., 2015); (Lopez‑Ridaura et al., 2021)",,657
"(Harvey et al., 2018)",Technology,658
"(Eitzinger et al., 2012); (Gourdji et al., 2015)",,659
"(Lopez‑Ridaura et al., 2021); (Eitzinger et al., 2012)",,660
"(Harvey et al., 2018); (Donatti et al., 2018); (Eitzinger et al., 2012)",,661
"(Eash et al., 2019); (Eitzinger et al., 2012)",Pests and diseases,662
"(Eash et al., 2019); (Eitzinger et al., 2012)",Pests and diseases,663
"(Harvey et al., 2018); (Gourdji et al., 2015)",Location specific; Governance; Institutions and policy,664
"(Gourdji et al., 2015)",Climate-smart agriculture; Infrastructure; Farm-level; Community-level,665
"(Harvey et al., 2018); (Gourdji et al., 2015)",Climate-smart agriculture; Conservation agriculture; Ecosystem-based adaptation; Farm-level,666
"(Harvey et al., 2018)",Ecosystem-based adaptation; Climate-smart agriculture; Farm-level,667
"(Harvey et al., 2018)",Climate-smart agriculture; Farm-level,668
"(Sain et al., 2017); (Eitzinger et al., 2012); (Gourdji et al., 2015)",Climate-smart agriculture; Farm-level,669
"(Harvey et al., 2018); (Eitzinger et al., 2012); (Gourdji et al., 2015)",Climate-smart agriculture; Farm-level,670
"(Sain et al., 2017); (Eitzinger et al., 2012); (Eash et al., 2019)",Climate-smart agriculture; Farm-level,671
"(Sain et al., 2017); (Eitzinger et al., 2012); (Eash et al., 2019)",Climate-smart agriculture; Farm-level,672
"(Harvey et al., 2018); (Gourdji et al., 2015); (Donatti et al., 2018)",Ecosystem-based adaptation; Climate-smart agriculture; Conservation agriculture; Farm-level,673
"(Eitzinger et al., 2012)",Climate-smart agriculture; Conservation agriculture; Farm-level,674
"(Eitzinger et al., 2012); (Imbach et al., 2017); (Donatti et al., 2018)",Farm-level; Location specific,675
"(Sain et al., 2017); (Reeves et al., 2016); (Harvey et al., 2018); (Eitzinger et al., 2012); (Imbach et al., 2017); (Gourdji et al., 2015); (Donatti et al., 2018)",Climate-smart agriculture; Conservation agriculture; Ecosystem-based adaptation; Farm-level,676
"(Eash et al., 2019)",Ecosystem-based adaptation; Climate-smart agriculture; Farm-level,677
,,678
"(Harvey et al., 2018); (Eitzinger et al., 2012)",Network-dependent; Community-level; Capacity building,679
"(Eitzinger et al., 2012)",Governance; Institutions and policy; Network dependent,680
"(Eitzinger et al., 2012)",Governance; Institutions and policy; Community-level,681
"(Eitzinger et al., 2012)",Governance,682
"(Harvey et al., 2018)",Research and development,683
"(Harvey et al., 2018)",Governance; Institutions and policy; Policy-level,684
"(Pons, 2021); (Imbach et al., 2017); (Eitzinger et al., 2012);  (Imbach et al., 2017)",Governance; Institutions and policy; Capacity building; Policy-level,685
"(Harvey et al., 2018); (Eitzinger et al., 2012)",Governance; Institutions and policy,686
"(Harvey et al., 2018); (Eitzinger et al., 2012)",Finance; Institutions and policy,687
"(Donatti et al., 2018)",Ecosystem-based adaptation; Finance; Community-level,688
"(Harvey et al., 2018)",Governance,689
"(Harvey et al., 2018)",,690
"(Eitzinger et al., 2012)",,691
"(Dixon et al., 2001); (OECD/FAO, 2018); (Hyman et al., 2016); (IPCC, 2022); (Jobbins and Henley, 2015); (Waha et al., 2017)",Rainfall related,692
"(Jobbins and Henley, 2015)",Maritime related,693
"(Jobbins and Henley, 2015); (Govind, 2022); (Mohamed and Squires, 2018); (OECD/FAO, 2018)",Rainfall related,694
"(Jobbins and Henley, 2015); (Hyman et al., 2016); (Waha et al., 2017); (Durrell, 2018)",Temperature related,695
"(Govind, 2022); (Hyman et al., 2016); (Jobbins and Henley, 2015); (Mohamed and Squires, 2018); (ICARDA, 2021); (Durrell, 2018)",Temperature related,696
"(Govind, 2022)",Biophysical,697
"(Durrell, 2018); (ICARDA, 2021)",Biophysical; Pests and diseases,698
"(Durrell, 2018); (ICARDA, 2021)",Biophysical; Pests and diseases,699
"(Mohamed and Squires, 2018)",Biophysical,700
"(OECD/FAO, 2018)",Biophysical,701
"(Mohamed and Squires, 2018)",Biophysical,702
"(Sanchez-Garcia, 2021); (Waha et al., 2017); (Durrell, 2018)",Biophysical,703
"(Safi et al., 2018)",Biophysical,704
"(Sanchez-Garcia, 2021); (Waha et al., 2017); (Durrell, 2018)",Biophysical,705
"(Durrell, 2018)",Biophysical,706
"(Waha et al., 2017); (Durrell, 2018)",Biophysical,707
"(Waha et al., 2017)",Biophysical,708
"(Durrell, 2018)",Biophysical,709
"(Waha et al., 2017); (Durrell, 2018); (Govind, 2022)",Biophysical,710
"(Mohamed and Squires, 2018); (Devkota et al., 2022)",Biophysical,711
"(Jobbins and Henley, 2015); (Waha et al., 2017)",Biophysical,712
"(Durrell, 2018); (Waha et al., 2017)",Socioeconomic,713
"(Waha et al., 2017)",Socioeconomic,714
"(OECD/FAO, 2018)",Socioeconomic,715
"(Durrell, 2018); (Mohamed and Squires, 2018)",Socioeconomic; Finance,716
"(Durrell, 2018); (Mohamed and Squires, 2018)",Socioeconomic; Finance,717
"(Raufu et al., 2018)",Socioeconomic,718
"(Mohamed and Squires, 2018); (Devkota et al., 2022)",Human capacity,719
"(Mohamed et al., 2019)",Human capacity,720
"(OECD/FAO, 2018); (Mohamed and Squires, 2018)",Institutions and policy,721
"(Mohamed et al., 2019)",Institutions and policy,722
"(Mohamed and Squires, 2018); (Waha et al., 2017)",Governance; Institutions and policy,723
"(Mohamed et al., 2019)",Institutions and policy; Governance,724
"(Mohamed et al., 2019)",Governance; Institutions and policy,724
"(OECD/FAO, 2018); (Devkota et al., 2022); (Yigezu et al., 2021)",Institutions and policy; Finance,725
"(Govind, 2022); (ICARDA, 2021); (Waha et al., 2017)",Weather and environment,726
"(OECD/FAO, 2018)",Weather and environment; Human capacity,727
"(OECD/FAO, 2018)",Weather and environment; Human capacity,728
"(Piechota et al., 2020)",Human capacity; Research and development; Pests and diseases,729
"(Govind, 2022); )Jobbins and Henley, 2015)",Governance; Institutions and policy,730
"(Dixon et al., 2001); (Waha et al., 2017)",Governance; Institutions and policy,731
"(Dixon et al., 2001); (Jobbins and Henley, 2015)",Human capacity; Research and development; Institutions and policy,732
"(Waha et al., 2017); (Dixon et al., 2001)",Governance; Institutions and policy,733
"(Mohamed et al., 2019)",Institutions and policy; Governance,734
"(Mohamed et al., 2019)",Governance; Institutions and policy,734
"(OECD/FAO, 2018); (Govind, 2022)",Governance; Institutions and policy; Weather and environment,735
"(Dixon et al., 2001); (Jobbins and Henley, 2015)",Governance; Institutions and policy,736
"(Dixon et al., 2001)",Governance; Institutions and policy,737
"(Govind, 2022); (Mohamed et al., 2019)",Governance; Institutions and policy,738
"(Devkota et al., 2022)",Governance; Institutions and policy,739
"(OECD/FAO, 2018); (Dixon et al., 2001)",Ecosystem-based adaptation; Conservation agriculture; Farm-level,740
"(Dixon et al., 2001)",Infrastructure; Farm-level; Community-level; Climate-smart agriculture,741
"(Govind, 2022); (Devkota et al., 2022); (Mohamed et al., 2019); (Dixon et al., 2001)",Research and development; Farm-level; Climate-smart agriculture,742
"(Devkota et al., 2022); (Yigezu et al., 2021); (Dixon et al., 2001); (Govind, 2022)",Conservation agriculture; Climate-smart agriculture; Farm-level,743
"(Mohamed et al., 2019)",Institutions and policy; Farm-level; Community-level,744
"(Mohamed et al., 2019); (Petit and Boujenane, 2018)",Climate-smart agriculture; Farm-level,745
"(ICARDA, 2021)",Conservation agriculture; Climate-smart agriculture; Farm-level,746
"(ICARDA, 2021)",Conservation agriculture; Climate-smart agriculture; Farm-level,747
"(Devkota and Yigezu, 2020)",Institutions and policy; Finance,748
"(Piechota et al., 2020)",Climate-smart agriculture; Farm-level,749
"(Dixon et al., 2001)",Climate-smart agriculture; Farm-level,750
"(Dixon et al., 2001)",Institutions and policy; Governance; Policy-level,751
"(Govind, 2022); (Mohamed et al., 2019)",Institutions and policy; Governance; Policy-level,752
"(OECD/FAO, 2018); (Devkota et al., 2022); (Yigezu et al., 2021)",Institutions and policy; Governance; Policy-level,753
"(Govind, 2022); (Devkota et al., 2022); (Dixon et al., 2001)",Institutions and policy; Governance; Policy-level,754
"(Dixon et al., 2001)",Institutions and policy; Governance; Policy-level,755
"(Dixon et al., 2001)",Institutions and policy; Governance; Policy-level,756
"(Dixon et al., 2001)",,757
"(Govind, 2022); (Jobbins and Henley, 2015)",,758
"(Dixon et al., 2001)",,759
"(Dixon et al., 2001)",,760
"Dixon et al., 2020","Rainfall related  ",761
"Dixon  et al., 2020","Rainfall related  ",762
"Lewis et al., 2018; RICCAR,",Temperature related,763
"Lewis et al., 2018","Rainfall related  ",764
ESCWA et al. 2017,"Rainfall related  ",765
ESCWA et al. 2017,Wind related,766
"Sieghart & Betre, 2018",maritime related,767
,,768
"Dixon et al., 2001","Biophysical ",769
"Dixon et al., 2001","Biophysical ",770
"Dixon et al., 2020","Biophysical ",770
"Dixon et al., 2001","Biophysical ",771
"Dixon et al., 2020","Biophysical ",772
"Lewis et al., 2018; Michel, 2018","Biophysical ",773
"Dixon et al., 2001","Biophysical ",774
"Dixon et al., 2020","Biophysical ",774
"Dixon et al., 2020","Biophysical ",775
ESCWA et al. 2017,"Biophysical ",776
"Namdar et al., 2021","Biophysical ",777
,"Biophysical ",778
,"Biophysical ",779
,"Biophysical ",780
,,781
,,782
,,783
,,784
,,785
"Dixon et al., 2001; ESCWA et al. 2017",Socioeconomic,786
ESCWA et al. 2017,Socioeconomic,786
"Dixon et al., 2001",Socioeconomic,787
ESCWA et al. 2017,Socioeconomic,788
ESCWA et al. 2017,Socioeconomic,789
"Dixon et al., 2001; ESCWA et al. 2017",Socioeconomic,790
ESCWA et al. 2017,Socioeconomic,790
,Socioeconomic,791
,Socioeconomic,792
,Socioeconomic,793
,Socioeconomic,794
,,795
,,796
,,797
,,798
,Socioeconomic,799
"Dixon et al., 2001",Human capacity; Governance; Finance; Institutions and policy; Technology; Research and development; Infrastructure,800
"Lewis et al., 2018",Human capacity; Finance,801
ESCWA et al. 2017,Human capacity; Governance; Finance; Institutions and policy; Technology; Research and development; Infrastructure,802
"OECD, 2018",Technology; research and development,803
"Dixon et al., 2001",Governance; Infrastructure,804
"Namdar et al., 2021",Human capacity; Infrastructure,805
"Namdar et al., 2021",Human capacity; Infrastructure; Institutions and policy; Technology,806
,,807
"Dixon et al.,2020",Governance; Institutions and policy; Gender,808
"Namdar et al., 2021",Governance; Institutions and policy,809
,,810
"Dixon et al., 2020",Governance; Institutions and policy,811
,Governance; Institutions and policy,811
"World Bank, 2019",Finance; Institutions and policy,812
,,813
,,814
"Dixon et al., 2020","Governance; Institutions and policy; ",815
"Garrity et al., 2012",Weather and environment,816
"Namdar et al., 2021",Weather and environment,817
"Lewis et al., 2018",Human capacity; Institutions and policy; Technology; Infrastructure,818
"Dixon et al., 2020",Governance; Institutions and policy,819
,Governance; Institutions and policy,819
"Lewis et al., 2018",Institutions and policy; Technology; Research and development,820
"Lewis et al., 2018",Infrastructure; Human capacity; Finance; nstitutions and policy,821
"World Bank, 2019",Human Capacity; Institutions and policy,822
,,823
,,824
"World Bank, 2019",Agroforestry; Governance; Policy-level; farm level; community level,825
"Dixon et al., 2020",Infrastructure; Governance; institution and policy; partnerships required; community level,826
"Namdar et al., 2021",Conservation agriculture;,827
"Dixon et al., 2001","Conservation agriculture; ",828
World Agroforesty,Capacity building,829
"Lewis., 2018; FAO et al., 2017","Climate-smart agriculture; Technology; Research and development; Farm-level ",830
"Garrity et al., 2012",Capacity building; Conservation agriculture;,831
"Dixon et al., 2020",Partnership required; Community-level,832
,capacity building; community level,833
,,834
"Dixon et al., 2020",Policy-level; Institutions and policy; partnerships required,835
"Namdar et al., 2021",Policy-level; Institutions and policy; Governance,836
,,837
"Dixon et al., 2020",Institutions and policy; Finance; Governance; Partnership required; community level,838
"Dixon et al., 2020",Partnership required; Institutions and policy,839
"OECD, 2018",Governance; Finance;,840
,,841
,,842
,,843
"Lewis et al., 2018",,844
"Lewis et al., 2018; Marty, 2015",,845
"Dixon et al., 2020",,846
"Waha et al., 2017",Temperature related,847
ESCWA et al. 2017,Rainfall related,848
ESCWA et al. 2017,wind related,849
"Borghesi and Ticci, 2019",Maritime related,850
Ferrise et al. 2013; Mougou et al. 2010.,Rainfall related,851
"Mahmoud, 2021",Temperature related,852
"Donat et al., 2014",Rainfall related,853
"ESCWA et al., 2017",Rainfall related,854
,Rainfall related,855
"Dixon et al., 2001",Biophysical,856
"Evan, 2009; Ferrise et al., 2013",Biophysical,857
"Ferrise et al., 2013; Mougou et al.,2010.",Biophysical,858
"Waha et al., 2017",Biophysical,859
"Waha et al., 2017",Biophysical,860
"Waha et al., 2017",Biophysical,861
"Waha et al., 2017",Biophysical,862
"Dixon et al., 2001",Biophysical,863
"Waha et al., 2017",Temperature related,864
"ESCWA et al., 2017",Rainfall related,865
,,866
,,867
,,868
,,869
,,870
,,871
,,872
,,873
"Waha et al., 2017",socioeconomic,874
"Waha et al., 2017",socioeconomic,875
"Waha et al., 2017",socioeconomic,876
"Waha et al., 2017",socioeconomic,877
"Al-Riffai and Breisinger 2012; Waha et al., 2017",socioeconomic,878
"Waha et al., 2017",socioeconomic,879
"Waha et al., 2017",socioeconomic,880
"Verner, 2012","Socioeconomic ",881
,,882
,,883
"Dixon et al., 2001",Human capacity; Governance; infrastructure,884
"Dixon et al., 2001",Human capacity; technology; gender,885
"Al-Riffai and Breisinger, 2012","Human capacity, weather and environment. ",886
"Waha et al., 2017",Human capacity,886
"Al-Riffai and Breisinger, 2012; Waha et al., 2017",Conservation agriculture,887
"EcoMENA, 2021","Conservation Agriculture ",888
"Dixon et al., 2001",Governance; institution and policy,889
"Waha et al., 2017",Governance,890
"Waha et al., 2017",Finance; Institutions and policy,891
"Al-Riffai and Breisinger, 2012",Finance; Institutions and policy,892
"Al-Riffai and Breisinger, 2012",Human capacity,893
"Waha et al., 2017","Institutions and policy; ",894
"Abumoghli and Goncalves, 2016",Governance; institution and policy; Technology; Infrastructure,895
"Al-Riffai and Breisinger, 2012","Human capacity, weather and environment. ",896
"Waha et al., 2017",Human capacity,896
"Selvaraju, 2013",human capacity,897
"Al-Riffai and Breisinger, 2012","Human capacity: Institutions and policy; Technology; ",898
"Dixon et al., 2020",Research and development; instituitons and policy,899
,,900
"EcoMENA, 2021",Agroforestry; farm level; community level.,901
"EcoMENA, 2021","infrastructure, farm level; community level",902
"Waha et al., 2017","infrastructure, farm level; community level",903
"Dixon et al., 2001",Farm-level; Community-level,904
"Dixon et al., 2001",Research and development; institution and policy; partnerships required,905
"Dixon et al., 2001",Conservation agriculture; Climate-smart agriculture; Institutions and policy; Community-level; Partnership required,906
"Dixon et al., 2001",Capacity building; Institutions and policy; Gender; community level; partnerships required; network dependent,907
"Verner, 2012",Gender; partnerships required; network dependent,907
"Dixon et al., 2001","Technology; farm level; community level; ",908
"Srinivasarao et al., 2013",Conservation agriculture;,909
"Dixon et al., 2001",Capacity building; Institutions and policy; Gender; community level; partnerships required; network dependent,910
"Verner, 2012",Gender; partnerships required; network dependent,910
"Al-Riffai and Breisinger, 2012",Climate-smart agriculture; Research and development; Technology; farm level; community level,911
,,912
"Mwongera and Gichuru, 2021",Capacity building; Institutions and policy; Community-level; Partnership required; network dependent,913
"Al-Alaween et al., 2016",Capacity building; parnerships required; community level,914
"Dixon et al., 2001",Policy-level; Institutions and policy; Partnership required,915
"World Bank, 2022",Institutions and policy; policy level; parnerships required,916
,,917
"Dixon et al., 2001",Finance; Institutions and policy; community level; parnerships requrired; network dependent,918
"Dixon et al., 2001",Socioeconomic,919
"Dixon et al., 2001",Socioeconomic,920
,,921
,,922
,,923
"USAID, 2017",Temperature related,924
"UDAID, 2017",Rainfall related,925
Wold Bank Climate Change Knowledge Portal,Rainfall related,925
"USAID, 2017",Maritime related,926
Wold Bank Climate Change Knowledge Portal,Rainfall related,927
"UDAID, 2017",Rainfall related,928
Wold Bank Climate Change Knowledge Portal,Rainfall related,928
World Bank Climate Change Knowledge Portal,Wind related,929
"World Bank, 2021",Temperature related,930
,,931
"USAID, 2017; Dwarakish  et al., 2009",Biophysical,932
"ADB, 2014",Biophysical,933
"World Bank, 2021; Huang et al., 2016",Biophysical,934
"World Bank, 2021",Biophysical,935
,Biophysical,936
,Biophysical,937
,Biophysical,938
"Mohanty & Wadhawan, 2021",Biophysical,939
"Second National Communication, 2012",Biophysical,940
,Biophysical,941
,Biophysical,942
,Biophysical,943
,Biophysical,944
,Biophysical,945
,Biophysical,946
,Biophysical,947
,Biophysical,948
,Biophysical,949
,Biophysical,950
,,951
,,952
,Biophysical,953
,Socioeconomic,954
,socioeconomic,955
,socioeconomic,956
,socioeconomic,957
,socioeconomic,958
,socioeconomic,959
,socioeconomic,960
,socioeconomic,961
,socioeconomic,962
"Dixon et al., 2001; USAID, 2017",Human capacity; finance,963
"Reserve Bank of India, 2018",Human capacity,963
"Dixon et al., 2001",Human capacity; Technology; Infrastrcuture,964
"Mohanty & Wadhawan, 2021",Human capacity; governance; ; institution and policy,965
