"From","Link type","To","Description","Bibliographic resources","Tags","Type","Connection"
"Land degradation","Leads to","Reduced crop productivity/failure","Forest health is important for crop productivity in the Amazon Basin, for example, forests provide shade, shelter, habitat for biodiversity (both above and below ground) and ecosystem services such as water infiltration, soil health, pest control and pollinators. ","(FAO, 2020)","Biophysical","LAC Forest based",
"Increased incidence of forest fires","Leads to","Livestock mortalities","Increases in drought and aridity will contribute to increases in wild forest fires which can result in livestock fatalities.","(IPCC, 2022); (USAID, 2018); (Marengo et al., 2018);  (Pivello et al., 2021)","Biophysical","LAC Forest based",
"Reduced crop productivity/failure","Leads to","Increase in deforestation/land clearing","Reduced agricultural productivity leads to an increase in deforestation due to agricultural expansion to meet food demands and income needs. ","(USAID, 2018); (WWF, 2007)","Biophysical","LAC Forest based",
"Increase in deforestation/land clearing","Leads to","Land degradation","The Amazon Basin is undergoing extensive environmental degradation as a result of deforestation and increasing incidences of forest fires. Deforestation can impact soil functioning for years, including nutrient and carbon storage and recycling, erosion proclivity, and water drainage and filtration. Forest degradation is exacerbated by increasing dry periods in the Amazon Basin.","(da Silva et al., 2022); (López-Carr, 2021)","Biophysical","LAC Forest based",
"Reduced crop productivity/failure","Leads to","Reduced fodder availability","Climate change is expected to reduce crop yields in the Amazon region, thereby affecting fodder availability. For example, around 80% of Amazon soy is produced for animal feed. With a 4°C mean global temperature increase, soybean production in the Brazilian Amazon is projected to decline by 44% by 2050, and with a 2°C temperature increase, it is projected to decline by 1.8%. Additionally by 2100, it is projected that climate change will reduce pasture growth resulting in annual livestock productivity declines of up to 25% (average of various scenarios), compared with the base period of 1970–2010.","(USAID, 2018); (Tapasco et al., 2019)","Biophysical","LAC Forest based",
"Crop stress/damage/mortality","Leads to","Increase in food insecurity","Small-scale subsistence agriculture, the main livelihood of indigenous communities in the Amazon Basin, is threatened by climate change hazards such as drought and flooding. The resulting crop damage increases food insecurity amongst smallholder farmers.","(USAID, 2018)","Biophysical; Socioeconomic","LAC Forest based",
"Crop stress/damage/mortality","Leads to","Loss of income","Small-scale subsistence agriculture, the main livelihood of indigenous communities in the Amazon Basin, is threatened by climate change hazards such as drought and flooding. The resulting crop damage contributes to income loss for smallholder farmers.","(Gardner et al., 2016); (USAID, 2018)","Biophysical; Socioeconomic; Finance","LAC Forest based",
"Loss of income","Leads to","Increase in poverty","As the vast majority of people living in rural areas of the Amazon Basin are poor smallholder farmers, losses in income incurred as a result of climate change will force them further into poverty.","(Gardner et al., 2016)","Socioeconomic; Finance","LAC Forest based",
"Livestock mortalities","Leads to","Loss of income","Small-scale subsistence agriculture, the main livelihood of indigenous communities in the Amazon Basin, is threatened by climate change hazards such as flooding which can lead to livestock mortalities and contribute to a loss of income for smallholder farmers.","(Gardner et al., 2016); (USAID, 2018)","Biophysical; Socioeconomic; Finance","LAC Forest based",
"Increased flooding
","Leads to","Damage to infrastructure","Increased flooding may restrict the use of transportation infrastructure, such as road networks within the region, limiting farmers’ access to extension services, credit facilities and markets, amongst others.","(USAID, 2018); (de Andrade et al., 2017)","Biophysical; Infrastructure","LAC Forest based",
"Increase in heat stress","Leads to","Reduced livestock productivity","High temperatures reduce feed intake and growth rates, increase livestock mortality, and result in economic losses.","(USAID, 2018); (Tapasco et al., 2019)","Biophysical","LAC Forest based",
"Reduced fodder availability","Leads to","Reduced livestock productivity","Decreases in livestock feed due to reduced crop yields could impact the health of livestock, and in turn, adversely affect livestock production. For example, around 80% of Amazon soy is produced for animal feed. With a 4°C mean global temperature increase, soybean production in the Brazilian Amazon is projected to decline by 44% by 2050, and with a 2°C temperature increase, it is projected to decline by 1.8%. Additionally by 2100, it is projected that climate change will reduce pasture growth resulting in annual livestock productivity declines of up to 25% (average of various scenarios), compared with the base period of 1970–2010.","(USAID, 2018); (Tapasco et al., 2019)","Biophysical","LAC Forest based",
"Damage to infrastructure","Leads to","Limited access to markets","Damage to transport infrastructure due to climate impacts such as flooding can restrict farmers' access to markets. ","(USAID, 2018); (Almudi & Sinclair, 2022); (de Andrade et al., 2017)","Infrastructure; Socioeconomic","LAC Forest based",
"Limited access to modern technologies","Leads to","Reduced crop productivity/failure","Improving agricultural productivity is key to fostering sustainable livelihood strategies and reducing poverty amongst rural populations. This can be achieved through the adoption of modern technologies to increase yields and therefore farm incomes. Remote small-scale farmers in the Amazon Basin demonstrate low use of modern technologies and inputs.","(Sellers & Bilsborrow, 2020)","Biophysical; Socioeconomic","LAC Forest based",
"Limited access to markets","Leads to","Loss of income","Small farming communities in the Amazon Basin are particularly susceptible to extreme flood events because of the lack of robust infrastructure for transporting people and their goods to markets. This affects their income earning potential.","(USAID, 2018); (Almudi & Sinclair, 2022); (de Andrade et al., 2017)","Infrastructure; Socioeconomic; Finance","LAC Forest based",
"Lack of willingness to invest in sustainable agricultural practices","Leads to","Land degradation","Unsustainable land management is a direct human cause of land degradation, with agriculture being a dominant sector driving degradation.","(Olsson et al., 2019)","Biophysical; Socioeconomic","LAC Forest based",
"Reduced crop productivity/failure","Leads to","Competition for resources","As agricultural yields decrease due to climate change, farmers in the Amazon basin are likely to expand cultivated areas, increasing competition for resources with other subsistence farmers, plantation and beef producers.","(USAID, 2018)","Biophysical; Socioeconomic","LAC Forest based",
"Increase in pests ","Leads to","Reduced livestock productivity","Increased pest infestations will negatively impact agricultural productivity.","(WWF, 2007)","Biophysical; Pests and diseases","LAC Forest based",
"Increase in pests ","Leads to","Reduced crop productivity/failure","Increased pest infestations will negatively impact agricultural productivity.","(WWF, 2007)","Biophysical; Pests and diseases","LAC Forest based",
"Reduced crop productivity/failure","Leads to","Increase in food insecurity","A decrease in crop productivity due to climate change will enhance food insecurity amongst subsistence farmers.","(WWF, 2007)","Biophysical; Socioeconomic","LAC Forest based",
"Increased incidence of forest fires","Leads to","Crop stress/damage/mortality","Reduced rainfall may increase fire risk in plantations leading to crop damage and loss.","(WWF, 2007)","Biophysical","LAC Forest based",
"Unsustainable land management practices","Leads to","Land degradation","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Monoculture cropping (e.g. soya and oil palm) results in a loss of biodiversity and changes in landscape structure that affect the provision of ecosystem services, increase pest outbreaks and reduce soil quality. 

","(Nobre et al., 2021); (Marquardt et al., 2019); (Skidmore et al., 2021)","Human capacity; Biophysical","LAC Forest based",
"Unsustainable livestock management systems","Leads to","Increase in deforestation/land clearing","Most forest conversion is due to large cattle ranches and plantations as opposed to smallholder farm activities. Pasture expansion for cattle is a key driver of deforestation in the Amazon, for example, in Brazil, it has been recognised as the cause of 80% of forest clearing. 

","(Skidmore et al., 2021); (Tapasco et al., 2019); (Marquardt et al., 2019); (Nobre et al., 2021);  (Garrett et al., 2017); (López-Carr, 2021)","Human capacity; Biophysical","LAC Forest based",
"Weak land tenure ","Leads to","Increase in deforestation/land clearing","Existing land tenure systems and failed policies (i.e. the corruption or mismanagement of the forestry sector) are key drivers of deforestation in the Amazon basin. Public lands are typically not valued in the same manner as private lands, as the cost of public resource use is not incurred by the individual. These land management systems tend to result in resource overexploitation.  In Peru, it was noted that fallow land is purchased by large scale commodity producers, disregarding customary land ownership, thereby forcing subsistence farmers to move to new areas. Farmers are less likely to invest in modern technologies and practices if their land ownership is insecure and they are not guaranteed to reap the benefits of their efforts. Weak land tenure not only discourages farmers' investment in sustainable land management practices but it restricts their access to credit and risk insurance, and therefore their financial capacity to adopt such practices. 


","(Tapasco et al., 2019); (Marengo et al., 2018); (Marquardt et al., 2019); (López-Carr, 2021)","Institutions and policy; Biophysical","LAC Forest based",
"Policy promotes unsustainable land use ","Leads to","Increase in deforestation/land clearing","Land use policy typically favours agricultural intensification and monocropping which contributes to deforestation in the Amazon region. For example, in Peru, agrarian policy promotes intensified cash cropping which contributes to deforestation. ","(Marengo et al., 2018); (Ravikumar et al., 2016)","Institutions and policy; Biophysical","LAC Forest based",
"Policy promotes unsustainable land use ","Leads to","Land degradation","Some agricultural policies have directly fostered frontier forest conversion. For example, the National Institute for Colonization and Agrarian Reform (INCRA) in Brazil provided plots
larger than 100 ha to early migrant farmers, as well as credit and food allowances. In addition, tax incentives for cattle farming led to agricultural expansion and forest clearing.","(López-Carr, 2021)","Institutions and policy; Biophysical","LAC Forest based",
"Lack of coordination between national and local levels of government","Leads to","Low adoption of sustainable agricultural practices","A key challenge to scaling-up sustainable agricultural interventions is to integrate knowledge across multiple levels by devolving action from the national to the local level. This ensures that interventions are put in the local context and are therefore locally viable.","(Tapasco et al., 2019)","Institutions and policy; Governance; Human capacity; Socioeconomic","LAC Forest based",
"Low access to credit","Leads to","Limited access to modern technologies","Access to finance is a key barrier to the adoption of technology, particularly amongst subsistence farmers in the Amazon region. ","(Tapasco et al., 2019)","Institutions and policy; Technology; Finance; Socioeconomic","LAC Forest based",
"Lack of incentives for sustainable production","Leads to","Lack of willingness to invest in sustainable agricultural practices","Farmers in the Amazon region typically lack incentives to adopt sustainable land management practices. ","(Nobre et al., 2021); (Tapasco et al., 2019)","Institutions and policy; Socioeconomic; Finance","LAC Forest based",
"High levels of deforestation","Leads to","Land degradation","Deforestation can impact soil functioning such as nutrient and carbon storage and recycling, water drainage and filtration, and increase soil erosion in the long term. Reforestation can reverse many of these effects, but can take decades to be realised.","(Marengo et al., 2018); (López-Carr, 2021)","Human capacity; Biophysical","LAC Forest based",
"Unfavourable soil conditions","Leads to","Reduced crop productivity/failure","Soils in the Amazon rainforest are poorly suited to growing crops for extended periods of time as they tend to be nutrient deficient, acidic soils, and in some areas are eroded due to poor land use management practices. Where subsistence farmers engaged in shifting cultivation do not leave land fallow for long periods of time the soil nutrients tend to become depleted leading to reduced crop productivity.","(USAID, 2018)","Human capacity; Weather and environment; Biophysical","LAC Forest based",
"Frequent forest fires","Leads to","Land degradation","Fires used for clearing vegetation or burning agricultural fields or pastures often result in unintended wildfires that spread into adjacent forests, degrading them.","(Armenteras et al., 2021); (Marengo et al., 2018); (Pivello et al., 2021)","Human capacity; Biophysical","LAC Forest based",
" "," "," "," "," "," ","LAC Forest based",
"Low access to agricultural extension services","Leads to","Reduced crop productivity/failure","Farmers in remote areas of the Amazon lack access to agricultural extension agents. This restricts their access to new technology and practices thereby limiting their potential for improved agricultural productivity.","(Tapasco et al., 2019); (López-Carr, 2021)","Institutions and policy; Biophysical; Technology","LAC Forest based",
"Low access to agricultural extension services","Leads to","Reduced livestock productivity","Farmers in remote areas of the Amazon lack access to agricultural extension agents. This restricts their access to new technology and practices thereby limiting their potential for improved agricultural productivity.","(Tapasco et al., 2019); (López-Carr, 2021)","Institutions and policy; Biophysical; Technology","LAC Forest based",
"Low access to markets","Leads to","Loss of income","In remote areas of the Amazon, smallholder farmers have limited access to markets due to inadequate road infrastructure, which in turn, restricts their income earning potential.  ","(Gardner et al., 2016); (López-Carr, 2021)","Institutions and policy; Infrastructure; Socioeconomic","LAC Forest based",
"Unsustainable livestock management systems","Is mitigated by","Implement climate smart agriculture practices





","The climate smart agriculture practice of integrated crop–livestock management is a potential means to improve the productivity and sustainability of cattle production in the Amazon. For example, integrated soybean–cattle systems have higher productivity than continuously grazed areas.  Silvopastoral systems are another climate smart approach to improving agricultural productivity. Silvopastoral systems provide shade, reducing body temperatures of grazing cattle by up to 4˚C compared with pasture-only systems. Some examples of climate smart pasture management options include not exceeding land carrying capacity, planting drought tolerant fodder crops (e.g. BRS Paiaguas), no tillage, intercropping of grasses and legumes for pasture diversification, and implementing manure management systems for improved soil quality.","(Tapasco et al., 2019); (Tapasco et al., 2019); (Marquardt et al., 2019); (Nobre et al., 2021); (Maeda et al., 2020); (Ministry of Agriculture, Livestock and Food Supply, 2021)","Human capacity; Climate smart agriculture; Conservation agriculture; Farm-level","LAC Forest based",
"Unsustainable livestock management systems","Is mitigated by","Capacity building on sustainable agricultural practices","Sustainable agricultural production in the Amazon region can be promoted by combining farmer training and education with technology and investment. Training producers to use new technology is an important strategy which is best achieved through a training of trainers approach to increase reach.","(Tapasco et al., 2019)","Capacity building; Technology; Farm-level","LAC Forest based",
"Unsustainable land management practices","Is mitigated by","Implement agroforestry practices","Agroforestry is a valuable climate change adaptation option for forest-agriculture frontiers.  Agroforestry improves soil fertility, increases water availability, provides vegetation cover and maintains the microclimate. Furthermore, agroforestry has the potential to recover degraded lands and is an economically viable approach that can be integrated in grain, non-timber forest products and beef production systems. ","(Maeda et al., 2020); (Nobre et al., 2021); (Ministry of Agriculture, Livestock and Food Supply, 2021)","Human capacity; Climate smart agriculture; Ecosystem-based adaptation; Farm-level","LAC Forest based",
"Unsustainable land management practices","Is mitigated by","Improve networking and knowledge exchange","Long fallow (>5 years) swidden land use systems can deliver both conservation, livelihoods and agro-ecologically sustainable and productive systems. There is a need to work with smallholder farming communities for knowledge exchange on sustainable, traditional practices and to co-develop solutions where traditional farming practices are no longer viable. Participatory processes involving government agents, civil society and rural communities are key. ","(Løvold, 2014)","Human capacity; Partnership dependent; Farm-level; Policy-level","LAC Forest based",
"Unsustainable land management practices","Is mitigated by","Devolve forest conservation and management","The conservation and sustainable use of primary forest is not adequate to maintain system functioning of the Amazon landscape. To reach the necessary scale of vegetation cover, conservation of primary forest must be combined with forest recovery efforts by the people who live there. Due to the remote nature of forest conservation areas, the development of sustainable production expertise and devolution of governance to regional and local-level public institutions and forest villages can strengthen the implementation of government plans and strategies. ","(Marquardt et al., 2019); (Tapasco et al., 2019)","Institutions and policy; Governance; Human capacity; Community-level","LAC Forest based",
"Unsustainable land management practices","Is mitigated by","Policy reform
","Policy can be developed to encourage sustainable land use. This is best achieved through dialogue facilitated with multiple stakeholders and appropriate land use zoning and enforcement. For example, land use zoning should allow for the conversion of less sensitive forested areas that are likely to produce great benefits, but disallow land clearing in ecologically important areas such as in and around protected areas.","(Maeda et al., 2020); (Ravikumar et al., 2016)","Human capacity; Institutions and policy; Policy-level; Governance","LAC Forest based",
"Lack of coordination between national and local levels of government","Is mitigated by","Improve networking and knowledge exchange","A key challenge to scaling-up sustainable agricultural interventions is to integrate knowledge across multiple levels. Improving communication and knowledge exchange between different levels of government and devolving action from the national to the local level ensures interventions are locally viable.","(Tapasco et al., 2019)","Institutions and policy; Network dependent; Governance","LAC Forest based",
"Weak land tenure ","Is mitigated by","Land tenure reform","Weak land tenure can be improved through regularising and formalising land rights. Land ownership encourages sustainable land management practices. For example, in Brazil, the Rural Environmental Registry of private properties (CAR) provides a tool for monitoring compliance with the Brazilian Forest Code by holding land owners accountable for their farming practices. Furthermore, secure land ownership enables farmers to access financial resources key to implementing sustainable land management strategies. Farmers are more willing to invest in their land knowing they will reap the returns, thereby avoiding a 'tragedy of the commons' scenario. However, it should be noted that in some cases credit obtained through improved land tenure increased cattle adoption and  accelerated forest conversion.","(Tapasco et al., 2019); (Marengo et al., 2018); (Marquardt et al., 2019); (López-Carr, 2021)","Institutions and policy; Governance; Policy-level","LAC Forest based",
"Policy promotes unsustainable land use ","Is mitigated by","Policy reform
","Policy can be developed or improved to encourage sustainable land use. Rigorous research is needed to understand the impacts of climate change on forest-based agricultural systems and when and why producers adopt sustainable practices. For successful implementation of national interventions, land users must be engaged in data collection, policy formulation, implementation and monitoring. ","(Tapasco et al., 2019); (Ravikumar et al., 2016); (Skidmore et al., 2021)","Research and development; Institutions and policy; Policy-level","LAC Forest based",
"Low access to credit","Is mitigated by","Improve access to credit","Improving access to credit is a well documented means for enhancing the adoption of sustainable land management practices in the Amazon. ","(Tapasco et al., 2019); (Nobre et al., 2021); (Skidmore et al., 2021)","Institutions and policy; Finance","LAC Forest based",
"Lack of incentives for sustainable production","Is mitigated by","Establish payment for ecosystem services schemes","Incentivise producers to adopt sustainable agricultural practices through the establishment of payment for ecosystem services","(Tapasco et al., 2019)","Institutions and policy; Finance","LAC Forest based",
"Low access to markets","Is mitigated by","Invest in road infrastructure","In remote areas of the Amazon, smallholder farms could benefit from the construction of new private roads. While improved road access, when coupled with weak law enforcement, can lead to increased deforestation, road access is also vitally important for increasing smallholders’ access to markets, improving their income earning potential. ","(Gardner et al., 2016); (López-Carr, 2021)","Institutions and policy; Infrastructure","LAC Forest based",
"Low access to markets","Is mitigated by","Improve access to markets","In remote areas of the Amazon Basin, smallholder farmers lack access to markets due to inadequate transport infrastructure. Improving market access through road construction, although beneficial for income generation, can contribute to in-migration and frontier deforestation. This can be relieved through protected area designation.","(Gardner et al., 2016); (de Andrade et al., 2017)","Institutions and policy; Infrastructure","LAC Forest based",
"High levels of deforestation","Is mitigated by","Implement agroforestry practices","Agroforestry is a valuable climate change adaptation option for forest-agriculture frontiers.  Agroforestry improves soil fertility, increases water availability, provides vegetation cover and maintains the microclimate. Furthermore, agroforestry has the potential to recover degraded lands and is an economically viable approach that can be integrated in grain, non-timber forest products and beef production systems. ","(Maeda et al., 2020); (Nobre et al., 2021); (Ministry of Agriculture, Livestock and Food Supply, 2021)","Human capacity; Ecosystem-based adaptation; Climate smart agriculture; Farm-level","LAC Forest based",
"High levels of deforestation","Is mitigated by","Diversify to horticulture","Specialty crops such as citrus, black pepper, and vegetables were found to provide up to 10 times higher returns than other land uses in the Brazilian Amazon. These high value crops require less land (therefore less forest clearing) than extensive soybean, palm oil and cattle ranching land uses which are dependent on economies of scale. However, such crops require good access to urban areas and processing, storage and supply infrastructure. Despite the potential long-term profitability, high start-up costs can restrict adoption by farmers.","(Garrett et al., 2017)","Human capacity;  Farm-level","LAC Forest based",
"Unfavourable soil conditions","Is mitigated by","Implement climate smart agriculture practices





","The adoption of integrated crop-livestock-forest systems such as soybean production in cattle ranching improves soil nitrogen content and reduces soil erosion. Soil quality can be further improved through manure management. The inclusion of trees in the farming system also improves soil fertility, increases water availability and reduces soil erosion. ","(Maeda et al., 2020)","Weather and environment; Climate smart agriculture; Conservation agriculture; Farm-level","LAC Forest based",
"Frequent forest fires","Is mitigated by","Policy reform
","Flexible fire management strategies are required to adapt to climate change. Fire management policy and strategy should be informed by robust data. Forecasting, monitoring and early warning systems are fundamental for fire management.","(Pivello et al., 2021)","Human capacity; Institutions and policy; Policy-level; Governance","LAC Forest based",
" "," "," "," "," "," ","LAC Forest based",
"Low access to agricultural extension services","Is mitigated by","Improve access to agricultural extension services","Through agricultural extension agents, the adoption of new technology and practices by farmers can reduce pressure on forested areas by improving agricultural productivity.","(Tapasco et al., 2019); (López-Carr, 2021)","Institutions and policy","LAC Forest based",
"Inadequate agri research and development","Is mitigated by","Invest in agricultural research and development","Government agencies, researchers and civil society need to collaborate and hold dialogue on drivers of deforestation and forest degradation addressing climate change impacts and land use types. Rigorous research is needed to understand the impacts of climate change on forest-based agricultural systems and when and why producers adopt sustainable practices. For successful implementation of national interventions, land users must be engaged in data collection, policy formulation, implementation and monitoring. ","(Tapasco et al., 2019); (Ravikumar et al., 2016); (Skidmore et al., 2021)","Research and development; Institutions and policy","LAC Forest based",
" "," "," "," "," "," ","LAC Forest based",
"Farmers engaged in agri system","Exposed to","Loss of livelihoods ","Small scale subsistence agriculture, the primary livelihood of most indigenous communities in the Amazon region, is threatened by increasing temperatures and aridity arising from climate change.","(USAID, 2018)"," ","LAC Forest based",
"Farmers engaged in agri system","Exposed to","Chronic poverty 
","In most Amazonian municipalities, poverty rates are well above national averages. As the vast majority of people living in rural areas of the Amazon are poor smallholder farmers, losses in income incurred as a result of climate change will force them further into poverty.","(Gardner et al., 2016)"," ","LAC Forest based",
" "," "," "," "," "," ","LAC Forest based",
"Decrease in average precipitation","Leads to","Water scarcity","Decrease in average precipitation over time impacts on the water cycle altering nearly every stage putting pressure on drinking water supplies, food production","Sulca et al., 2018.","Rainfall related","LAC High Altitude Mixed",
"Increase in extreme rainfall events","Leads to","Increased flooding
","Intense storms and/or rapid glacier melting during the spring-summer of the
austral hemisphere trigger floods in the central Andes. Flash floods commonly originate in moraine-dammed lakes threatening communities
located in the Cordillera Blanca of Peru. In addition, urbanization is increasing the risks of flash floods ","Emmer, 2017","Rainfall related","LAC High Altitude Mixed",
"Increase in frost events","Leads to","Crop stress/damage/mortality","Higher elevations in the tropical Andes pose a challenge for their
communities which have to adapt to the occurrence of frosts, as
is the case in the central Peruvian Andes. Radiative frosts are a major
hazard to agriculture. They are caused by low cloud cover, surface
air humidity, and soil moisture, and tend to occur at night times and early morning of the dry and cold seasons (June–August). The occurrence of intense frosts events causes large economic losses to agricultural communities in the Andes by destroying crops and pastures","Sulca et al., 2018.","Temperature related","LAC High Altitude Mixed",
"Increase in drought events","Leads to","Desertification","There has been an increase in drought events in the region exacerbated by the ENSO phenomenon. The long periods of drought coupled with deforestation and unsustainable agricultural pratices contribute majorly to desertification.","Cai et al., 2020","Rainfall related","LAC High Altitude Mixed",
"Increasingly erratic rainfall","Leads to","Shift in growing season","Changes of the onset dates, end dates, and duration of the rainy season over central Peruvian Andes severely affect water resources management and the main economic activities (e.g., rainfed agriculture, raising cattle, among others).","Giráldez et al., 2020","Rainfall related","LAC High Altitude Mixed",
"Increase in dry days","Leads to","Reduced crop productivity/failure","In the central Peruvian Andes, dry spells during the wet season (December to March) are associated with a weakened convective activity over the western tropical Pacific, that is in accord with the impacts of El Niño over the region. The dry spells impact negatively on crop production","Sulca et al., 2016","Temperature related","LAC High Altitude Mixed",
"Increase in dry days","Leads to","Reduced livestock productivity","Westerly wind anomalies over the upper troposphere reduce moisture flow from the Amazon
basin, producing dry events over the Peruvian Andes.","Sulca et al., 2016","Temperature related","LAC High Altitude Mixed",
"Rising sea levels","Leads to","Elevation loss","Sea-level rise poses a major risk to low-lying coastal zones in the  region. This threat, enhanced by the increasing occurrence of extreme events, is especially pronounced for the Caribbean SIDS, as recently outlined by the Economic Commission for Latin America and the Caribbean (ECLAC).","WMO, 2020","Maritime related","LAC High Altitude Mixed",
"Increasingly erratic rainfall","Leads to","Unpredictable planting period","Farmer in the region rely heavily on rainfed agriculture and with the ongoing changes in precipitation, this is becoming a vulnerabilty where historical timely planting seasons are now changing.","Giráldez et al., 2020","Rainfall related","LAC High Altitude Mixed",
"Shorter growing season","Leads to","Reduced crop productivity/failure","erractic rainfall patterns are leading to changes in the duration of the rainy season over central Peruvian Andes leading to shorter growing seasons that affect crop productivity","Giráldez et al., 2020","Season related","LAC High Altitude Mixed",
"Increase in heavy snowfall events","Leads to","Reduced crop productivity/failure","Every austral winter in the central Andes, fresh snowfall covers and fills the gaps between mountaintops that have more permanent snow and ice. Research into snowfall patterns has found that the largest areas of snow cover have occurred in the central zone of the Andes in central Chile and Argentina that bridges the two climate zones.","Earth Observatory (NASA) , 2018; Minora et al., 2015","Temperature related","LAC High Altitude Mixed",
"Increase in cold spells (no. of cold days)","Leads to","Reduced crop productivity/failure","Around 70% of the total accumulated snow on the Quelccaya glacier (Peruvian Andes; 5,680 m) is associated with southern cold air intrusions from south america which cast cold spells in the region impacting on crop productivity.","Sulca et al., 2018; Chávez and Takahashi, 2017; ","Temperature related","LAC High Altitude Mixed",
"Increase in cold spells (no. of cold days)","Leads to","Reduced livestock productivity","Around 70% of the total accumulated snow on the Quelccaya glacier (Peruvian Andes; 5,680 m) is associated with southern cold air intrusions from south america which cast cold spells in the region impacting on livestock productivity","Sulca et al., 2018; Chávez and Takahashi, 2017","Temperature related","LAC High Altitude Mixed",
"Increase in average temperatures","Leads to","Crop stress/damage/mortality","Many crops start feeling stressed at temperatures above about 90 to 95 degrees Fahrenheit (32 to 35 degrees Celsius).","USAID, 2017; Bergmann et al., 2021","Temperature related","LAC High Altitude Mixed",
"Increase in tropical cyclones/hurricanes","Leads to","Increased flooding
","Heavy and continued rains due to cyclones may cause floods and submergence of low lying areas resulting in loss of life and property.","WMO, 2020","Maritime related","LAC High Altitude Mixed",
"Rising sea levels","Leads to","Increase in soil water deficit","Sea levels in the region continued to rise at a faster rate than globally, notably along the Atlantic coast of South America south of the equator (3.52 ± 0.0 mm per year, from 1993 to 2021). Increasing sea level rise and ocean warming are expected to continue to affect coastal livelihoods through the increase in soil water deficit hence poor agricultural production , particularly in small islands.","WMO, 2022","Maritime related","LAC High Altitude Mixed",
"Rising sea levels","Leads to","Water scarcity","Increasing sea-level rise and ocean warming are expected to continue to affect coastal livelihoods, water security, particularly in small islands.","WMO, 2022","Maritime related","LAC High Altitude Mixed",
"Increase in dry days","Leads to","Shorter growing season"," Influence of longer dry seasons on patterns of water vapor transport leads to shorter growing seasons.","WMO, 2022","Rainfall related","LAC High Altitude Mixed",
"Increase in cold spells (no. of cold days)","Leads to","Livestock mortalities","Rapid rates of human encroachment, urbanization, deforestation and land use changes are taking place along the Andes.These developments make the region and their populations highly vulnerable to extreme weather events, cold spells lead the rank in livestock mortalities  in the region.","Poveda et al., 2020","Rainfall related","LAC High Altitude Mixed",
"Increase in cold spells (no. of cold days)","Leads to","Crop stress/damage/mortality","A cold wave affected most of Brazil due to the entrance of a polar air mass with a cold front that reached as far as western Amazonia leading to crop stress.","WMO, 2020","Maritime related","LAC High Altitude Mixed",
"Increase in extreme rainfall events","Leads to","Flash floods","Extreme rainfall in 2021, with record values in many places, led to floods and landslides. There were substantial losses, including hundreds of fatalities, tens of thousands of homes destroyed or damaged and hundreds of thousands of people displaced. Floods and landslides in the Brazilian states of Bahia and Minas Gerais led to an estimated loss of US$ 3.1 billion.","WMO, 2022","Rainfall related","LAC High Altitude Mixed",
"Increasingly erratic rainfall","Leads to","Landslide events","In the central Andes, several extreme rainfall events occurred in February causing landslide events.","WMO, 2021","Rainfall related","LAC High Altitude Mixed",
"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","In the Central Andes, there is highly differentiated rainy and dry seasons. Approximately 50 to 80 per cent of the yearly total precipitation falls in the rainy season leading to reduced crop production. ","Schoolmeester, T et al., 2 016","Rainfall related","LAC High Altitude Mixed",
"Decrease in average precipitation","Leads to","Increase in soil water deficit","Changes in precipitation levels are projected at between -22% and 7% for Central America by the end of the twenty-first century, which has an impact on the soil water deficit.","J Samaniego et al., 2014","Temperature related","LAC High Altitude Mixed",
"Increase in frost events","Leads to","Reduced crop productivity/failure","Northern Tropical Andes​​ The occurrence of intense frosts events causes large economic losses to agricultural communities in the Andes by destroying crops.","Germán Poveda et al., 2020","Maritime related","LAC High Altitude Mixed",
"Increase in frost events","Leads to","Reduced livestock productivity","Extreme frost events could restrict animal access to pastures and create larger disruptions to feed production hence leading to reduced livestock production.","CM Godde  et al., 2021","Maritime related","LAC High Altitude Mixed",
"Increase in frost events","Leads to"," "," "," "," ","LAC High Altitude Mixed",
"Increase in heavy snowfall events","Leads to","Reduced livestock productivity","Due to the long cold season with heavy snow, forage shortage induced a dramatic body weight loss leading to reduced li vestock productivity.","Wei, Yanqiang et al., 2017","Maritime related","LAC High Altitude Mixed",
"Increase in heavy snowfall events","Leads to","Livestock mortalities","Prolonged long cold season with heavy snow, forage shortage induced a dramatic body weight loss hence increased livestock mortalities. ","Wei, Yanqiang et al., 2017","Maritime related","LAC High Altitude Mixed",
"Increase in tropical cyclones/hurricanes","Leads to","Damage to infrastructure","The World Meteorological Organization (WMO) State of the Climate in Latin America and the Caribbean 2021 highlighted that, hydrometeorological hazards, including tropical cyclones and floods, have unfortunately led to  severe damages to infrastructure and human displacement.","WMO, 2022","Maritime related","LAC High Altitude Mixed",
"Increase in tropical cyclones/hurricanes","Leads to","Reduced crop productivity/failure","The WMO report shows that hydrometeorological hazards such as tropical cyclones and floods, have unfortunately led to severe damages to crop production.","WMO, 2022","Maritime related","LAC High Altitude Mixed",
" "," "," "," "," "," ","LAC High Altitude Mixed",
