"Label","Type-1","Type-2","Description","Tags","Bibliographic resource","Developer and name of external database","Link to external database","Type"
"Frequent bushfires","Vulnerability","Sensitivity/
susceptibility to harm","The occurrence of forest fires in Indonesia, Myanmar and Vietnam are projected to increase, contributing to biodiversity loss.","(ASEAN, 2021)","Weather and environment"," "," ","EAP Upland Intensive Mixed"
"High prevalence of land degradation","Vulnerability","Sensitivity/
susceptibility to harm","Shifting cultivation has historically been the main land use system of upland rural villages. Two to ten year rotations are applied and the major crop, upland rice, is cultivated with no external inputs or mechanisation. However, this is changing in many areas as farming is becoming market-oriented with shorter fallow periods, some permanent fields, and the use of irrigation and inputs. With the more intensive production and shorter fallow periods, soil fertility is declining and production is being adversely affected, rendering the system ecologically unsustainable. This change has come about mainly due to demographic pressure and land-use restrictions. ","(Hepp et al., 2019); (Schreinemachers et al., 2013); (FAO, 2018)","Human capacity"," "," ","EAP Upland Intensive Mixed"
"High prevalence of pests","Vulnerability","Sensitivity/
susceptibility to harm"," "," "," "," "," ","EAP Upland Intensive Mixed"
"High prevalence of weeds","Vulnerability","Sensitivity/
susceptibility to harm","Rice crops are adversely affected by complex and diverse weed flora. Weeds are a major biological constraint limiting rice production worldwide.","(Korres et al., 2017)","Weather and environment"," "," ","EAP Upland Intensive Mixed"
"Inadequate agri research and development","Vulnerability","Lack of capacity to cope and adapt","In general, there is limited capacity to design, implement, monitor and evaluate relevant research. Documentation skills are lacking and there is limited sharing of research data and results. For example, the  quality of upland rice production data for Laos is insufficient to inform decision making. ","(Bell & Taylor, 2015); (FAO, 2018); (FAO, 2018)","Research and development"," "," ","EAP Upland Intensive Mixed"
"Low access to agricultural extension services","Vulnerability","Lack of capacity to cope and adapt","Access to agricultural extension services is generally low in the agricultural system due to the large number of poor farmers with small plots in geographically dispersed communities with underdeveloped transport and communication infrastructure. The lack of access to extension services affects knowledge sharing on modern agricultural technology and practices. Women are typically excluded from access to critical productive resources such as  extension services and information.","(Bell & Taylor, 2015); (Oxfam, 2019); (Landicho et al., 2019); (Carandang, 2010)","Gender; Governance"," "," ","EAP Upland Intensive Mixed"
"Lack of access to  inputs ","Vulnerability","Lack of capacity to cope and adapt","Due to the remoteness and widespread poverty within the agricultural system, farmers tend to lack capital for seeds, fertilisers, pesticides and wages to hire workers to plant and harvest crops. Women are typically excluded from access to critical productive resources and services such as credit, farm inputs, marketing facilities, extension and information.","(Diana et al., 2022); (Oxfam, 2019)","Gender; Governance"," "," ","EAP Upland Intensive Mixed"
"Low level of education","Vulnerability","Lack of capacity to cope and adapt","Due to the remoteness of the upland intensive mixed farming system, education levels are generally low as school attendance requires commuting. For example the household heads of two villages engaged in upland agriculture in Laos, namely, Ko Ngiaw and Navene, 43% and 21% had completed secondary-level education, respectively. It was noted that the farmers with higher levels of education possessed greater adaptive capacity. ","(Diana et al., 2022); (Stuecker et al., 2018); (Hepp et al., 2019)","Human capacity"," "," ","EAP Upland Intensive Mixed"
"Low levels of climate change awareness at the farmer level","Vulnerability","Lack of capacity to cope and adapt","In general, farmers in South East Asia are aware of climate change due to information gathered from newspapers, the internet, television, advertisements, and their community and friends. However, in the more remote areas of the upland intensive agricultural system, access to information, and therefore farmers' climate change awareness, is typically lower. ","(Diana et al., 2022); (Dixon et al., 2001)","Human capacity"," "," ","EAP Upland Intensive Mixed"
"Demographic pressure on land","Vulnerability","Lack of capacity to cope and adapt","The East Asian and Pacific Islands region has a total population of 660.6 million, and is growing annually at 1.08% on average. Indonesia is the most populous country, followed by the Philippines, then Vietnam. Population growth is a known driver of land use change in the mountainous areas of the region.","(ASEAN, 2021); (Dixon et al., 2001); (Schreinemachers et al., 2013)","Governance"," "," ","EAP Upland Intensive Mixed"
"Reliance on rainfed agriculture","Vulnerability","Lack of capacity to cope and adapt","Less than 25% of farms in the upland intensive mixed system are irrigated.","(Dixon et al., 2001)","Human capacity; Infrastructure"," "," ","EAP Upland Intensive Mixed"
"Lack of road infrastructure","Vulnerability","Lack of capacity to cope and adapt","Farms in the agricultural system tend to be remote with limited to no road access. The lack of transportation facilities and related low access to information and support services (credit facilities, extension services) are often highlighted as major obstacles to agricultural development in the upland areas.","(Hepp et al., 2019); (FAO, 2018); (Dixon et al., 2001)","Infrastructure"," "," ","EAP Upland Intensive Mixed"
"Limited uptake of modern technologies","Vulnerability","Lack of capacity to cope and adapt","In general, East Asian farmers lack the skills and technology required to adapt to the increasing rate of climate instability and uncertainty. Uptake of modern technologies tends to be low due to a lack of access to information and services and a preference for traditional farming methods. ","(Bell & Taylor, 2015); (Diana et al., 2022)","Technology"," "," ","EAP Upland Intensive Mixed"
"Weak land tenure and access rights, particularly for women","Vulnerability","Lack of capacity to cope and adapt"," "," "," "," "," ","EAP Upland Intensive Mixed"
"High poverty levels 






","Vulnerability","Lack of capacity to cope and adapt","The upland intensive mixed farming system is characterised by high poverty levels. Upland households experience a much higher rate of chronic poverty than lowland households. For example, a survey of 300 households in Thailand and Vietnam classified 41% of the upland households as chronically poor, but only 3 % of the lowland households.","(ASEAN, 2021); (Schreinemachers et al., 2013); (Dixon et al., 2001)"," Governance; Institutions and policy"," "," ","EAP Upland Intensive Mixed"
"Implement reforestation practices","Adaptation option","Natural capital","Forested areas are scattered throughout the system, mainly at higher elevations. Development programmes should promote afforestation practices and community management of forested areas to enhance ecological goods and services for improved agricultural productivity and livelihood options.","(Dixon et al., 2001)","Agroforestry; Conservation agriculture; Climate-smart agriculture; Farm-level; Community-level"," "," ","EAP Upland Intensive Mixed"
" "," "," "," "," "," "," "," ","EAP Upland Intensive Mixed"
"Invest in road infrastructure","Adaptation option","Physical capital","Road networks are important catalysts for agricultural development as they improve accessibility to markets, services and support (i.e. bank institutions, education and extension services) and expand employment opportunities. ","(Hepp et al., 2019); (Dixon et al., 2001)","Infrastructure"," "," ","EAP Upland Intensive Mixed"
"Invest in water harvesting and storage infrastructure","Adaptation option","Physical capital","To enhance farmers' resilience to climate change there is a need to invest in improved watershed management, conservation farming, water harvesting and storage and the introduction of appropriate technologies.","(Dixon et al., 2001)","Infrastructure; Climate-smart agriculture"," "," ","EAP Upland Intensive Mixed"
" "," "," "," "," "," "," "," ","EAP Upland Intensive Mixed"
"Improve climate change awareness
","Adaptation option","Human capital","It is important that farmers undergo training to enhance their skills and techniques and increase their awareness of climate change. Resources, such as the internet, television and radio have proved useful knowledge sources for farmers' adaptation strategies.","(Diana et al., 2022)","Governance; Institutions and policy; Capacity building; Policy-level"," "," ","EAP Upland Intensive Mixed"
"Capacity building on sustainable agricultural practices","Adaptation option","Human capital","Sustainable soil and water management practices should be promoted to improve crop yields and ensure maintenance of soil productivity.","(Diana et al., 2022); (Dixon et al., 2001)","Capacity building; Conservation agriculture; Farm-level; Community-level"," "," ","EAP Upland Intensive Mixed"
"Implement agroforestry practices","Adaptation option","Human capital","Agroforestry is a key climate change adaptation strategy as it provides multiple harvests at different times of the year. The diverse combination of crops buffers farmers from the risk of income loss due to climate variability, price fluctuations and other unexpected problems. On steeper lands such as in the upland intensive mixed agricultural system, agroforestry should be promoted with contour planting of suitable tree species for production of fruits, timber, fuelwood and non-timber forest products.","(Landicho et al., 2019); (Dixon et al., 2001)","Agroforestry; Conservation agriculture; Climate-smart agriculture; Farm-level; Community-level"," "," ","EAP Upland Intensive Mixed"
"Plant multiple crop types","Adaptation option","Human capital","The planting of multiple crops, such as in agroforestry systems, shifts reliance from one or two annual crops to a range of food and income-generating crops, thus reducing vulnerability to climate shocks. Further, the planting of multiple crop types can reduce the incidence of pests and diseases.","(Landicho et al., 2019)","Agroforestry; Conservation agriculture; Climate-smart agriculture; Farm-level; Community-level"," "," ","EAP Upland Intensive Mixed"
"Invest in agricultural research and development","Adaptation option","Human capital","Government and researchers should engage farmers in local-level research, drawing upon their indigenous knowledge in the identification of climate change issues and co-developing adaptation means to meet their context-specific needs. ","(Carandang, 2010); (Pipitpukdee et al., 2020); (Mar et al., 2018); (Dixon et al., 2001)","Partnership required; Research and development; Farm-level; Community-level"," "," ","EAP Upland Intensive Mixed"
"Integrated weed management","Adaptation option","Human capital","Integrated weed management (IWM) combines a variety of preventive, cultural, mechanical, and chemical practices to control weed infestations. Often a single weed management practice is not feasible due to the diversity of weed species and differing life cycles and survival strategies. ","(Taylor et al., 2016); (Hellin et al., 2020)","Climate-smart agriculture; Farm-level"," "," ","EAP Upland Intensive Mixed"
"Build women's  capacity ","Adaptation option","Human capital","It is important to build the capacity of women and ethnic minorities to adopt appropriate agricultural innovations, and to understand how policies, social and biophysical constraints positively or negatively affect their development. ","(Hiwasaki et al., 2016 ); (Oxfam, 2019); (Mar et al., 2018); (Akter, 2021)","Capacity building; Gender; Farm-level; Community-level"," "," ","EAP Upland Intensive Mixed"
"Plant cash crops","Adaptation option","Human capital","The integration of cash crops in upland livelihood strategies can increase household income levels and food security. Due to the remoteness of the farming system, emphasis needs to be placed on low weight, high value products that are easily transported, have a long shelf-life and can be processed locally to increase the market value. 

","(Hepp et al., 2019); (Carandang, 2010); (Dixon et al., 2001)","Institutions and policy; Policy-level; Farm-level"," "," ","EAP Upland Intensive Mixed"
"Diversify to livestock value chains","Adaptation option","Human capital","Livestock products are an important source of household cash income in the agricultural system and there is considerable room for expanding production. However, focus must be placed on integrated livestock production systems and good livestock husbandry practices with improved access to animal health services.","(Landicho et al., 2019); (Schreinemachers et al., 2013); (Dixon et al., 2001)","Institutions and policy; Policy-level; Farm-level; Capacity building; Climate-smart agriculture; Conservation agriculture"," "," ","EAP Upland Intensive Mixed"
"Diversify livelihoods","Adaptation option","Human capital","Increasing off-farm income is one of the most important household strategies for reducing poverty and enhancing climate change resilience.","(Dixon et al., 2001); (Landicho et al., 2019); (Carandang, 2010)","Institutions and policy; Policy-level"," "," ","EAP Upland Intensive Mixed"
"Implement conservation agriculture practices","Adaptation option","Human capital"," "," "," "," "," ","EAP Upland Intensive Mixed"
"Apply integrated pest and diseases management","Adaptation option","Human capital"," "," "," "," "," ","EAP Upland Intensive Mixed"
"Adjust crop calendar
","Adaptation option","Human capital"," "," "," "," "," ","EAP Upland Intensive Mixed"
"Adopt early maturing varieties","Adaptation option","Human capital","Early maturing rice varieties are a useful adaptation option to changing cropping seasons and the prevention of flood damage. ","(Reda et al., 2015","Climate-smart agriculture; Farm-level"," "," ","EAP Upland Intensive Mixed"
"Improve networking and knowledge exchange","Adaptation option","Social capital","Improved networking and knowledge sharing between farmers is an important climate change adaptation process as they have common experiences, language and practical understanding of the issues faced.","(Diana et al., 2022); (Landicho et al., 2019)","Farm-level; Community-level; Network dependent"," "," ","EAP Upland Intensive Mixed"
" "," "," "," "," "," "," "," ","EAP Upland Intensive Mixed"
" "," "," "," "," "," "," "," ","EAP Upland Intensive Mixed"
" "," "," "," "," "," "," "," ","EAP Upland Intensive Mixed"
"Improve access to agricultural extension services","Adaptation option","Political capital ","There is substantial knowledge and technologies available for sustainable farming in the uplands but it rarely reaches the farmers. Extension agents are needed to strengthen the capabilities of farmers to improve their agricultural production and sustainably use forests. Developing a bond between the farmers and extension staff through effective extension activities is necessary for expanding the use of farming technologies. Participatory approaches such as farmer trainers’ can ensure widespread and rapid agricultural knowledge diffusion. 
","(Diana et al., 2022); (Landicho et al., 2019); (Schreinemachers et al., 2013); (Carandang, 2010); (Mar et al., 2018)","Governance; Policy and institutions"," "," ","EAP Upland Intensive Mixed"
"Improve access to climate information services","Adaptation option","Political capital ","Access to climate information can be improved through media such as television and radio. ","(Diana et al., 2022)","Governance; Policy and institutions"," "," ","EAP Upland Intensive Mixed"
"Policy reform
","Adaptation option","Political capital ","Climate change and gender equality needs to be mainstreamed into development strategies and plans and adaptation action needs to be translated into development plans at national and local levels.","(Landicho et al., 2019); (Carandang, 2010)","Governance; Policy and institutions; Policy-level"," "," ","EAP Upland Intensive Mixed"
"Develop/improve early warning systems","Adaptation option","Political capital ","Seasonal forecasts and extension departments need to provide early warning to farmers in the case of extreme climatic events, such as those associated with the El Niño Southern Oscillation.","(Reda et al., 2015)","Governance; Policy and institutions; Policy-level"," "," ","EAP Upland Intensive Mixed"
"Build the capacity of agricultural extension agents","Adaptation option","Political capital "," "," "," "," "," ","EAP Upland Intensive Mixed"
"Land tenure reform","Adaptation option","Political capital ","Policy issues surrounding land tenure, land leasing and land markets need to be addressed to improve the adoption of sustainable agricultural practices in upland areas. ","(Dixon et al., 2001)","Governance; Policy and institutions; Policy-level"," "," ","EAP Upland Intensive Mixed"
"Facilitate access to loans","Adaptation option","Financial capital","The adoption of sustainable agricultural practices is enhanced with an increase in income. Financially stable farmers tend to be more committed to adapting new techniques, technologies and transformations in agriculture.","(Mar et al., 2018); (Dixon et al., 2001)","Policy and institutions"," "," ","EAP Upland Intensive Mixed"
"Improve access to credit","Adaptation option","Financial capital"," "," "," "," "," ","EAP Upland Intensive Mixed"
"Establish payment for ecosystem services schemes","Adaptation option","Financial capital"," "," "," "," "," ","EAP Upland Intensive Mixed"
"Improve access to risk insurance schemes","Adaptation option","Financial capital","Improving farmers' access to agricultural insurance encourages the adoption of new agricultural practices and technologies by providing the farmers with a safety net. Farmer organisations can be efficient channels for introducing crop insurance programmes for farmers.","(Mar et al., 2018); (Pipitpukdee et al., 2020)","Finance"," "," ","EAP Upland Intensive Mixed"
"Farmers engaged in agri system","Exposure "," ","Declines in productivity of the upland intensive mixed farming system will impact the livelihoods of millions of farmers. ","(Dixon et al., 2001)"," "," "," ","EAP Upland Intensive Mixed"
" "," "," "," "," "," "," "," ","EAP Upland Intensive Mixed"
"Chronic poverty 
","Risk"," ","In the upland intensive mixed farming system poverty is widespread and classified as moderate to severe.","(ASEAN, 2021); (Schreinemachers et al., 2013); (Dixon et al., 2001)"," "," "," ","EAP Upland Intensive Mixed"
"Food insecurity","Risk"," ","Farmers are dependent on their agricultural productivity to meet their food security needs. ","(Landicho et al., 2019); (Stuecker et al., 2018); (Dixon et al., 2001"," "," "," ","EAP Upland Intensive Mixed"
"Increase in average temperatures","Hazard","Temperature related","Temperatures in the LAC region have increased more than the global average and are likely to continue to do so. 2020 was among the three warmest years in Central America and the Caribbean, and the second warmest year in South America, with, 1.0°C, 0.8°C and 0.6°C above the long-term average of 1981-2010 climatological reference period, respectively.","Temperature related","World Meteorological Organization, 2021"," "," ","LAC Coastal Plantation Mixed"
"Increase in drought events","Hazard","Rainfall related","There has been widespread drought across Latin America and the Caribbean. The intense drought in the southern Amazonia and the Pantanal region was the worst in the last 50 years. A weak North American Monsoon and colder than normal sea surface temperatures along eastern Pacific associated with La Niña resulted in drought in Mexico.","Rainfall related","World Meteorological Organization, 2021"," "," ","LAC Coastal Plantation Mixed"
"Rising sea levels","Hazard","Maritime related","In the LAC region the mean sea level rise (SLR), amounting to 1.8 ± 0.1 mm/yr, has been similar to the global mean (≈ 1.8 ± 0.5 mm/yr) over the last 60 years ","Maritime related","Iris M and Hazel A. , 2017"," "," ","LAC Coastal Plantation Mixed"
"Increase in tropical cyclones/hurricanes","Hazard","Maritime related","In 2020, a record-breaking 30 named storms were detected in the Atlantic basin.  When the Atlantic hurricane season is normally winding down, Category 4 hurricanes Eta and Iota made landfall in the same region within a short space of time. They followed identical paths across Nicaragua and Honduras","Maritime related","World Meteorological Organization, 2021"," "," ","LAC Coastal Plantation Mixed"
"Increase in extreme rainfall events","Hazard","Rainfall related","There are times when we have extreme rainfalls in some parts of LAC. Towards of the year 2020, intense rainfall events, floods and flash floods happened in rural and urban areas in Central and South America.","Rainfall related","World Meteorological Organization, 2021"," "," ","LAC Coastal Plantation Mixed"
"Decrease in average precipitation","Hazard","Rainfall related","There has been precipitation deficits particularly serious for the Caribbean region, as several of its territories are on the global list of top water-stressed countries","Rainfall related","World Meteorological Organization, 2021"," "," ","LAC Coastal Plantation Mixed"
"Ocean acidification","Hazard","Maritime related","The elevated levels of carbon dioxide (CO2) in the atmosphere have resulted in an increased uptake of CO2 at the ocean’s surface, manifesting as higher partial pressure of CO2 (pCO2) in the ocean and leading to a decline in seawater pH and a change in the relative concentrations of carbonate, bicarbonate and hydrogen ions and decreasing carbonate/aragonite saturation state","Maritime related","Iris M and Hazel A. , 2017"," "," ","LAC Coastal Plantation Mixed"
"Increase in extreme heat (no. of hot days)","Hazard","Temperature related","According to the State of the Caribbean Climate report, towards the end of the century an increase in frequency of temperature extremes, including very hot days and nights, a decrease in very cold days  and nights, an increase in consecutive hot days (or warm spells) and drying conditions are projected.","Temperature related","World Meteorological Organization, 2020"," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
""," "," ",""," ",""," "," ","LAC Coastal Plantation Mixed"
""," ","","","",""," ","","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Loss of production of fish","Impact","Biophysical","Loss of production of fish in internal lakes mainly due to destruction of their habitats by climte related hazards","Biophysical","(Antonio M, 2018)"," "," ","LAC Coastal Plantation Mixed"
"Saline intrusion","Impact","Biophysical","Gradual salinization of land and wells in the coastal strips","Biophysical","Vergara, W et al., 2014"," "," ","LAC Coastal Plantation Mixed"
"Reduced crop productivity/failure","Impact","Biophysical","Up to 964, 000 hectares of crops damaged by Cyclones and hurricanes parts of LAC which includde the coastal plantations","Biophysical","(World Meteorological Organization, 2021); (Onil B et al., 2021)"," "," ","LAC Coastal Plantation Mixed"
"Coastal inundation","Impact","Biophysical","Inundation of land ( Increases in sea water intrusion may affect coastal aquifers, making them unsuitable for use in agriculture. Also, destruction of infrastracture) ","Biophysical; Infrastructure","(Vergara, W et al., 2014); (Iris M and Hazel A. , 2017) "," "," ","LAC Coastal Plantation Mixed"
"Beach erosion","Impact","Biophysical","Beach erosion damage the housing and fisheries landing sites ( In particular storms and hurricanes).","Biophysical; Infrastructure"," (Iris M and Hazel A. , 2017) "," "," ","LAC Coastal Plantation Mixed"
"Biodiversity loss","Impact","Biophysical"," Loss of  diversity of ecosystems.","Biophysical","Antonio M, 2018"," "," ","LAC Coastal Plantation Mixed"
"Water scarcity","Impact","Biophysical","The American continent has regions with abundant water resources such as the watersheds of the Amazon, the Mississippi, the Rio de la Plata and the Great Lakes. However, twothirds of the continental surface area is made up of arid and semi-arid soils, where the rains are markedly seasonal, so based on the time of year, there is abundance or scarcity.","Biophysical","IICA, 2017"," "," ","LAC Coastal Plantation Mixed"
"Landslide events","Impact","Biophysical","Rampant cases of landslides have been experienced. For example,  Towards the end of 2020, intense rainfall events brought landslides, floods and flash floods to rural and urban areas in Central and South America","Biophysical","World Meteorological Organization, 2021"," "," ","LAC Coastal Plantation Mixed"
"Damage to infrastructure","Impact","Biophysical","Coastal inundation leads to massive flooding in the coastal neighbouring leading to destruction of infrastructure.","Infrastructure","(Vergara, W et al., 2014); (Iris M and Hazel A. , 2017) "," "," ","LAC Coastal Plantation Mixed"
"Glacier melt","Impact","Biophysical"," ","Biophysical",""," "," ","LAC Coastal Plantation Mixed"
"Flash floods","Impact","Biophysical","Floods and flash floods are common during extreme rainfalls. For example towards the end of 2020, intense rainfall events brought floods and flash floods and landslides to rural and urban areas in Central and South America","Weather and Environment; Biophysical","World Meteorological Organization, 2021"," "," ","LAC Coastal Plantation Mixed"
"Increased flooding
","Impact","Biophysical"," ","Biophysical"," "," "," ","LAC Coastal Plantation Mixed"
"Increased incidence of bushfires","Impact","Biophysical"," ","Biophysical"," "," "," ","LAC Coastal Plantation Mixed"
"Crop stress/damage/mortality","Impact","Biophysical","","Biophysical"," "," "," ","LAC Coastal Plantation Mixed"
" "," "," ",""," ","","","","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Increase in malnutrition/ Reduced calorie intake","Impact","Socioeconomic","Malnutrition due to food insecurity (over 8 million people across Central America affected by extreme weather conditions) ","Socioeconomic","World Meteorological Organization, 2021"," "," ","LAC Coastal Plantation Mixed"
"Loss of income","Impact","Socioeconomic","Loss of income in agricultural exports","Finance","Antonio M, 2018"," "," ","LAC Coastal Plantation Mixed"
"Reduction in tax collection by the government","Impact","Socioeconomic","Reduction in tax collection by the government (and as a result, reduction in the capacity of the government to finance its activities)","Finance","Antonio M, 2018"," "," ","LAC Coastal Plantation Mixed"
"Increase in malnutrition/ Reduced calorie intake","Impact","Socioeconomic","For the malnourished people, climate change is an increasingly relevant threat multiplier","Socioeconomic","Antonio M, 2018"," "," ","LAC Coastal Plantation Mixed"
"Increase in migration","Impact","Socioeconomic","Rural-urban migration (people fleeing because of drought)","Socioeconomic","Antonio M, 2018"," "," ","LAC Coastal Plantation Mixed"
"Increase in food prices","Impact","Socioeconomic","Increase in price of staple foods","Finance; Socioeconomic","Antonio M, 2018"," "," ","LAC Coastal Plantation Mixed"
"Decrease in labour productivity","Impact","Socioeconomic","Increase of outdoor and indoor heat loads will have a negative impact on the  health  and  productivity  of  millions  of working  people ","Socioeconomic","Onil B et al., 2021"," "," ","LAC Coastal Plantation Mixed"
"Increase in food imports","Impact","Socioeconomic"," Several countries have seen crop imports increase . For instance,  increase by 13.5% in the case of Belize, 9.7% in Nicaragua, 7.1% in El Salvador, and 6.4% in Mexico ","Socioeconomic","Onil B et al., 2021"," "," ","LAC Coastal Plantation Mixed"
"Increase in food insecurity","Impact","Socioeconomic"," ","Socioeconomic"," "," "," ","LAC Coastal Plantation Mixed"
"Increase in malnutrition","Impact","Socioeconomic"," ","Socioeconomic"," "," "," ","LAC Coastal Plantation Mixed"
"Competition for resources","Impact","Socioeconomic"," ","Socioeconomic"," "," "," ","LAC Coastal Plantation Mixed"
"Conflict over resources","Impact","Socioeconomic"," ","Socioeconomic"," "," "," ","LAC Coastal Plantation Mixed"
"Dependence on food aid","Impact","Socioeconomic"," ","Socioeconomic"," "," "," ","LAC Coastal Plantation Mixed"
"Increase in poverty","Impact","Socioeconomic","Under future  climate change,  house hold  real  income  would decline as a result of reduced income from factors of production. ","socioeconomic; Finance","Onil B et al., 2021"," "," ","LAC Coastal Plantation Mixed"
"High poverty levels 






","Vulnerability","Human capital, gender and agricultural knowledge","High levels of poverty and inequality are key factorsdriving sensitivity across the LAC region, as large numbers of people are engaged in marginal, low
skilled livelihoods. In 2012, 11.3% of the LAC population, around 66 million people, were living in extreme poverty. In this agri system, poverty is high among labourers","Finance","Mapplecroft, 2014"," "," ","LAC Coastal Plantation Mixed"
"Predominantly small-scale subsistence farming","Vulnerability","Human capital, gender and agricultural knowledge","There are around 15 million smallholder farms in the LAC region, of which around 10 million are estimated to be subsistence enterprises which rely on non-farm sources of income to maintain their livelihoods ","Governance; Institutions and policy","Mapplecroft, 2014"," "," ","LAC Coastal Plantation Mixed"
"High illiteracy rates ","Vulnerability","Human capital, gender and agricultural knowledge","Low literacy rates are a concern in many Mesoamerican countries, along with high primary school drop-out rates, whereas poor quality education
has been highlighted as a challenge in the Caribbean. ","Governance; Institutions and policy","Mapplecroft, 2014"," "," ","LAC Coastal Plantation Mixed"
"Reliance on rainfed agriculture","Vulnerability","Human capital, gender and agricultural knowledge","Most of the agricultural land in the Americas and Caribbean is rainfed, i.e., 87 % of arable land.","Weather and Environment","IICA, 2017"," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Weak land tenure ","Vulnerability","Institutions and policies","The subdividing of farms in Mexico, Central America and the Andean nations, the concentration of land in the Southern Cone countries, and the pre-eminence of state land ownership in the Caribbean are the general trends detected in the structure of land tenure in Latin America and the Caribbean.","Institutions and policy","IICA, 2020"," "," ","LAC Coastal Plantation Mixed"
"Conflict prone area","Vulnerability","Institutions and policies","There exist social and political conflict. There are also conflicts around access to  resources such as water resources","Governance","(Antonio M, 2018); (Onil B et al., 2021)"," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Low access to markets","Vulnerability","Economic, financial and markets","Low access to markets due to lack of policies that fail to reduce market inefficiencies","Governance; Institutions and policy","World Bank, 2020"," "," ","LAC Coastal Plantation Mixed"
"Barriers to trade","Vulnerability","Economic, financial and markets","Agricultural subsidies in advanced economies imply that many agricultural exports from largernLAC do not compete on a level playing field","Governance; Institutions and policy","IMF, 2017"," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Frequent bushfires","Vulnerability","Sensitivity/
susceptibility to harm","Catastrophic wildfires have become more frequent and impactful in Central and South America as a result of environmental stressors, prolonged dry seasons, and other weather phenomenon impacting the region. They are especially experienced in the Amazonian forest.  ","Weather and environment","USDA, n.d"," "," ","LAC Coastal Plantation Mixed"
"Water scarce area","Vulnerability","Sensitivity/
susceptibility to harm","The American continent has regions with abundant water resources such as the watersheds of the Amazon, the Mississippi, the Rio de la Plata and the Great Lakes. However, twothirds of the continental surface area is made up of arid and semi-arid soils, where the rains are markedly seasonal, so based on the time of year, there is abundance or scarcity.","Weather and Environment","IICA, 2017"," "," ","LAC Coastal Plantation Mixed"
"High prevalence of land degradation","Vulnerability","Sensitivity/
susceptibility to harm","Land degradation is a serious problem in LAC including coastal plantation mixed systems. 306 million hectares of LAC are moderately or intensely degradaded","Governance","Fernando S, 2006"," "," ","LAC Coastal Plantation Mixed"
"High disease prevalence","Vulnerability","Sensitivity/
susceptibility to harm"," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"High poverty levels 






","Vulnerability","Lack of capacity to cope and adapt","Households  real  income decline as a result of reduced income from factors of production. ","Finance","Onil B et al., 2021"," "," ","LAC Coastal Plantation Mixed"
"Lack of irrigation infrastructure ","Vulnerability","Lack of capacity to cope and adapt","There is very little use of agricultural irrigation under coastal plantation mixed, i.e. in only 13 % of arable land.","Infrastructure","IICA, 2017"," "," ","LAC Coastal Plantation Mixed"
"Reliance on rainfed agriculture","Vulnerability","Lack of capacity to cope and adapt","Most of the agricultural land in the Americas and Caribbean is rainfed, i.e., 87 % of arable land.","Weather and Environment","IICA, 2017"," "," ","LAC Coastal Plantation Mixed"
"Predominantly small-scale subsistence farming","Vulnerability","Lack of capacity to cope and adapt","There are around 15 million smallholder farms in the LAC region, of which around 10 million are estimated to be subsistence enterprises which rely on non-farm sources of income to maintain their livelihoods ","Governance; Institutions and policy","Mapplecroft, 2014"," "," ","LAC Coastal Plantation Mixed"
"Low level of education","Vulnerability","Lack of capacity to cope and adapt","Low literacy rates are a concern in many Mesoamerican countries, along with high primary school drop-out rates, whereas poor quality education
has been highlighted as a challenge in the Caribbean. ","Governance; Institutions and policy","Mapplecroft, 2014"," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Implement marine conservation practices","Adaptation option","Natural capital","Restoration and conservation of coastal ecosystems (mangroves and coral reefs) which are important ecosystems where fish species live.","Ecosystem-based adaptation; Policy level","UNDP, n.d"," "," ","LAC Coastal Plantation Mixed"
