"FS name",FS macro region,"From","Link type","To","Description"
"Upland Intensive Mixed",EAP,"Unsustainable land management practices","Is mitigated by","Implement agroforestry practices","Agroforestry is a key climate change adaptation strategy as it provides multiple harvests at different times of the year whilst simultaneously enhancing soil health, biodiversity conservation and climate change mitigation. The diverse combination of crops buffers farmers from the risk of income loss due to climate variability, price fluctuations and other unexpected problems. On steeper lands such as in the upland intensive mixed agricultural system, agroforestry should be promoted with contour planting of suitable tree species to reduce soil erosion and enhance soil fertility whilst contributing to rural livelihoods through the provision of fruits, timber, fuelwood and non-timber forest products. In Thailand, much effort has been focused on fruit tree production (e.g. litchi, longan and mango)."
"Upland Intensive Mixed",EAP,"Limited uptake of modern technologies","Is mitigated by","Build the capacity of agricultural extension agents","Technological capacity to adapt to climate change in the upland intensive mixed farming system is limited. Training extension officers on demonstration plots can be an effective means to improving farmers' awareness of modern technologies as well as motivating them to apply the technologies on their own farms."
"Upland Intensive Mixed",EAP,"Unsustainable land management practices","Is mitigated by","Invest in water harvesting and storage infrastructure","To enhance upland farmers' resilience to climate change there is a need to invest in water harvesting and storage to serve as water sources during long dry seasons. For example, the construction of rainwater storage ponds in the Philippines."
"Upland Intensive Mixed",EAP,"Unsustainable land management practices","Is mitigated by","Facilitate access to loans","The adoption of sustainable agricultural practices is enhanced with access to capital. "
"Upland Intensive Mixed",EAP,"Unequal opportunities for women ","Is mitigated by","Build women's  capacity ","It is important to build the capacity of women and ethnic minorities to adopt appropriate agricultural innovations, and to understand how policies, social and biophysical constraints positively or negatively affect their development. "
"Upland Intensive Mixed",EAP," "," "," "," "
"Upland Intensive Mixed",EAP,"Weak land tenure ","Is mitigated by","Land tenure reform","Weak land tenure impedes agricultural development in many countries engaged in the upland intensive mixed farming system. Governments are reluctant to give farmers legal ownership of the land and farmers are generally unwilling to invest resources in development without secure land ownership. Land tenure, land leasing and land markets are policy issues that need to be reviewed and updated to promote development in upland farming areas."
"Upland Intensive Mixed",EAP," "," "," "," "
"Upland Intensive Mixed",EAP,"Lack of access to risk insurance","Is mitigated by","Improve access to risk insurance schemes","Improving farmers' access to agricultural insurance encourages the adoption of new agricultural practices and technologies by providing the farmers with a safety net. Farmer organisations can be efficient channels for introducing crop insurance programmes for farmers."
"Upland Intensive Mixed",EAP,"Low access to credit","Is mitigated by","Improve access to credit","A lack of capital constrains investment in sustainable agricultural activities and rural development, this can be addressed by improving farmers' access to rural financial services and establishing community-managed funds."
"Upland Intensive Mixed",EAP," "," "," "," "
"Upland Intensive Mixed",EAP,"High levels of deforestation","Is mitigated by","Implement agroforestry practices","On-farm agroforestry within the agricultural system encourages the growing of trees on mountain slopes. The planting of trees is more environmentally sustainable than growing annual crops, as trees are more effective at preventing soil erosion, regulating the flow of rainwater and maintaining biodiversity."
"Upland Intensive Mixed",EAP,"High levels of deforestation","Is mitigated by","Implement reforestation practices","Forested areas are scattered throughout the agricultural system, mainly at higher elevations. Development programmes should promote afforestation practices and community management of forested areas to enhance ecological goods and services for improved agricultural productivity and livelihood options."
"Upland Intensive Mixed",EAP,"High prevalence of land degradation","Is mitigated by","Implement conservation agriculture practices","Conservation agriculture practices can make upland production systems more sustainable and address land degradation by integrating cover crops and mulching methods, introducing fruit trees on sloping land and adopting minimum tillage with legume crop rotations. The use of contour furrows on slopes disrupts surface water flow, decreases runoff and increases the rainwater-soil penetration. The use of biodegradable mulching materials protects the soil from direct rainfall impact and reduces evaporation. Planting multiple crop types creates permanent soil coverage and generates a consistent income flow. Using a combination of these strategies has been shown to reduce soil erosion, improve the water holding capacity of soil and increase crop yields when compared to conventional practices. "
"Upland Intensive Mixed",EAP,"High prevalence of pests","Is mitigated by","Apply integrated pest and diseases management","Adopt integrated pest management (IPM) to manage emerging insect–pest problems."
"Upland Intensive Mixed",EAP,"High prevalence of weeds","Is mitigated by","Integrated weed management","Adopt integrated weed management (IWM) practices to manage emerging weed problems. Rainfed rice cultivation requires strict weed control to achieve reasonable yields. On newly cleared land, two successive crops can be obtained but then weed infestation can become a major constraint. "
"Upland Intensive Mixed",EAP," "," "," "," "
"Upland Intensive Mixed",EAP,"Low access to agricultural extension services","Is mitigated by","Improve access to agricultural extension services","There is substantial knowledge and technologies available for sustainable farming in the uplands but it rarely reaches the farmers. Extension agents are needed to strengthen the capabilities of farmers to improve their agricultural production and sustainably use forests. Network approaches where farmers, extension agents and researchers collaborate are more beneficial as they are more responsive to the needs of the farming communities than traditional top-down approaches. Developing a bond between the farmers and extension staff is also important for expanding the use of farming technologies. Participatory approaches such as farmer trainers’ can ensure widespread and rapid agricultural knowledge diffusion. 
"
"Upland Intensive Mixed",EAP,"Low levels of climate change awareness at the farmer level","Is mitigated by","Improve access to climate information services","Timely access to climate information can be improved through media channels such as television and radio. Communicating climate change information is one of the best strategies to effect change."
"Upland Intensive Mixed",EAP,"Low levels of climate change awareness at the farmer level","Is mitigated by","Develop/improve early warning systems","Seasonal forecasts and extension departments need to provide early warning to farmers in the case of extreme climatic events, such as those associated with the El Niño Southern Oscillation."
"Upland Intensive Mixed",EAP,"Reliance on rainfed agriculture","Is mitigated by","Diversify livelihoods","Increasing off-farm income is one of the most important household strategies for reducing dependence on rainfed agricultural systems that are highly vulnerable to climate change. "
"Upland Intensive Mixed",EAP,"Reliance on rainfed agriculture","Is mitigated by","Diversify to livestock value chains","Diversifying to livestock value chains reduces the dependency of farming households on single income streams from rainfed crops which are vulnerable to climate change. Livestock products are an important source of household cash income in the agricultural system and there is considerable room for expanding production.  However, focus must be placed on integrated livestock production systems (e.g. manure management for organic fertiliser) and good livestock husbandry practices with improved access to animal health services. Technologies introduced should provide improved animal health, better animal feeding, improved animal husbandry practices and breed improvement. Effective extension and support services will also be needed. 

"
"Upland Intensive Mixed",EAP,"Reliance on rainfed agriculture","Is mitigated by","Adopt early maturing varieties","Adjusting the crop calendar and adopting early maturing varieties could improve yields and minimise risk of flooding during harvest."
"Upland Intensive Mixed",EAP,"Limited uptake of modern technologies","Is mitigated by","Invest in agricultural research and development","Government and researchers should engage farmers in local-level research, drawing upon their indigenous knowledge in the identification of climate change issues and co-developing adaptation means to meet their context-specific needs. For example, governments should promote research to quantify the impacts of climate change on sugarcane and pulse production that is area specific and co-developed with farmers through effective demonstration plots."
"Upland Intensive Mixed",EAP,"High poverty levels 






","Is mitigated by","Plant multiple crop types","Economic studies have shown that diversification of agriculture away from rice has led to a reduction in poverty and greater levels of economic well-being amongst rural households. Rice fields in the upland areas
are being substituted with high value cash crops such as fruit orchards, spices, flowers and bioenergy crops.
"
"Upland Intensive Mixed",EAP,"High poverty levels 






","Is mitigated by","Plant cash crops","Government policy in several East Asian countries promotes agricultural intensification through cash crop production. The integration of cash crops in upland livelihood strategies can increase household income levels and food security. Due to the remoteness of the farming system, emphasis needs to be placed on low weight, high value products that are easily transported, have a long shelf-life and can be processed locally to increase the market value. "
"Upland Intensive Mixed",EAP,"High poverty levels 






","Is mitigated by","Establish payment for ecosystem services schemes","Poor households can be incentivised to adopt sustainable land management and conservation practices using well-designed market-based mechanisms such as payment for ecosystem services."
"Upland Intensive Mixed",EAP,"High poverty levels 






","Is mitigated by","Implement agroforestry practices","Agroforestry provides multiple harvests and incomes at different times of the year. The diverse combination of crops buffers farmers from the risk of income loss due to climate variability, price fluctuations and other unexpected problems, thereby alleviating poverty."
"Upland Intensive Mixed",EAP,"Reliance on rainfed agriculture","Is mitigated by","Adjust crop calendar
","Modification of the rice crop calendar can enable farmers to obtain better yield. Farmers should be encouraged to plant early in May and harvest in September to avoid flooding in October. The proposed crop calendar is best implemented with early maturing varieties."
"Upland Intensive Mixed",EAP,"Weak land tenure and access rights, particularly for women","Is mitigated by","Land tenure reform","Land ownership by women in the agricultural system is rare, so their work is largely unrecognised and they cannot access finance, extension services or other technical support. Even when national laws allocate equal rights to own and control land, social norms and customary laws tend to prevent it. Strengthening and ensuring stringent enforcement of land ownership policy and legislation is required in conjunction with gender inequality awareness programmes that focus on the economic, environment and social benefits of land ownership by women. "
"Upland Intensive Mixed",EAP,"Lack of road infrastructure","Is mitigated by","Invest in road infrastructure","The development of rural road networks must be actively promoted, not only as a pre-requisite to agricultural development in upland areas, but also as a means of creating opportunities for increased off-farm employment. For example, in Laos, ‘feeder’ roads in the upland areas contributed to the doubling of maize production. "
"Upland Intensive Mixed",EAP,"Unequal opportunities for women ","Is mitigated by","Policy reform
","While key policies and strategies related to gender and climate change do exist in a few East Asian and Pacific Islands countries, the development of gender-specific action plans has been slow in terms of support for implementation processes, largely due to budget shortfalls and a lack of human resources. For example, for women's economic empowerment, policy is needed to enhance women's access to markets, to improve their positions in agricultural value chains, to redistribute women's unpaid care work and to remove other barriers to  resources such as land."
"Upland Intensive Mixed",EAP,"Farmers engaged in agri system","Exposed to","Food insecurity","Lower crop yields, particularly of staple grains such as rice, will enhance food insecurity in the upland farming households. "
"Upland Intensive Mixed",EAP,"Farmers engaged in agri system","Exposed to","Chronic poverty 
","Lower crop yields will reduce household incomes in a farming system that is characterised by widespread poverty, thereby forcing the population of the agricultural system into a cycle of chronic poverty. "
"Coastal plantation and mixed ",LAC,"Ocean acidification","Leads to","Loss of production of fish","Ocean warming and acidification are damaging marine ecosystems and compromising the ability to provide food for fish. For the LAC region, the impacts of climate change  fishing areas are noting several potential negative effects such as  ocean acidification in the Gulf of California
 "
"Coastal plantation and mixed ",LAC,"Increase in tropical cyclones/hurricanes","Leads to","Loss of production of fish","Increased intensity and frequency of storms and hurricanes will affect the safety of fishers at sea and potentially increase the number of accidents. Hurricanes also destroy coral reefs which are imporant ecosystem habitats for fisheries."
"Coastal plantation and mixed ",LAC,"Increase in extreme rainfall events","Leads to","Flash floods","Floods and flash floods are common during extreme rainfalls. For example towards the end of 2020, intense rainfall events brought floods and flash floods and landslides to rural and urban areas in Central and South America"
"Coastal plantation and mixed ",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Reduced crop productivity/failure","Extreme heat can exacerbate drought, and hot, dry conditions which affect crop production.  In the summer of 2001, drought severely reduced cereal and vegetable production in Guatemala, Honduras, El Salvador, Nicaragua, and portions of other Central American countries . Record to near-record dryness throughout the Caribbean has caused reductions in fresh water supplies and crop production, increasing food prices and reducing exports, and thus negatively impacting local economies."
"Coastal plantation and mixed ",LAC,"Increase in extreme rainfall events","Leads to","Landslide events","Rampant cases of landslides have been experienced. For example,  Towards the end of 2020, intense rainfall events brought landslides, floods and flash floods to rural and urban areas in Central and South America"
"Coastal plantation and mixed ",LAC,"Increase in drought events","Leads to","Reduced crop productivity/failure","In 1988 and 2012, severe droughts slashed corn, soybean, and other crop production across large portions of the central United States. In 7 of the 10 years between 2000 and 2009, drought caused on average more than 4.7 billion USD in agricultural losses annually across portions of the United States). "
"Coastal plantation and mixed ",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Water scarcity","Twothirds of the american continental surface area is made up of arid and semi-arid soils, where the rains are markedly seasonal, so based on the time of year, there is abundance or scarcity."
"Coastal plantation and mixed ",LAC,"Rising sea levels","Leads to","Coastal inundation","The rising sea levels coupled with EL nino will lead to inundation. A larger number of inhabitants will be affected by the higher sea levels resulting from RCP8.5. The areas most exposed are certain locations in the Caribbean islands, certain locations on the Pacific coasts of Peru and Ecuador. El Niño can significantly influence sea levels over the entire tropical west coast of LAC. Previous El Niño events have caused temporary increases similar in magnitude to those caused by the rSLR throughout the last six decades "
"Coastal plantation and mixed ",LAC,"Rising sea levels","Leads to","Saline intrusion","Source water quality, both groundwater and surface water, is at risk from saltwater intrusion due to rising sea levels, changing water demands"
"Coastal plantation and mixed ",LAC,"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Precipitation deficits are particularly serious for the Caribbean region, as several of its territories are on the global list of top water-stressed countries.This has had significant impacts, including  reduced crop yields and food production, leading to worsening food insecurity in many areas. "
"Coastal plantation and mixed ",LAC,"Increase in average temperatures","Leads to","Glacier melt","Average temperature rise has intensified glacier melt, multiplying the number of glacier lakes. Glacial lake outburst floods (GLOFs) are a recurring hazard  andoccur due to sudden release of large quantities of water accumulated in lakes from melting glaciers during the past decades, and have caused more than 5700 deaths in South America on record"
"Coastal plantation and mixed ",LAC,"Rising sea levels","Leads to","Beach erosion","As global sea level rises, the action of waves at higher elevations increases the likelihood for extensive coastal beach erosion. Beach erosion damage the housing and fisheries landing sites."
"Coastal plantation and mixed ",LAC,"Ocean acidification","Leads to","Biodiversity loss","Some of the most degraded ecosystems in LAC are mangroves, wetlands and coral reefs, resulting in the loss of valuable ecosystem. Almost two thirds of the Caribbean
coral reefs are threatened by water acidification, coastal urbanization, sedimentation, contamination by toxic substances, and overfishing. Over the past 10 years the marine and coastal ecosystems of the region have provided between 15 and 30% of the world’s total fish supply. GEO Uruguay reports that in 30 years’ time 90% of fisheries will be overexploited or at maximum capacity. "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"Increase in drought events","Leads to","Increase in food insecurity","Widespread drought across Latin America and the Caribbean has had significant impacts, including reduced crop yields and food production, leading to worsening food insecurity in many areas."
"Coastal plantation and mixed ",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Decrease in labour productivity","Increase of outdoor and indoor heat loads will have a negative impact on the  health  and  productivity  of  millions  of working  people "
"Coastal plantation and mixed ",LAC,"Decrease in average precipitation","Leads to","Increase in food prices","Decrease in precipitation contributes to a decreases in food production, food quality and revenues, rising prices, dependency on imports and pressure on ecosystems."
"Coastal plantation and mixed ",LAC,"Increase in tropical cyclones/hurricanes","Leads to","Increase in migration","Hurricanes have devastating effects on human lives. For example, Hurricane Mitch of 1998, devastated Honduras with over 11,000 fatalities. Similarly,  there is significant human migration from Central American countries to the United States as an aftermath to landfalling TCs in the region"
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"Increased flooding
","Leads to","Landslide events","Rampant cases of landslides have been experienced. For example,  Towards the end of 2020, intense rainfall events brought landslides, floods and flash floods to rural and urban areas in Central and South America"
"Coastal plantation and mixed ",LAC,"Coastal inundation","Leads to","Damage to infrastructure","Coastal inundation leads to massive flooding in the coastal neighbouring leading to destruction of infrastructure."
"Coastal plantation and mixed ",LAC,"Reduced crop productivity/failure","Leads to","Increase in food insecurity","The prevalence of hunger in Latin America and the Caribbean now stands at 9.1%, the highest it has been in the last 15 years, although slightly below the world average of 9.9%. Just between 2019 and 2020, the prevalence of hunger increased by 2 percentage points."
"Coastal plantation and mixed ",LAC,"Reduced crop productivity/failure","Leads to","Increase in food prices","Reduction in crop production leads to increase in food prices."
"Coastal plantation and mixed ",LAC,"Reduced crop productivity/failure","Leads to","Increase in food imports","Shortages of food due to crop failure or reduction in production calls for increased imports and food aid."
"Coastal plantation and mixed ",LAC,"Loss of production of fish","Leads to","Reduction in tax collection by the government","Loss of critical habitats will result in decreased fish production and reduced sustainable fishery yields, particularly of reef- associated fisheries hence leading to reduction in tax collection by the government."
"Coastal plantation and mixed ",LAC,"Loss of income","Leads to","Increase in poverty","It is estimated that in 2020, some 491 million people in the farming system were living with income of up to three times the poverty line."
"Coastal plantation and mixed ",LAC,"Increase in food insecurity","Leads to","Increase in malnutrition","The region is facing a pandemic of malnutrition due to the increasing food insecurity."
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"Reliance on rainfed agriculture","Leads to","Reduced crop productivity/failure","Smallholder Arabica and Robusta coffee farmers are particularly vulnerable to climate change given their reliance on rain-fed agriculture."
"Coastal plantation and mixed ",LAC,"Predominantly small-scale subsistence farming","Leads to","Increase in poverty","Hunger, poverty and lack of opportunities in the farming system remain concentrated in rural areas, among small-scale subsistence farmers and especially among indigenous peoples,women and youth. While 26 per cent of the region’s urban population is poor,46 per cent of the region’s rural population lives under the poverty line, almost double. "
"Coastal plantation and mixed ",LAC,"High illiteracy rates ","Leads to","Increase in poverty","Education is another factor which is shown to be closely linked to the incidence of poverty. The poor are more likely to be illiterate in the farming system."
"Coastal plantation and mixed ",LAC,"High poverty levels 






","Leads to","Increase in malnutrition"," Around 66 million people in LAC  are  living in extreme poverty leading to increased malnutrition."
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"Weak land tenure ","Leads to","Competition for resources","The region faces major challenges in land tenure informality and overlapping mandates for titling, mapping, and registration leading to competition for resources such as land."
"Coastal plantation and mixed ",LAC,"Conflict prone area","Leads to","Conflict over resources","There exist social and political conflict. There are also conflicts around access to  resources such as water resources."
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"Low access to markets","Leads to","Loss of income","Coffee producers in the farming system are vulnerable to low market access hence leading to loss of income. "
"Coastal plantation and mixed ",LAC,"Barriers to trade","Leads to","Reduction in tax collection by the government","Trade restrictions that promote special interests in the region leads to reduction in tax collection by the government."
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"Frequent bushfires","Leads to","Increased incidence of bushfires","Latin America and the Caribbean (LAC), Coastal plantationmixed specifically, continues to be impacted by wildfires with an average of 33 million hectares of land estimated to have been affected each year for the period 2009-2019."
"Coastal plantation and mixed ",LAC,"Water scarce area","Leads to","Reduced crop productivity/failure","Water scarcity is expected to increase in several areas due to climate change, leading to reduced coffee and fish production  in the farming system."
"Coastal plantation and mixed ",LAC,"Water scarce area","Leads to","Water scarcity","Rapid urbanization over the past 50 years, lack of infrastructure (including rehabilitation of existing facilities) and more importantly weak governance are crucial factors that affect scarcity in a water rich region."
"Coastal plantation and mixed ",LAC,"High prevalence of land degradation","Leads to","Increase in food insecurity","About 45% of croplands in South America and 74% in Meso-America are degraded. The arid lands are threatened by desertification and very often by droughts leading to increased food insecurity."
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"High poverty levels 






","Leads to","Dependence on food aid","High poverty levels in the farming system has led to critical situation in terms of food security hence leading to high dependence on food aid."
"Coastal plantation and mixed ",LAC,"Lack of irrigation infrastructure ","Leads to","Crop stress/damage/mortality","Lack of irrigation, which also depends on water supply leads to stress in crops, which can damage yields if they occur during droughts."
"Coastal plantation and mixed ",LAC,"Reliance on rainfed agriculture","Leads to","Increase in food insecurity","Rainfed agriculture is prone to climate change impacts such as droughts hence leading to increased food insecurity."
"Coastal plantation and mixed ",LAC,"Predominantly small-scale subsistence farming","Leads to","Loss of income","Subsistence small-scale farming is characterized by these identified challenges i.e high cost of borrowing, lack of entrepreneurship skills, inadequate infrastructure, insufficient markets, adverse climate changes and socio-cultural constraint hence leading to loss of income in the farming region."
"Coastal plantation and mixed ",LAC,"Low level of education","Leads to","Increase in poverty","Education improves food security and reduces malnutrition. By educating citizens on agriculture and farming techniques, they become capable of growing and selling their own food. This creates a source of income as well as healthy living."
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"High poverty levels 






","Is mitigated by","Diversify livelihoods","Rural people in the farming should adopt diversified livelihoods strategies in order to augment incomes and reduce
consumption risks associated with primary agricultural production. "
"Coastal plantation and mixed ",LAC,"High illiteracy rates ","Is mitigated by","Improve networking and knowledge exchange","High literacy level is mitigated by improving knowledge exchange through increasing the capacity of Latin American developing countries to quantify greenhouse gas emissions and develop low emissions agriculture options."
"Coastal plantation and mixed ",LAC,"Reliance on rainfed agriculture","Is mitigated by","Invest in irrigation infrastructure","Rainfed agriculture is prone to climate change impacts such as droughts hence the need to invest in irrigation infrastructure in the farming system."
"Coastal plantation and mixed ",LAC,"Predominantly small-scale subsistence farming","Is mitigated by","Capacity building on sustainable agricultural practices","Small scale farming should be trained on sustainable agricultural practices."
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"Reliance on rainfed agriculture","Is mitigated by","Implement conservation agriculture practices","Conservation agriculture (CA) such as soil and water conservation practices i.e minimum tillage has been adopted successfully in the Southern Cone region of South America to conserve water because the region is majorly dependent on rainfed agriculture. "
"Coastal plantation and mixed ",LAC,"Reliance on rainfed agriculture","Is mitigated by","Implement soil and water conservation practices","Over-reliance on rainfed agriculture needs conservation practices such as minimum or no tillage. "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"Weak land tenure ","Is mitigated by","Land tenure reform","Strengthening land governance is critically needed in the farming system  to protect the environment and achieve gender equality."
"Coastal plantation and mixed ",LAC,"Conflict prone area","Is mitigated by","Build capacity on advocacy","Social conflicts routinely show up as news headlines in the press throughout Latin America and the Caribbean. So, due to their prominence in the region, conflict prevention and democratic dialogue should be put at the center of the agendas of national, regional, and municipal governments."
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"Low access to markets","Is mitigated by","Improve access to markets","Access to the markets should be improved by investing in roads connecting the rural farmers."
"Coastal plantation and mixed ",LAC,"Barriers to trade","Is mitigated by","Build capacity on advocacy","Regional trade agreements should be made through advocacy so as to reduce trade barriers."
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"High prevalence of land degradation","Is mitigated by","Implement reforestation practices","Land degradation is a globally recognized problem and restoration of degraded land is currently high on the international agenda."
"Coastal plantation and mixed ",LAC,"Frequent bushfires","Is mitigated by","Develop/improve early warning systems","Wildfires are becoming more intense and more frequent, ravaging communities and ecosystems in their path. And therefore,assessment of existing monitoring/early warning systems (EWS) organized according to type of environmental threats should be put in place."
"Coastal plantation and mixed ",LAC,"Water scarce area","Is mitigated by","Invest in water harvesting and storage infrastructure","Making more rainwater available to crops when most needed (capture water -rainwater harvesting, soil and water conservation-, and using it -deficit irrigation; supplementary irrigation etc."
"Coastal plantation and mixed ",LAC,"High disease prevalence","Is mitigated by","Apply integrated pest and diseases management","High disease prevalence should be mitigated by implementing the intergrated pest and disease management practices. "
"Coastal plantation and mixed ",LAC,"Frequent bushfires","Is mitigated by","Improve climate change awareness
","World Food Programme are building the capacities of communities and governments in Central and South America to adapt to the growing challenges of climate change such as the catastrophic wildfires that  have become more frequent and impactful  as a result of environmental stressors and prolonged dry seasons."
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC," "," "," "," "
"Coastal plantation and mixed ",LAC,"Lack of irrigation infrastructure ","Is mitigated by","Invest in irrigation infrastructure","Expanding the use of irrigation can thus increase LAC's food production, but it will require substantial additional infrastructure and capital."
"Coastal plantation and mixed ",LAC,"High poverty levels 






","Is mitigated by","Diversify livelihoods","High poverty levels is mitigated by diversifying agricultural production. The output of this strategy is diversified food production for self-consumption and dietary diversity, and also diversified income to curb the poverty levels."
"Coastal plantation and mixed ",LAC,"Reliance on rainfed agriculture","Is mitigated by","Adopt drought tolerant varieties






","Plant native and/or drought-tolerant coffee. They don't need water as frequently and usually will survive a dry period without watering."
"Coastal plantation and mixed ",LAC,"Low level of education","Is mitigated by","Improve networking and knowledge exchange","Ensuring that there is free flow of information about climate change impacts among the farmers who are uneducated."
"Coastal plantation and mixed ",LAC,"Predominantly small-scale subsistence farming","Is mitigated by","Plant multiple varieties","Small scale subsistence farmers should apart from the coffee, plant multiple crops  in the farming system. "
"Coastal plantation and mixed ",LAC,"Reliance on rainfed agriculture","Is mitigated by","Implement climate smart agriculture practices





","Climate smart practices should be enhance to cushion the smallholder farmers from the over-reliance on rainfed agriculture in the region."
"Coastal plantation and mixed ",LAC,"Lack of irrigation infrastructure ","Is mitigated by","Implement efficient water management","Lack of irrigation infrastructure should be mitigated by implementing efficient  water management structures such as, Water harvesting and storage structures."
"Coastal plantation and mixed ",LAC,"Predominantly small-scale subsistence farming","Is mitigated by","Plant multiple crop types","Small- scale subsisitemce farming calls for the production of multiple crop types. "
"Coastal plantation and mixed ",LAC,"Lack of irrigation infrastructure ","Is mitigated by","Structural adjustments","Need for the investment in infrastructural development to mitigate the lack of irrigation infrastructure in the region."
"Coastal plantation and mixed ",LAC,"High illiteracy rates ","Is mitigated by","Build climate information services","Institutions should be put in place to provide information services to the illiterate  in many Mesoamerican countries and the high primary school drop-out in the region."
"Coastal plantation and mixed ",LAC,"Predominantly small-scale subsistence farming","Is mitigated by","Invest in agricultural research and development","Investing in Research &Development  so as to develop resistant crops and breeds suitable to predominantly small-scale subsistence farming."
"Coastal plantation and mixed ",LAC,"Farmers engaged in agri system","Exposed to","Chronic poverty 
","Farmers in the Coastal plantation mixed are exposed to High levels of poverty and inequality , as large numbers of people are engaged in marginal, low
skilled livelihoods."
"Coastal plantation and mixed ",LAC,"Farmers engaged in agri system","Exposed to","Food insecurity","Farmers engaged in agri system are exposed to  a pandemic of malnutrition due to the increasing food insecurity."
"Coastal plantation and mixed ",LAC,"Area of land used","Exposed to","Loss of livelihoods ","186 million of farmers under this agri system are exposed to loss of livelihoods due to climatical conditions. "
"Dryland mixed",LAC,"Increase in drought events","Leads to","Unpredictable planting period","Increase in droughts events leads to unpredictable planting seasons."
"Dryland mixed",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Livestock mortalities","Extreme heat conditions leads to increase in livestock morality rates."
"Dryland mixed",LAC,"Increase in drought events","Leads to","Water scarcity","Prolonged droughts leads to water scarcity."
"Dryland mixed",LAC,"Increase in extreme rainfall events","Leads to","Increased flooding
","Extreme rainfall events cause flooding."
"Dryland mixed",LAC,"Shorter growing season","Leads to","Reduced crop productivity/failure","Shorter  growing season leads to lower yields or crop failure."
"Dryland mixed",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Reduced livestock productivity","Extreme heat also reduce livestock productivity"
"Dryland mixed",LAC,"Increase in average precipitation","Leads to","Increased flooding
","The potential impacts of heavy precipitation leads to heavy rains which causes increased flooding."
"Dryland mixed",LAC,"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Decreased precipitation leads to drought which causes reduced crop productivity. "
"Dryland mixed",LAC,"Rising sea levels","Leads to","Soil erosion"," Rising sea levels can cause destructive erosion, wetland flooding, aquifer and agricultural soil contamination with salt, and lost habitat for fish, birds, and plants."
"Dryland mixed",LAC,"Increase in average temperatures","Leads to","Livestock mortalities","Temperature increases between 1°C and 5°C above average have been suggested to give rise to higher mortality in grazing livestock."
"Dryland mixed",LAC,"Increase in dry days","Leads to","Reduced crop productivity/failure","Increase in number of dry days leads to reduced crop productivity. "
"Dryland mixed",LAC,"Increase in tropical cyclones/hurricanes","Leads to","Increased flooding
","Tropical cyclones causes extreme flooding and strong winds. "
