ID,"Label","Type","Type-1","Type-2","Tags","Description"
280," ""High disease prevalence""","LAC Coastal Plantation Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""",,
281,"High poverty levels ","LAC Coastal Plantation Mixed","Vulnerability","Lack of capacity to cope and adapt","Finance","Households  real  income decline as a result of reduced income from factors of production. "
282,"Lack of irrigation infrastructure ","LAC Coastal Plantation Mixed","Vulnerability","Lack of capacity to cope and adapt","Infrastructure","There is very little use of agricultural irrigation under coastal plantation mixed, i.e. in only 13 % of arable land."
283,"Reliance on rainfed agriculture","LAC Coastal Plantation Mixed","Vulnerability","Lack of capacity to cope and adapt","Weather and Environment","Most of the agricultural land in the Americas and Caribbean is rainfed, i.e., 87 % of arable land."
284,"Predominantly small-scale subsistence farming","LAC Coastal Plantation Mixed","Vulnerability","Lack of capacity to cope and adapt","Governance; Institutions and policy","There are around 15 million smallholder farms in the LAC region, of which around 10 million are estimated to be subsistence enterprises which rely on non-farm sources of income to maintain their livelihoods"
285,"Low level of education","LAC Coastal Plantation Mixed","Vulnerability","Lack of capacity to cope and adapt","Governance; Institutions and policy","Low literacy rates are a concern in many Mesoamerican countries, along with high primary school drop-out rates, whereas poor quality education has been highlighted as a challenge in the Caribbean. "
286,"Implement marine conservation practices","LAC Coastal Plantation Mixed","Adaptation option","Natural capital","Ecosystem-based adaptation; Policy level","Restoration and conservation of coastal ecosystems (mangroves and coral reefs) which are important ecosystems where fish species live."
287,"Implement wetland restoration","LAC Coastal Plantation Mixed","Adaptation option","Natural capital","Ecosystem-based adaptation; Policy level","The NDCs of Central American and the Caribbean countries incorporate ocean-related adaptation proposals, such as mangrove and wetland restoration, to reduce theimpacts of sea-level rise and extreme sea level."
288,"Implement reforestation practices","LAC Coastal Plantation Mixed","Adaptation option","Natural capital",,
289,"Invest in water harvesting and storage infrastructure","LAC Coastal Plantation Mixed","Adaptation option","Physical capital","Infrastructure; Farm level; Community level","There are  efforts to protect freshwater water resources through harvesting and storage infrastructure.  In addition there is use of advanced technology to increase water supply in response to climate induced drought; energy-intensive technologies for water purification (such as reverse osmosis)"
290,"Structural adjustments","LAC Coastal Plantation Mixed","Adaptation option","Physical capital","Infrastructure","As part of coastal zone management,  there is investments in infrastructure development (i.e., artificial breakwaters, erosion control) and coastal zone planning"
291,"Invest in irrigation infrastructure","LAC Coastal Plantation Mixed","Adaptation option","Physical capital","Technology; Climate-smart agriculture; Farm level; Partnership required","About 13% of arable land in this agri system is under irrigation. There is Improvements in irrigation efficiency"
292,"Implement soil and water conservation practices","LAC Coastal Plantation Mixed","Adaptation option","Human capital","Conservation Agriculture; Farm level; Policy level ","Conservation agriculture (CA) including soil and water conservation practices sucha as minimum/NO tillage has been widely successful in the Southern Cone region of South America.  Other regions of Latin America, however, such as Central America and the Andean region, CA adoption has proven more difficult. The development of effective CA innovation systems in countries such as Brazil and Mexico has been instrumental in overcoming factors limiting CA adoption"
293,"Adopt drought tolerant varieties","LAC Coastal Plantation Mixed","Adaptation option","Human capital","Technology; Climate-smart agriculture; Farm level.","Adoption of pest-, drought-, and heat-resistant crops"
294,"Invest in agricultural research and development","LAC Coastal Plantation Mixed","Adaptation option","Human capital","Research and development; Partnership required","Research &Development  on resistant crops and breeds"
295,"Plant multiple crop types","LAC Coastal Plantation Mixed","Adaptation option","Human capital","Climate-smart agriculture; Farm level; Community level; Partnership required ","Agricultural diversification"
296,"Implement efficient water management","LAC Coastal Plantation Mixed","Adaptation option","Human capital","Infrastructure; Farm level; Community level","Water harvesting and storage"
297,"Implement climate smart agriculture practices","LAC Coastal Plantation Mixed","Adaptation option","Human capital","Climate-smart agriculture; Farm level; Community level; Partnership required ","In the case of rain-fed agriculture (soybean, maize, wheat), CSA practices such as direct seeding and land use and management plans have higher levels of adoption. For intensive vegetable production (citrus, deciduous plants, horticulture) the most common CSA practices fall under the umbrella of integrated crop management and include techniques for soil, pests and disease management that contribute to more stable and/or increased production and to reduced use of agrochemicals. For instance, techniques of sexual confusion in fruit trees for managing Grapholita molesta in peaches and Carpocapsa pomonella in apples and quince allow for a reduction in insecticide use from 12 applications to 2 (on average per season)"
298,"Implement conservation agriculture practices","LAC Coastal Plantation Mixed","Adaptation option","Human capital","Conservation Agriculture; Farm level; Policy level ","Conservation agriculture (CA) including soiland water conservation practices sucha as minimum tillage has been widely successful in the Southern Cone region of South America.  Other regions of Latin America, however, such as Central America and the Andean region, CA adoption has proven more difficult. The development of effective CA innovation systems in countries such as Brazil and Mexico has been instrumental in overcoming factors limiting CA adoption"
299,"Apply integrated pest and diseases management","LAC Coastal Plantation Mixed","Adaptation option","Human capital","Climate-smart agriculture; Farm level","Wider application of integrated pest management"
300,"Adopt drought tolerant varieties","LAC Coastal Plantation Mixed","Adaptation option","Human capital","Research and development; Partnership required","New drought tolerant crops and breeds are being developed. For example, the generation and validation of drought tolerant maize varieties to stabilize and reduce mycotoxin damage resulting from climate change"
301,"Improve climate change awareness","LAC Coastal Plantation Mixed","Adaptation option","Human capital","Capacity building; Network dependent","Organizations such as the World Food Programme are building the capacities of communities and governments in Latin America and the Caribbean to adapt to the growing challenges of climate change."
302,"Diversify livelihoods","LAC Coastal Plantation Mixed","Adaptation option","Human capital",,
303,"Capacity building on sustainable agricultural practices","LAC Coastal Plantation Mixed","Adaptation option","Human capital",,
304,"Plant multiple varieties","LAC Coastal Plantation Mixed","Adaptation option","Human capital",,
305,"Improve networking and knowledge exchange","LAC Coastal Plantation Mixed","Adaptation option","Social capital","Capacity building; Network dependent","Big Data and the Internet of Things (IoT) have the potential to be the drivers for climate change solutions."
306,"Build capacity on advocacy","LAC Coastal Plantation Mixed","Adaptation option","Social capital",,
307,"Build climate information services","LAC Coastal Plantation Mixed","Adaptation option","Political capital ","Capacity building; Institutions and Policy; Network dependent","Provision of institutional support to diffuse information on climate change and adaptation possibilities"
308,"Develop policies for building climate change resilience","LAC Coastal Plantation Mixed","Adaptation option","Political capital ",,
309,"Develop/improve early warning systems","LAC Coastal Plantation Mixed","Adaptation option","Political capital ","Climate-smart agriculture; Community level; Policy level","Establishment of early warning systems in coastal zones and agricultural systems"
310,"Land tenure reform","LAC Coastal Plantation Mixed","Adaptation option","Political capital ",,
311,"Improve access to markets","LAC Coastal Plantation Mixed","Adaptation option","Financial capital","Institutions and policy; Policy level","Enhancement of agricultural trade"
312,"Farmers engaged in agri system","LAC Coastal Plantation Mixed","Exposure ",,,"Farmers engaged in the value chain are exposed to Climate change"
313,"Area of land used","LAC Coastal Plantation Mixed","Exposure ",,,"186 million of farm under this agri system is under threat of different climatic related hazards"
314,"Food insecurity","LAC Coastal Plantation Mixed","Risk",,"Socio economic","People living in countries with this agri system are exposed to food insecurity"
315,"Chronic poverty ","LAC Coastal Plantation Mixed","Risk",,,
316,"Loss of livelihoods ","LAC Coastal Plantation Mixed","Risk",,,
317,"Increase in drought events","LAC Dryland Mixed","Hazard","Rainfall related","Rainfall related","Widespread drought across the Latin America and the Caribbean region has had significant impact on crop yields and food production, leading to worsening food insecurity across the region."
318,"Increase in extreme heat (no. of hot days)","LAC Dryland Mixed","Hazard","Temperature related","Temperature related","In 2020, the LAC region experienced major heat  waves."
319,"Increase in average temperatures","LAC Dryland Mixed","Hazard","Temperature related","Temperature related","The increase in average temperatures is projected in the rangeof  2-6°C."
320,"Increase in average precipitation","LAC Dryland Mixed","Hazard","Rainfall related","Rainfall related","Future increases in precipitation intensity are likely to be an important aspect of climate change"
321,"Increase in dry days","LAC Dryland Mixed","Hazard","Rainfall related","Rainfall related","Parts of Central and South America  could experience up to 30 more dry days per year by the end of this century."
322,"Rising sea levels","LAC Dryland Mixed","Hazard","Rainfall related","Rainfall related","There is an overall rise in sea level projection with higher increase in locations with more  humid conditions. "
323,"Increase in tropical cyclones/hurricanes","LAC Dryland Mixed","Hazard","Maritime related","Maritime related","Hurricanes Eta and Iota reached category 4 intensity and made landfall in the region."
324,"Decrease in average precipitation","LAC Dryland Mixed","Hazard","Temperature related","Temperature related","Precipitation deficits are particularly adverse in the Caribbean region, which presents high vulnerability to drought."
325,"Increase in extreme rainfall events","LAC Dryland Mixed","Hazard","Rainfall related","Rainfall related","Some  partsof the region are faced with extreme rainfall."
326,"Soil erosion","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Soil erosion caused by deforestation.Four LAC countries have over 40% of their national territory degraded."
327,"Soil salinisation","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Salinisation  caused by rise in sea level thus introducing more salt water to the coastal fresh water. It influences the livestock production."
328,"Increase in soil water deficit","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Increase in soil water deficit due to prolonged drought events in the region."
329,"Reduced crop productivity/failure","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Reduced Crop productivity due to poor soil quality and low input use in the region."
330,"Land degradation","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Land degradation caused by greater poverty and pressure due to the increasing population"
331,"Livestock mortalities","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Heat stress in livestock increases mortality rates affecting animal reproduction, and reduces animal intake  and  milk  production in  the  case  of  cattle "
332,"Damage to infrastructure","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Poor infrastructural development in the marginal dryland systems leading  to poor economic growth in the region."
333,"Increase in heat stress","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Heat waves are projected to increase under climate change directly affects livestock and its productivity."
334,"Reduced livestock productivity","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Livestock production will be affected by climate change through competition for natural resources, quantity and quality of feeds, livestock diseases, heat stress and biodiversity loss."
335,"Delays in transportation","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Delays in transportation due to unsurfaced roads infrastructure. "
336,"unpredictable planting period","LAC Dryland Mixed","Impact","Biophysical","Biophysical",
337,"water scarcity","LAC Dryland Mixed","Impact","Biophysical","Biophysical",
338,"Increased flooding","LAC Dryland Mixed","Impact","Biophysical","Biophysical",
339,"Leaching of soil nutrients","LAC Dryland Mixed","Impact","Biophysical","Biophysical",
340,"Increase in diseases","LAC Dryland Mixed","Impact","Biophysical","Biophysical",
341,"Increase in invasive plant species","LAC Dryland Mixed","Impact","Biophysical","Biophysical",
342,"Shorter growing season","LAC Dryland Mixed","Impact","Biophysical","Biophysical","Shorter gowing season due to increase number of dry days."
343,"Waterlogging","LAC Dryland Mixed","Impact","Biophysical",,
344,"Crop stress/damage/mortality","LAC Dryland Mixed","Impact","Biophysical",,
345,"Landslide events","LAC Dryland Mixed","Impact","Biophysical",,
346,"Desertification","LAC Dryland Mixed","Impact","Biophysical","Biophysical",
347,"Increase in food insecurity","LAC Dryland Mixed","Impact","Socioeconomic","Socioeconomic","In Latin America and the Caribbean during 2020, moderate or severe food insecurity affected 40.9 per cent of the population above the prevalence recorded at the world level 30.4%."
348,"Loss of income","LAC Dryland Mixed","Impact","Socioeconomic","Socioeconomic","Loss of income attributed to the fact that majority of the farmers do not use improved seeds and fertilizers leading to low yields."
349,"Increase in women's workload","LAC Dryland Mixed","Impact","Socioeconomic","Socioeconomic","Most of the farming activities is left to the wife and children, while the husband engages in off-farming activities. "
350,"Competition for resources","LAC Dryland Mixed","Impact","Socioeconomic","Socioeconomic","Competition for resources brought about by population growth overtime."
351,"Increase in food imports","LAC Dryland Mixed","Impact","Socioeconomic","Socioeconomic"," Increase in food imports leads to competion in the international markets with the local producers."
352,"Increase in migration","LAC Dryland Mixed","Impact","Socioeconomic","Socioeconomic","Low rural incomes, limited landownership, and variable climatic conditions have continued to drive migration in Brazil"
353,"Increase in poverty","LAC Dryland Mixed","Impact","Socioeconomic","Socioeconomic","Increase in rural poverty rate from 2015,with the poverty rate reaching 30.1% of the total population (185 million) and extreme poverty reaching 10.7% (66 million) in 2018."
354,"Dependence on food aid","LAC Dryland Mixed","Impact","Socioeconomic","Socioeconomic","Dependent on periodic government aid because of the marginal nature of the area and the recurren droughts faced by producers."
355,"Increase in post-harvest losses","LAC Dryland Mixed","Impact","Socioeconomic","Socioeconomic",
356,"Increase in food spoilage/wastage","LAC Dryland Mixed","Impact","Socioeconomic",,
357,"Increase in food prices","LAC Dryland Mixed","Impact","Socioeconomic","Socioeconomic",
358,"Reliance on rainfed agriculture","LAC Dryland Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Weather and environment","The agricultural sector is extremely sensitive to climate change because of its reliance on rainfed maize and other crops."
359,"Inability to interpret climate information","LAC Dryland Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity","Small scale producers in the region are vulnerable to inability to interpret climate change information."
360,"Crop is highly susceptible to pests ","LAC Dryland Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Pests and diseases","Crops especially maize is highly susceptible to attack from pest."
361,"Animal/breed is highly susceptible to diseases ","LAC Dryland Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Pests and diseases","Livestock production is vulnerable to livestock diseases such as foot and mouth disease."
362,"High poverty levels ","LAC Dryland Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Finance","Small scale producers living in the rural areas are highly vulnerable to extreme and chronic poverty In the LAC.Extreme poverty affects 31% of rural households and only 10% of urban households."
363,"Demographic pressure on land","LAC Dryland Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Ecosystem-based","Expansion of cultivation in many parts of LAC has significantly altered land covers and reduced natural vegetation . These changes are fueled by growing demand for agricultural products necessary to improve food security and generate income not only for the rural poor but also for the large-scale investors in the commercial farming sector."
364,"Poor water use efficiency and management","LAC Dryland Mixed","Vulnerability","Human capital, gender and agricultural knowledge",,
365,"Low levels of climate change awareness at the farmer level","LAC Dryland Mixed","Vulnerability","Human capital, gender and agricultural knowledge",,
366,"Crop is highly susceptible to diseases ","LAC Dryland Mixed","Vulnerability","Human capital, gender and agricultural knowledge",,
367,"Weak land tenure ","LAC Dryland Mixed","Vulnerability","Institutions and policies","Institutions and policy","Donors could work with the government, especially mexican Government to develop strategies  for improving recognition and protection of land tenure rights  of rural Mexican women."
368,"Inadequate climate information services","LAC Dryland Mixed","Vulnerability","Institutions and policies","Capacity building","Small scale farmers are vulnerable to inadequate climate information in the region."
369,"Weak land tenure and access rights for women","LAC Dryland Mixed","Vulnerability","Institutions and policies",,
370,"Low access to markets","LAC Dryland Mixed","Vulnerability","Economic, financial and markets","Governance","small-scale farmers are still among the poorest people in Latin America because of vulnerability to  lack of secure access to markets."
371,"Unstable commodity prices","LAC Dryland Mixed","Vulnerability","Economic, financial and markets","Governance","Local producers are susceptible to unstable commodity  prices due to increase in imports."
372,"Lack of willingness to invest in sustainable agricultural practices","LAC Dryland Mixed","Vulnerability","Economic, financial and markets","Governance",
373,"Lack of access to market information","LAC Dryland Mixed","Vulnerability","Economic, financial and markets","Governance",
374,"Water scarce area","LAC Dryland Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Biophysical","Productivity of Maize, cassava and livestock are hampered by recurrent droughts in the region leading to water scarcity."
375," ""High disease prevalence""","LAC Dryland Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Pests and diseases","Also, the productivity of livestock is directly affected by the climate, as  disease prevalence make the animals highly sensitive to drops in quality and quantity of feed."
376," ""High prevalence of land degradation""","LAC Dryland Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Biophysical","LAC is extremely sensitive to land degradation."
377," ""Unfavourable soil conditions""","LAC Dryland Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Biophysical","There is also high sensitivity to unfavourable soil conditions due to land degradation and deforestation."
378," ""Frequent bushfires""","LAC Dryland Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Biophysical","Catastrophic wildfires have become more frequent and impactful in Central and South America as a result of environmental stressors."
379," ""High levels of deforestation""","LAC Dryland Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Biophysical",
380,"Lack of road infrastructure","LAC Dryland Mixed","Vulnerability","Lack of capacity to cope and adapt","Infrastructure","LAC Maize and livestock small scale producers lack coping and adaptive capacity because of poor roads leading to delays in transportation to the markets."
381,"Lack of access to improved livestock breeds","LAC Dryland Mixed","Vulnerability","Lack of capacity to cope and adapt","Research and development","Adaptive capacity of small scale livestock is affected by lack of access to improved livestock breeds."
382,"High poverty levels ","LAC Dryland Mixed","Vulnerability","Lack of capacity to cope and adapt","Finance","The adaptive capacity of the LAC community is low, with 3% of the population living in extreme poverty  measured against international poverty rates."
383,"Reliance on rainfed agriculture","LAC Dryland Mixed","Vulnerability","Lack of capacity to cope and adapt","Weather and environment","The region also lacks adaptive capacity due to the over-reliance on rain fed agriculture. There is need to invest in irrigation infrastructure."
384,"Lack of access to improved crop varieties","LAC Dryland Mixed","Vulnerability","Lack of capacity to cope and adapt",,
385,"Inadequate agri research and development","LAC Dryland Mixed","Vulnerability","Lack of capacity to cope and adapt","Research and development",
386,"Lack of irrigation infrastructure ","LAC Dryland Mixed","Vulnerability","Lack of capacity to cope and adapt",,
387,"Implement reforestation practices","LAC Dryland Mixed","Adaptation option","Natural capital","Agroforestry;  Weather and environment; Community level; Policy level","34% of Mexico's land area is forested, and the average annual deforestation rate is 0.24%."
388,"Invest in road infrastructure","LAC Dryland Mixed","Adaptation option","Physical capital","Infrastructure, Partnership required","Development of of rural market-related  infrastructure  such as roads and market facilities. "
389,"Invest in irrigation infrastructure","LAC Dryland Mixed","Adaptation option","Physical capital","Technology","Small scale irrigation appropriate for small scale producers"
390,"Invest in water harvesting and storage infrastructure","LAC Dryland Mixed","Adaptation option","Physical capital","Infrastructure; Technology; Community level","The Caribbean Community Climate Change Centre (CCCCC), with the help of the United States Agency for International Development (USAID), has funded new water harvesting equipment and storage."
391,"Diversify livelihoods","LAC Dryland Mixed","Adaptation option","Human capital","Governance; Network required","Provision of alternative livelihoods i.e skills training"
392,"Implement climate smart agriculture practices","LAC Dryland Mixed","Adaptation option","Human capital",,
393,"Implement soil and water conservation practices","LAC Dryland Mixed","Adaptation option","Human capital","Conservation Agriculture; Farm level; Partnership required","The government of Mexico with donor support , has taken significant measures to improve  natural resoure management i.e incorporate the Reduction of Emission from Deforestation and Forest Degradation (REDD) into existing soil-water conservation practices."
394,"Adopt drought tolerant varieties","LAC Dryland Mixed","Adaptation option","Human capital","Technology; Partnership required","Development and dissemination of drought tolerant varieties and species "
395,"Adopt disease tolerant breeds","LAC Dryland Mixed","Adaptation option","Human capital","Technology","Disease resistant breeds should be included."
396,"Build women's  capacity ","LAC Dryland Mixed","Adaptation option","Human capital","Gender; Community level","Women participation in the labor market is a key component to help household’s cope with economic shocks."
397,"Diversify livestock ","LAC Dryland Mixed","Adaptation option","Human capital","Climate smart agriculture; Farm level","There is need to include small ruminants because they are more resilient to climate variability than cattle. Livestock diversification is germane in fostering resilience to climate  risks and thus improving the well-being outcomes of livestock farmers."
398,"Implement erosion control measures","LAC Dryland Mixed","Adaptation option","Human capital","Climate smart agriculture; Farm level; Policy level","Utilisation of legumes and fodder crops i.e  Mucuna pruriens"
399,"Improve access to modern processing technologies","LAC Dryland Mixed","Adaptation option","Human capital","Technology; Partnership required","Such as value addition technologoies for the small scale producers to be able to compete in the market."
400,"Implement agroforestry practices","LAC Dryland Mixed","Adaptation option","Human capital",,
401,"Undertake soil rehabilitation ","LAC Dryland Mixed","Adaptation option","Human capital",,
402,"Adopt disease tolerant varieties","LAC Dryland Mixed","Adaptation option","Human capital",,
403,"Improve networking and knowledge exchange","LAC Dryland Mixed","Adaptation option","Social capital","Capacity building; Networking required","Networking is vital  to sharing information on market and climate change i.e Regional Gateway for Technology Transfer and Climate Change Action(REGATTA) which incorporates  more than 4,000 users in Latin American and Caribbean (LAC) regions, enabling the exchange of crucial information for Climate Change Action(CCA)."
404,"Establish water user associations","LAC Dryland Mixed","Adaptation option","Social capital","Institutions and policy; Policy level","i.e the National Water Plan 2014-2018 that was establish in Mexico to reform and Modernize the water sector in Mexico."
405,"Policy reform","LAC Dryland Mixed","Adaptation option","Political capital ","Institutions and policy; Policy level","Enforcement of policies prohibiting the illegal seizure of lands and other natural resources."
406,"Invest in agricultural research and development","LAC Dryland Mixed","Adaptation option","Political capital ","Research and development","Proper research is needed on short season and drought tolerant crops and livestock suitable for small producers."
407,"Develop/improve early warning systems","LAC Dryland Mixed","Adaptation option","Political capital ","Climate smart agriculture; Network required","Meterological organization to develop early warning signs to climate change."
408,"Build capacity on usage of climate information","LAC Dryland Mixed","Adaptation option","Political capital ",,
409,"Improve access to agricultural extension services","LAC Dryland Mixed","Adaptation option","Political capital ",,
410,"Land tenure reform","LAC Dryland Mixed","Adaptation option","Political capital ",,
411,"Improve access to climate information services","LAC Dryland Mixed","Adaptation option","Political capital ",,
412,"Improve access to markets","LAC Dryland Mixed","Adaptation option","Financial capital","Governance; Policy level","Considerable infrastructural development needed to access markets by the rural communities."
413,"Support local value chains","LAC Dryland Mixed","Adaptation option","Financial capital","Governance; Policy level","Training local producers on the available technologies for value addition so as to be able to compete in international markets."
414,"Improve access to market information","LAC Dryland Mixed","Adaptation option","Financial capital","Governance; Partnership required","The local government should improve communication channels i.e cellular telephone networks."
415,"Farmers engaged in agri system","LAC Dryland Mixed","Exposure ",,,"About 11 million small scale farmers."
416,"Area of land used","LAC Dryland Mixed","Exposure ",,,"About 18 million hectares is used for cultivation."
417,"Chronic poverty ","LAC Dryland Mixed","Risk",,,"Half of the rural Small producers in the system live in chronic and severe poverty."
418,"Food insecurity","LAC Dryland Mixed","Risk",,,"Food insecurity in rural communities caused by crop failure,especially maize due to long dry season."
419,"Loss of livelihoods ","LAC Dryland Mixed","Risk",,,"Risk of loss of livelihood for small maize and livesock producers in Latin America and Caribbean. "
420,"Decrease in average precipitation","LAC Forest based","Hazard","Rainfall related","Rainfall related","In general, the Amazon basin is projected to be drier in the future. Rainfall decreased between 1998-2005 and 2005-2014, and the reduction occurred mostly during the wet season (October to March). By mid-century, precipitation is also expected to decrease during the dry months."
421,"Increase in average temperatures","LAC Forest based","Hazard","Temperature related","Temperature related","Across the Amazon, mean temperatures have increased and will continue to increase at rates greater than the global average. The average temperature has increased by 0.5°C since 1980, with stronger warming over the southwest and during the dry period. The annual mean temperature is projected to increase by 1.7°C to 5.3°C  by 2085. In 2016, the Amazon region recorded its warmest year since 1950."
422,"Increase in drought events","LAC Forest based","Hazard","Rainfall related","Rainfall related","The El Niño/Southern Oscillation (ENSO) drives much of the climate variability in the Amazon. In the northern areas, there is projected to be an increase in the number of dry days and drought frequency. In the southern areas, increased agricultural and ecological drought are projected for the mid-21st century (for 2°C of global warming level and above). The Amazon has experienced three significant 'mega-droughts' over the last 20 years (2005, 2010, 2015-2016). Previous mega-droughts were recorded in 1925–1926, 1982– 1983, and 1997–1998 due to El Niño. Climate change and global warming could lead to permanent El Niño-like conditions, increasing the incidence of drought in the Amazon."
423,"Increase in extreme rainfall events","LAC Forest based","Hazard","Rainfall related","Rainfall related","The intensity and frequency of extreme precipitation and associated flooding are projected to increase (for 2°C of global warming level and above). Rising temperatures lead to enhanced evaporation from surface water bodies and increased evapotranspiration contributing to a more vigorous water cycle."
424,"Increase in extreme heat (no. of hot days)","LAC Forest based","Hazard","Temperature related","Temperature related","In the Amazon basin, it is projected that the number of days per year with maximum temperatures exceeding 35°C will increase by more than 150 days by the end of the 21st century under the SSP5-8.5 scenario. Under the SSP1-2.6 scenario, the temperature exceedance is expected to increase by less than 60 days."
425,"Increased incidence of forest fires","LAC Forest based","Impact","Biophysical","Biophysical","Increases in drought and aridity will contribute to increases in wild forest fires which pose a significant threat to the Amazon forest."
426,"Increased flooding","LAC Forest based","Impact","Biophysical","Biophysical","The intensity and frequency of extreme precipitation and pluvial flooding is projected to increase (for a 2°C of global warming level and above). Mega-floods were recorded in 2009, 2012 and 2014."
427,"Water scarcity","LAC Forest based","Impact","Biophysical","Biophysical","Decreased rainfall, increased temperatures and drought will contribute to water scarcity. It is projected that  river flow and runoff in the northernmost region of the Amazon, and in Brazil near the river mouth, will decrease by 2045-2065."
428,"Reduced crop productivity/failure","LAC Forest based","Impact","Biophysical","Biophysical","Projected warmer temperatures and changes in precipitation will adversely impact the agricultural sector (including plantations) in the Amazon. Impacts on subsistence farming are expected to be significant. "
429,"Increase in pests ","LAC Forest based","Impact","Biophysical","Biophysical; Pests and diseases","Increased aridity, higher temperatures and changing rainfall patterns can lead to outbreaks of agricultural pests."
430,"Increase in heat stress","LAC Forest based","Impact","Biophysical","Biophysical","Extreme temperatures lead to an increase in heat stress and reduced feed intake in cattle. "
431,"Crop stress/damage/mortality","LAC Forest based","Impact","Biophysical","Biophysical","Increases in drought and aridity contribute to increases in wild forest fires which can result in crop damage and or loss."
432,"Livestock mortalities","LAC Forest based","Impact","Biophysical","Biophysical","Increases in drought and aridity contribute to increases in wild forest fires which can result in livestock fatalities."
433,"Increase in deforestation/land clearing","LAC Forest based","Impact","Biophysical","Biophysical","As agricultural yields decrease due to climate change, farmers in the Amazon basin are likely to expand cultivated areas to meet food demands, in turn increasing the rate of deforestation and accelerating a positive feedback loop of climate change impacts."
434,"Reduced fodder availability","LAC Forest based","Impact","Biophysical","Biophysical","Higher temperatures and increases in drought events are expected to result in a decrease in fodder availability. "
435,"Damage to infrastructure","LAC Forest based","Impact","Biophysical","Biophysical; Infrastructure","Increased flooding may damage transportation infrastructure, such as road networks, within the region."
436,"Reduced livestock productivity","LAC Forest based","Impact","Biophysical","Biophysical","Climate change impacts of heat stress, water scarcity and reduced fodder availability are likely to reduce livestock productivity in the Amazon basin."
437,"Land degradation","LAC Forest based","Impact","Biophysical","Biophysical","Land degradation is a decline in land condition due to direct or indirect human-induced processes including anthropogenic climate change. Land-use change and unsustainable land management practices are direct human drivers of land degradation. Climate change enhances the rate and magnitude of land degradation processes. The Amazon Basin is undergoing extensive environmental degradation as a result of deforestation and increasing incidences of fires. Forest degradation is land degradation that takes place in forested areas. "
438,"Competition for resources","LAC Forest based","Impact","Socioeconomic","Socioeconomic","As agricultural yields decrease due to climate change, farmers in the Amazon basin are likely to expand cultivated areas, increasing competition for resources with other subsistence farmers, plantation and beef producers."
439,"Increase in food insecurity","LAC Forest based","Impact","Socioeconomic","Socioeconomic","A decrease in crop productivity due to climate change will enhance food insecurity in subsistence farmers."
440,"Low adoption of sustainable agricultural practices","LAC Forest based","Impact","Socioeconomic","Socioeconomic","Existing land tenure systems and failed policies (i.e. the corruption or mismanagement of the forestry sector) are key drivers of unsustainable land use practices in the Amazon Basin. Public lands are typically not valued in the same manner as private lands, as the cost of public resource use is not incurred by the individual. These land management systems tend to result in resource overexploitation. "
441,"Loss of income","LAC Forest based","Impact","Socioeconomic","Socioeconomic","Negative impacts of climate change on agricultural productivity in the Amazon Basin contribute to a loss of income for smallholder farmers. "
442,"Lack of willingness to invest in sustainable agricultural practices","LAC Forest based","Impact","Socioeconomic","Socioeconomic","Weak agricultural policy and land tenure can affect farmers' willingness to invest in sustainable land use practices. "
443,"Increase in poverty","LAC Forest based","Impact","Socioeconomic","Socioeconomic","In most Amazonian municipalities, poverty rates are well above national averages. As the vast majority of people living in rural areas of the Amazon are poor smallholder farmers, losses in income incurred as a result of climate change will force them further into poverty."
444,"Limited access to modern technologies","LAC Forest based","Impact","Socioeconomic","Socioeconomic","Smallholder farmers in remote areas of the Amazon Basin have limited access to modern technologies. "
445,"Limited access to markets","LAC Forest based","Impact","Socioeconomic","Socioeconomic","In remote areas of the Amazon Basin, smallholder farmers lack access to markets due to inadequate transport infrastructure."
446,"Unsustainable land management practices","LAC Forest based","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity","Monoculture cropping (e.g. soya and oil palm) results in a loss of biodiversity and changes in landscape structure that affect the provision of ecosystem services, increase pest outbreaks and reduce soil quality. "
