"Label","Type","Type-2"
"Food insecurity","LAC Dryland Mixed",""
"Loss of livelihoods ","LAC Dryland Mixed",""
"Decrease in average precipitation","LAC Forest based","Rainfall related"
"Increase in average temperatures","LAC Forest based","Temperature related"
"Increase in drought events","LAC Forest based","Rainfall related"
"Increase in extreme rainfall events","LAC Forest based","Rainfall related"
"Increase in extreme heat (no. of hot days)","LAC Forest based","Temperature related"
"Increased incidence of forest fires","LAC Forest based","Biophysical"
"Increased flooding","LAC Forest based","Biophysical"
"Water scarcity","LAC Forest based","Biophysical"
"Reduced crop productivity/failure","LAC Forest based","Biophysical"
"Increase in pests ","LAC Forest based","Biophysical"
"Increase in heat stress","LAC Forest based","Biophysical"
"Crop stress/damage/mortality","LAC Forest based","Biophysical"
"Livestock mortalities","LAC Forest based","Biophysical"
"Increase in deforestation/land clearing","LAC Forest based","Biophysical"
"Reduced fodder availability","LAC Forest based","Biophysical"
"Damage to infrastructure","LAC Forest based","Biophysical"
"Reduced livestock productivity","LAC Forest based","Biophysical"
"Land degradation","LAC Forest based","Biophysical"
"Competition for resources","LAC Forest based","Socioeconomic"
"Increase in food insecurity","LAC Forest based","Socioeconomic"
"Low adoption of sustainable agricultural practices","LAC Forest based","Socioeconomic"
"Loss of income","LAC Forest based","Socioeconomic"
"Lack of willingness to invest in sustainable agricultural practices","LAC Forest based","Socioeconomic"
"Increase in poverty","LAC Forest based","Socioeconomic"
"Limited access to modern technologies","LAC Forest based","Socioeconomic"
"Limited access to markets","LAC Forest based","Socioeconomic"
"Unsustainable land management practices","LAC Forest based","Human capital, gender and agricultural knowledge"
"Unsustainable livestock management systems","LAC Forest based","Human capital, gender and agricultural knowledge"
"Weak land tenure ","LAC Forest based","Institutions and policies"
"Lack of coordination between national and local levels of government","LAC Forest based","Institutions and policies"
"Policy promotes unsustainable land use ","LAC Forest based","Institutions and policies"
"Low access to credit","LAC Forest based","Economic, financial and markets"
"Lack of incentives for sustainable production","LAC Forest based","Economic, financial and markets"
"High levels of deforestation","LAC Forest based","Sensitivity/"
"Unfavourable soil conditions","LAC Forest based","Sensitivity/"
"Frequent forest fires","LAC Forest based","Sensitivity/"
"Low access to markets","LAC Forest based","Lack of capacity to cope and adapt"
"Inadequate agri research and development","LAC Forest based","Lack of capacity to cope and adapt"
"Low access to agricultural extension services","LAC Forest based","Lack of capacity to cope and adapt"
"Invest in road infrastructure","LAC Forest based","Physical capital"
"Implement agroforestry practices","LAC Forest based","Human capital"
"Implement climate smart agriculture practices","LAC Forest based","Human capital"
"Diversify to horticulture","LAC Forest based","Human capital"
"Invest in agricultural research and development","LAC Forest based","Human capital"
"Capacity building on sustainable agricultural practices","LAC Forest based","Human capital"
"Improve networking and knowledge exchange","LAC Forest based","Social capital"
"Policy reform","LAC Forest based","Political capital "
"Land tenure reform","LAC Forest based","Political capital "
"Devolve forest conservation and management","LAC Forest based","Political capital "
"Improve access to agricultural extension services","LAC Forest based","Political capital "
"Establish payment for ecosystem services schemes","LAC Forest based","Financial capital"
"Improve access to credit","LAC Forest based","Financial capital"
"Improve access to markets","LAC Forest based","Financial capital"
"Farmers engaged in agri system","LAC Forest based",""
"Loss of livelihoods ","LAC Forest based",""
"Chronic poverty ","LAC Forest based",""
"Decrease in average precipitation","LAC High Altitude Mixed","Rainfall related"
"Increase in extreme rainfall events","LAC High Altitude Mixed","Rainfall related"
"Increase in frost events","LAC High Altitude Mixed","Temperature related"
"Increase in drought events","LAC High Altitude Mixed","Temperature related"
"Increase in heavy snowfall events","LAC High Altitude Mixed","Season related"
"Increasingly erratic rainfall","LAC High Altitude Mixed","Rainfall related"
"Rising sea levels","LAC High Altitude Mixed","Temperature related"
"Increase in average temperatures","LAC High Altitude Mixed","Temperature related"
"Increase in cold spells (no. of cold days)","LAC High Altitude Mixed","Temperature related"
"Increase in dry days","LAC High Altitude Mixed","Rainfall related"
"Increase in tropical cyclones/hurricanes","LAC High Altitude Mixed","Rainfall related"
"Increased flooding","LAC High Altitude Mixed","Biophysical"
"Flash floods","LAC High Altitude Mixed","Biophysical"
"Landslide events","LAC High Altitude Mixed","Biophysical"
"Reduced livestock productivity","LAC High Altitude Mixed","Biophysical"
"Reduced crop productivity/failure","LAC High Altitude Mixed","Biophysical"
"Emergence of new pests","LAC High Altitude Mixed","Biophysical"
"Shorter growing season","LAC High Altitude Mixed","Biophysical"
"Desertification","LAC High Altitude Mixed","Biophysical"
"Water scarcity","LAC High Altitude Mixed","Biophysical"
"Crop stress/damage/mortality","LAC High Altitude Mixed","Biophysical"
"Shift in growing season","LAC High Altitude Mixed","Biophysical"
"Elevation loss","LAC High Altitude Mixed","Biophysical"
"Leaching of soil nutrients","LAC High Altitude Mixed","Biophysical"
"Damage to infrastructure","LAC High Altitude Mixed","Biophysical"
"Change in production zone suitability","LAC High Altitude Mixed","Biophysical"
"Increase in soil water deficit","LAC High Altitude Mixed","Biophysical"
"Livestock mortalities","LAC High Altitude Mixed","Biophysical"
"Unpredictable planting period","LAC High Altitude Mixed","Biophysical"
"Increase in food insecurity","LAC High Altitude Mixed","Socioeconomic"
"Loss of income","LAC High Altitude Mixed","Socioeconomic"
"Increase in migration","LAC High Altitude Mixed","Socioeconomic"
"Increase in poverty","LAC High Altitude Mixed","Socioeconomic"
"Dependence on food aid","LAC High Altitude Mixed","Socioeconomic"
"Lack of willingness to invest in sustainable agricultural practices","LAC High Altitude Mixed","Socioeconomic"
"Increase in food spoilage/wastage","LAC High Altitude Mixed","Socioeconomic"
"Increase in food prices","LAC High Altitude Mixed","Socioeconomic"
"Competition for resources","LAC High Altitude Mixed","Socioeconomic"
"Reliance on rainfed agriculture","LAC High Altitude Mixed","Human capital, gender and agricultural knowledge"
"High poverty levels ","LAC High Altitude Mixed","Human capital, gender and agricultural knowledge"
"Crop is highly susceptible to pests ","LAC High Altitude Mixed","Human capital, gender and agricultural knowledge"
"Poor water use efficiency and management","LAC High Altitude Mixed","Human capital, gender and agricultural knowledge"
"Predominantly small-scale subsistence farming","LAC High Altitude Mixed","Human capital, gender and agricultural knowledge"
"Unsustainable natural resource use","LAC High Altitude Mixed","Human capital, gender and agricultural knowledge"
"Weak land tenure and access rights for women","LAC High Altitude Mixed","Institutions and policies"
"Inadequate climate information services","LAC High Altitude Mixed","Institutions and policies"
"Inconsistencies in policy implementation","LAC High Altitude Mixed","Institutions and policies"
"Lack of access to risk insurance","LAC High Altitude Mixed","Economic, financial and markets"
"Low access to markets","LAC High Altitude Mixed","Economic, financial and markets"
"High prevalence of land degradation","LAC High Altitude Mixed","Sensitivity/"
"Unfavourable soil conditions","LAC High Altitude Mixed","Sensitivity/"
"Low access to credit","LAC High Altitude Mixed","Lack of capacity to cope and adapt"
"Low level of education","LAC High Altitude Mixed","Lack of capacity to cope and adapt"
"Lack of road infrastructure","LAC High Altitude Mixed","Lack of capacity to cope and adapt"
"High poverty levels ","LAC High Altitude Mixed","Lack of capacity to cope and adapt"
"Unequal opportunities for women ","LAC High Altitude Mixed","Lack of capacity to cope and adapt"
"Demographic pressure on land","LAC High Altitude Mixed","Lack of capacity to cope and adapt"
"Lack of access to improved crop varieties","LAC High Altitude Mixed","Lack of capacity to cope and adapt"
"Lack of irrigation infrastructure ","LAC High Altitude Mixed","Lack of capacity to cope and adapt"
"Implement reforestation practices","LAC High Altitude Mixed","Natural capital"
"Invest in irrigation infrastructure","LAC High Altitude Mixed","Physical capital"
"Invest in water harvesting and storage infrastructure","LAC High Altitude Mixed","Physical capital"
"Capacity building on sustainable agricultural practices","LAC High Altitude Mixed","Human capital"
"Diversify livelihoods","LAC High Altitude Mixed","Human capital"
"Implement efficient water management","LAC High Altitude Mixed","Human capital"
"Apply integrated pest and diseases management","LAC High Altitude Mixed","Human capital"
"Implement agroforestry practices","LAC High Altitude Mixed","Human capital"
"Build women's  capacity ","LAC High Altitude Mixed","Human capital"
"Undertake soil rehabilitation ","LAC High Altitude Mixed","Human capital"
"Adopt drought tolerant varieties","LAC High Altitude Mixed","Human capital"
"Improve networking and knowledge exchange","LAC High Altitude Mixed","Social capital"
"Increase awareness of gender equality ","LAC High Altitude Mixed","Political capital "
"Develop policies for building climate change resilience","LAC High Altitude Mixed","Political capital "
"Implement disaster recovery strategies","LAC High Altitude Mixed","Political capital "
"Improve access to climate information services","LAC High Altitude Mixed","Political capital "
"Improve access to risk insurance schemes","LAC High Altitude Mixed","Financial capital"
"Establish payment for ecosystem services schemes","LAC High Altitude Mixed","Financial capital"
"Improve access to markets","LAC High Altitude Mixed","Financial capital"
"Farmers engaged in agri system","LAC High Altitude Mixed",""
"Area of land used","LAC High Altitude Mixed",""
"Food insecurity","LAC High Altitude Mixed",""
"Loss of livelihoods ","LAC High Altitude Mixed",""
"Chronic poverty ","LAC High Altitude Mixed",""
"Increase in drought events","LAC Irrigated","Rainfall related"
"Decrease in average precipitation","LAC Irrigated","Rainfall related"
"Increase in average temperatures","LAC Irrigated","Temperature related"
"Increase in extreme heat (no. of hot days)","LAC Irrigated","Temperature related"
"Increase in extreme rainfall events","LAC Irrigated","Rainfall related"
"Rising sea levels","LAC Irrigated","Maritime related"
"Decrease in snowfall","LAC Irrigated","Temperature related"
"Reduced crop productivity/failure","LAC Irrigated","Biophysical"
"Increase in pests ","LAC Irrigated","Biophysical"
"Increased flooding","LAC Irrigated","Biophysical"
"Increase in diseases","LAC Irrigated","Biophysical"
"Soil salinisation","LAC Irrigated","Biophysical"
"Saline intrusion","LAC Irrigated","Biophysical"
"Reduced produce quality","LAC Irrigated","Biophysical"
"Reduced livestock productivity","LAC Irrigated","Biophysical"
"Reduced fodder availability","LAC Irrigated","Biophysical"
"Reduced forage availability","LAC Irrigated","Biophysical"
"Land degradation","LAC Irrigated","Biophysical"
"Limited water available for irrigation","LAC Irrigated","Biophysical"
"Water scarcity","LAC Irrigated","Biophysical"
"Increase in soil water deficit","LAC Irrigated","Biophysical"
"Increase in heat stress","LAC Irrigated","Biophysical"
"Reduced groundwater tables","LAC Irrigated","Biophysical"
"Increase in food insecurity","LAC Irrigated","Socioeconomic"
"Loss of income","LAC Irrigated","Socioeconomic"
"Increase in poverty","LAC Irrigated","Socioeconomic"
"Lack of willingness to invest in sustainable agricultural practices","LAC Irrigated","Socioeconomic"
"Weak land tenure and access rights for women","LAC Irrigated","Institutions and policies"
"Inadequate regulation of water resources","LAC Irrigated","Institutions and policies"
"Unequal opportunities for women ","LAC Irrigated","Human capital, gender and agricultural knowledge"
"Inadequate climate information services","LAC Irrigated","Institutions and policies"
"Weak land tenure ","LAC Irrigated","Institutions and policies"
"Low access to credit","LAC Irrigated","Economic, financial and markets"
"Water scarce area","LAC Irrigated","Sensitivity/"
"Limited uptake of modern technologies","LAC Irrigated","Human capital, gender and agricultural knowledge"
"Poor water use efficiency and management","LAC Irrigated","Human capital, gender and agricultural knowledge"
"Unsustainable land management practices","LAC Irrigated","Human capital, gender and agricultural knowledge"
"High demand for irrigation water","LAC Irrigated","Human capital, gender and agricultural knowledge"
"Invest in water harvesting and storage infrastructure","LAC Irrigated","Physical capital"
"Invest in agricultural research and development","LAC Irrigated","Human capital"
"Implement efficient water management","LAC Irrigated","Human capital"
"Implement water conservation irrigation","LAC Irrigated","Human capital"
"Implement climate smart agriculture practices","LAC Irrigated","Human capital"
"Build capacity on water use efficiency","LAC Irrigated","Human capital"
"Establish water user associations","LAC Irrigated","Social capital"
"Improve networking and knowledge exchange","LAC Irrigated","Social capital"
"Land tenure reform","LAC Irrigated","Political capital "
"Improve regulation of groundwater extraction","LAC Irrigated","Political capital "
"Incentivise sustainable natural resource use","LAC Irrigated","Political capital "
"Build climate information services","LAC Irrigated","Political capital "
"Develop policies for building climate change resilience","LAC Irrigated","Political capital "
"Improve access to credit","LAC Irrigated","Financial capital"
"Farmers engaged in agri system","LAC Irrigated",""
"Food insecurity","LAC Irrigated",""
"Loss of livelihoods ","LAC Irrigated",""
"Increase in average temperatures","LAC Maize-beans","Temperature related"
"Decrease in average precipitation","LAC Maize-beans","Rainfall related"
"Increase in drought events","LAC Maize-beans","Rainfall related"
"Increase in extreme rainfall events","LAC Maize-beans","Rainfall related"
"Increase in tropical cyclones/hurricanes","LAC Maize-beans","Rainfall related"
"Increasingly erratic rainfall","LAC Maize-beans","Rainfall related"
"Increased flooding","LAC Maize-beans","Biophysical"
"Increase in pests ","LAC Maize-beans","Biophysical"
"Increase in diseases","LAC Maize-beans","Biophysical"
"Increase in soil water deficit","LAC Maize-beans","Biophysical"
"Reduced crop productivity/failure","LAC Maize-beans","Biophysical"
"Damage to infrastructure","LAC Maize-beans","Biophysical"
"Crop stress/damage/mortality","LAC Maize-beans","Biophysical"
"Reduced produce quality","LAC Maize-beans","Biophysical"
"Unpredictable planting period","LAC Maize-beans","Biophysical"
"Water scarcity","LAC Maize-beans","Biophysical"
"Increase in heat stress","LAC Maize-beans","Biophysical"
"Change in production zone suitability","LAC Maize-beans","Biophysical"
"Increase in food insecurity","LAC Maize-beans","Socioeconomic"
"Loss of income","LAC Maize-beans","Socioeconomic"
"Increase in migration","LAC Maize-beans","Socioeconomic"
"Reduced post-harvest processing","LAC Maize-beans","Socioeconomic"
"Lack of willingness to invest in sustainable agricultural practices","LAC Maize-beans","Socioeconomic"
"Increase in poverty","LAC Maize-beans","Socioeconomic"
"Limited access to markets","LAC Maize-beans","Socioeconomic"
"Dependence on food aid","LAC Maize-beans","Socioeconomic"
"Low awareness of climate change","LAC Maize-beans","Human capital, gender and agricultural knowledge"
"Weak land tenure ","LAC Maize-beans","Institutions and policies"
"Inadequate climate information services","LAC Maize-beans","Institutions and policies"
"Low access to credit","LAC Maize-beans","Economic, financial and markets"
"Large contributor to national/regional GDP","LAC Maize-beans","Economic, financial and markets"
"High levels of deforestation","LAC Maize-beans","Sensitivity/"
"Water scarce area","LAC Maize-beans","Sensitivity/"
"Unfavourable soil conditions","LAC Maize-beans","Sensitivity/"
"Unsuitable crop varieties","LAC Maize-beans","Sensitivity/"
"Low level of education","LAC Maize-beans","Lack of capacity to cope and adapt"
"Low access to agricultural extension services","LAC Maize-beans","Lack of capacity to cope and adapt"
"Small farm size","LAC Maize-beans","Lack of capacity to cope and adapt"
"Lack of road infrastructure","LAC Maize-beans","Lack of capacity to cope and adapt"
"Lack of irrigation infrastructure ","LAC Maize-beans","Lack of capacity to cope and adapt"
"Low access to markets","LAC Maize-beans","Lack of capacity to cope and adapt"
"Major component of local diet","LAC Maize-beans","Lack of capacity to cope and adapt"
"Limited uptake of modern technologies","LAC Maize-beans","Lack of capacity to cope and adapt"
"Reliance on rainfed agriculture","LAC Maize-beans","Human capital, gender and agricultural knowledge"
"High poverty levels ","LAC Maize-beans","Human capital, gender and agricultural knowledge"
"Dependent on a single crop type","LAC Maize-beans","Human capital, gender and agricultural knowledge"
"Crop is highly susceptible to pests ","LAC Maize-beans","Human capital, gender and agricultural knowledge"
"Crop is highly susceptible to diseases ","LAC Maize-beans","Human capital, gender and agricultural knowledge"
"Lack of access to  inputs ","LAC Maize-beans","Lack of capacity to cope and adapt"
"Invest in water harvesting and storage infrastructure","LAC Maize-beans","Physical capital"
"Implement soil and water conservation practices","LAC Maize-beans","Human capital"
"Plant multiple crop types","LAC Maize-beans","Human capital"
"Adjust crop calendar","LAC Maize-beans","Human capital"
"Adopt drought tolerant varieties","LAC Maize-beans","Human capital"
"Adopt heat tolerant varieties","LAC Maize-beans","Human capital"
"Adopt pest tolerant varieties","LAC Maize-beans","Human capital"
"Adopt disease tolerant breeds","LAC Maize-beans","Human capital"
"Implement agroforestry practices","LAC Maize-beans","Human capital"
"Diversify to livestock value chains","LAC Maize-beans","Human capital"
"Diversify livelihoods","LAC Maize-beans","Human capital"
"Implement conservation agriculture practices","LAC Maize-beans","Human capital"
"Apply integrated pest and diseases management","LAC Maize-beans","Human capital"
"Adopt disease tolerant varieties","LAC Maize-beans","Human capital"
"Improve networking and knowledge exchange","LAC Maize-beans","Social capital"
"Establish farmer organisations","LAC Maize-beans","Social capital"
"Establish water user associations","LAC Maize-beans","Social capital"
"Roll out climate change awareness campaigns","LAC Maize-beans","Political capital "
"Invest in agricultural research and development","LAC Maize-beans","Political capital "
"Policy reform","LAC Maize-beans","Political capital "
"Build climate information services","LAC Maize-beans","Political capital "
"Improve access to agricultural extension services","LAC Maize-beans","Political capital "
"Improve access to credit","LAC Maize-beans","Financial capital"
"Establish payment for ecosystem services schemes","LAC Maize-beans","Financial capital"
"Improve access to input/output markets","LAC Maize-beans","Financial capital"
"Farmers engaged in agri system","LAC Maize-beans",""
"Chronic poverty ","LAC Maize-beans",""
"Increase in drought events","MENA Dryland Mixed","Rainfall related"
"Rising sea levels","MENA Dryland Mixed","Maritime related"
"Decrease in average precipitation","MENA Dryland Mixed","Rainfall related"
"Increase in extreme heat (no. of hot days)","MENA Dryland Mixed","Temperature related"
"Increase in average temperatures","MENA Dryland Mixed","Temperature related"
"Reduced crop productivity/failure","MENA Dryland Mixed","Biophysical"
"Increase in pests ","MENA Dryland Mixed","Biophysical"
"Increase in diseases","MENA Dryland Mixed","Biophysical"
"Desertification","MENA Dryland Mixed","Biophysical"
"Change in production zone suitability","MENA Dryland Mixed","Biophysical"
"Increase in soil water deficit","MENA Dryland Mixed","Biophysical"
"Reduced fodder availability","MENA Dryland Mixed","Biophysical"
"Reduced availability of fresh water","MENA Dryland Mixed","Biophysical"
"Reduced forage availability","MENA Dryland Mixed","Biophysical"
"Reduced livestock productivity","MENA Dryland Mixed","Biophysical"
"Increase in heat stress","MENA Dryland Mixed","Biophysical"
"Livestock mortalities","MENA Dryland Mixed","Biophysical"
"Saline intrusion","MENA Dryland Mixed","Biophysical"
"Water scarcity","MENA Dryland Mixed","Biophysical"
"Land degradation","MENA Dryland Mixed","Biophysical"
"Shorter growing season","MENA Dryland Mixed","Biophysical"
"Increase in migration","MENA Dryland Mixed","Socioeconomic"
"Increase in food insecurity","MENA Dryland Mixed","Socioeconomic"
"Competition for resources","MENA Dryland Mixed","Socioeconomic"
"Loss of income","MENA Dryland Mixed","Socioeconomic"
"Increase in poverty","MENA Dryland Mixed","Socioeconomic"
"Low adoption of modern technology and practices","MENA Dryland Mixed","Socioeconomic"
"Unsustainable land management practices","MENA Dryland Mixed","Human capital, gender and agricultural knowledge"
"Poor livestock management","MENA Dryland Mixed","Human capital, gender and agricultural knowledge"
"Inadequate policy","MENA Dryland Mixed","Institutions and policies"
"Weak land tenure ","MENA Dryland Mixed","Institutions and policies"
"Large contributor to national/regional GDP","MENA Dryland Mixed","Economic, financial and markets"
"Low access to markets","MENA Dryland Mixed","Economic, financial and markets"
"Low access to credit","MENA Dryland Mixed","Economic, financial and markets"
"Water scarce area","MENA Dryland Mixed","Sensitivity/"
"High prevalence of land degradation","MENA Dryland Mixed","Sensitivity/"
"Unfavourable soil conditions","MENA Dryland Mixed","Sensitivity/"
"Unsuitable crop varieties","MENA Dryland Mixed","Sensitivity/"
"Major source of employment","MENA Dryland Mixed","Lack of capacity to cope and adapt"
"High poverty levels ","MENA Dryland Mixed","Lack of capacity to cope and adapt"
"Lack of access to improved crop varieties","MENA Dryland Mixed","Lack of capacity to cope and adapt"
"Reliance on rainfed agriculture","MENA Dryland Mixed","Lack of capacity to cope and adapt"
"Low access to markets","MENA Dryland Mixed","Lack of capacity to cope and adapt"
"Conflict prone area","MENA Dryland Mixed","Lack of capacity to cope and adapt"
"Limited off-farm income opportunities","MENA Dryland Mixed","Lack of capacity to cope and adapt"
"Low access to agricultural extension services","MENA Dryland Mixed","Lack of capacity to cope and adapt"
"Inadequate agri research and development","MENA Dryland Mixed","Lack of capacity to cope and adapt"
"Low level of education","MENA Dryland Mixed","Lack of capacity to cope and adapt"
"Plant trees/shrubs for windbreaks","MENA Dryland Mixed","Natural capital"
"Invest in water harvesting and storage infrastructure","MENA Dryland Mixed","Physical capital"
"Adopt drought tolerant varieties","MENA Dryland Mixed","Human capital"
"Implement conservation agriculture practices","MENA Dryland Mixed","Human capital"
"Improve veterinary care","MENA Dryland Mixed","Human capital"
"Adopt hardy livestock breeds","MENA Dryland Mixed","Human capital"
"Undertake crop rotation","MENA Dryland Mixed","Human capital"
"Plant multiple crop types","MENA Dryland Mixed","Human capital"
"Provide incentives for sustainable land management practices","MENA Dryland Mixed","Human capital"
"Adopt disease tolerant varieties","MENA Dryland Mixed","Human capital"
"Implement efficient water management","MENA Dryland Mixed","Human capital"
"Land tenure reform","MENA Dryland Mixed","Political capital "
"Invest in agricultural research and development","MENA Dryland Mixed","Political capital "
"Policy reform","MENA Dryland Mixed","Political capital "
"Develop policies for building climate change resilience","MENA Dryland Mixed","Political capital "
"Improve access to agricultural extension services","MENA Dryland Mixed","Political capital "
"Improve opportunities for off-farm income generation","MENA Dryland Mixed","Financial capital"
"Farmers engaged in agri system","MENA Dryland Mixed",""
"Loss of livelihoods ","MENA Dryland Mixed",""
"Food insecurity","MENA Dryland Mixed",""
"Chronic poverty ","MENA Dryland Mixed",""
"Decrease in average precipitation","MENA Highland Mixed","Rainfall related"
"Increase in extreme rainfall events","MENA Highland Mixed","Rainfall related"
"Increase in average temperatures","MENA Highland Mixed","Temperature related"
"Increase in average precipitation","MENA Highland Mixed","Rainfall related"
"Increase in drought events","MENA Highland Mixed","Rainfall related"
"Increase in strong winds","MENA Highland Mixed","Wind related"
"Rising sea levels","MENA Highland Mixed","Maritime related"
"Increasingly erratic rainfall","MENA Highland Mixed","Maritime related"
"Soil erosion","MENA Highland Mixed","Biophysical"
"Reduced water quality","MENA Highland Mixed","Biophysical"
"Water scarcity","MENA Highland Mixed","Biophysical"
"Land degradation","MENA Highland Mixed","Biophysical"
"Reduced crop productivity/failure","MENA Highland Mixed","Biophysical"
"Reduced groundwater tables","MENA Highland Mixed","Biophysical"
"Unpredictable planting period","MENA Highland Mixed","Biophysical"
"Desertification","MENA Highland Mixed","Biophysical"
"Increased flooding","MENA Highland Mixed","Biophysical"
"Change in production zone suitability","MENA Highland Mixed","Biophysical"
"Damage to infrastructure","MENA Highland Mixed","Biophysical"
"Livestock mortalities","MENA Highland Mixed","Biophysical"
"Soil salinisation","MENA Highland Mixed","Biophysical"
"Coastal inundation","MENA Highland Mixed","Biophysical"
"Landslide events","MENA Highland Mixed","Biophysical"
"Crop stress/damage/mortality","MENA Highland Mixed","Biophysical"
"Increase in food imports","MENA Highland Mixed","Socioeconomic"
"Increase in migration","MENA Highland Mixed","Socioeconomic"
"Lack of willingness to invest in sustainable agricultural practices","MENA Highland Mixed","Socioeconomic"
"Loss of income","MENA Highland Mixed","Socioeconomic"
"Increase in food insecurity","MENA Highland Mixed","Socioeconomic"
"Food health and safety issues","MENA Highland Mixed","Socioeconomic"
"Increase in poverty","MENA Highland Mixed","Socioeconomic"
"Dependence on food aid","MENA Highland Mixed","Socioeconomic"
"Increase in malnutrition/ Reduced calorie intake","MENA Highland Mixed","Socioeconomic"
"Competition for resources","MENA Highland Mixed","Socioeconomic"
"Increase in malnutrition","MENA Highland Mixed","Socioeconomic"
"Increase in food spoilage/wastage","MENA Highland Mixed","Socioeconomic"
"Increase in post-harvest losses","MENA Highland Mixed","Socioeconomic"
"Unsustainable natural resource use","MENA Highland Mixed","Human capital, gender and agricultural knowledge"
"High poverty levels ","MENA Highland Mixed","Human capital, gender and agricultural knowledge"
"Demographic pressure on land","MENA Highland Mixed","Human capital, gender and agricultural knowledge"
"Dependent on a single crop type","MENA Highland Mixed","Human capital, gender and agricultural knowledge"
"Unsustainable land management practices","MENA Highland Mixed","Human capital, gender and agricultural knowledge"
"Dependence on groundwater","MENA Highland Mixed","Human capital, gender and agricultural knowledge"
"Reliance on rainfed agriculture","MENA Highland Mixed","Human capital, gender and agricultural knowledge"
"Poor water use efficiency and management","MENA Highland Mixed","Human capital, gender and agricultural knowledge"
"Weak land tenure ","MENA Highland Mixed","Institutions and policies"
"Conflict prone area","MENA Highland Mixed","Institutions and policies"
"Weak land tenure and access rights for women","MENA Highland Mixed","Institutions and policies"
"Low access to markets","MENA Highland Mixed","Economic, financial and markets"
"Low access to credit","MENA Highland Mixed","Economic, financial and markets"
"Barriers to trade","MENA Highland Mixed","Economic, financial and markets"
"Unstable commodity prices","MENA Highland Mixed","Economic, financial and markets"
"High prevalence of land degradation","MENA Highland Mixed","Sensitivity/"
"Unfavourable soil conditions","MENA Highland Mixed","Sensitivity/"
"Water scarce area","MENA Highland Mixed","Sensitivity/"
"Predominantly small-scale subsistence farming","MENA Highland Mixed","Lack of capacity to cope and adapt"
"Low access to markets","MENA Highland Mixed","Lack of capacity to cope and adapt"
"Low access to agricultural extension services","MENA Highland Mixed","Lack of capacity to cope and adapt"
"Lack of irrigation infrastructure ","MENA Highland Mixed","Lack of capacity to cope and adapt"
"High illiteracy rates ","MENA Highland Mixed","Lack of capacity to cope and adapt"
"Weak land tenure and access rights, particularly for women","MENA Highland Mixed","Lack of capacity to cope and adapt"
"Inadequate agri research and development","MENA Highland Mixed","Lack of capacity to cope and adapt"
"Implement reforestation practices","MENA Highland Mixed","Natural capital"
"Invest in road infrastructure","MENA Highland Mixed","Physical capital"
"Invest in water harvesting and storage infrastructure","MENA Highland Mixed","Physical capital"
"Implement efficient water management","MENA Highland Mixed","Human capital"
"Diversify livelihoods","MENA Highland Mixed","Human capital"
"Adopt drought tolerant varieties","MENA Highland Mixed","Human capital"
"Capacity building on sustainable agricultural practices","MENA Highland Mixed","Human capital"
"Improve networking and knowledge exchange","MENA Highland Mixed","Social capital"
"Establish farmer organisations","MENA Highland Mixed","Social capital"
"Build capacity on advocacy","MENA Highland Mixed","Social capital"
"Policy reform","MENA Highland Mixed","Political capital "
"Develop policies for building climate change resilience","MENA Highland Mixed","Political capital "
"Invest in agricultural research and development","MENA Highland Mixed","Political capital "
"Improve access to markets","MENA Highland Mixed","Financial capital"
"Diversify markets","MENA Highland Mixed","Financial capital"
"Support local value chains","MENA Highland Mixed","Financial capital"
"Improve access to credit","MENA Highland Mixed","Financial capital"
"Area of land used","MENA Highland Mixed",""
"Farmers engaged in agri system","MENA Highland Mixed",""
"Risk to farmers of chronic poverty due to Climate Change ","MENA Highland Mixed",""
"Risk to farmers of food insecurity due to Climate Change","MENA Highland Mixed",""
"Risk to farmers of loss of livelihoods due to Climate Change ","MENA Highland Mixed",""
"Increase in average temperatures","MENA Rainfed Mixed","Temperature related"
"Increase in drought events","MENA Rainfed Mixed","Rainfall related"
"Increase in tropical cyclones/hurricanes","MENA Rainfed Mixed","Wind related"
"Rising sea levels","MENA Rainfed Mixed","Maritime related"
"Shorter growing season","MENA Rainfed Mixed","Rainfall related"
"Increase in extreme heat (no. of hot days)","MENA Rainfed Mixed","Temperature related"
"Decrease in average precipitation","MENA Rainfed Mixed","Rainfall related"
"Increase in extreme rainfall events","MENA Rainfed Mixed","Rainfall related"
"Increasingly erratic rainfall","MENA Rainfed Mixed","Rainfall related"
"Soil erosion","MENA Rainfed Mixed","Biophysical"
"Change in production zone suitability","MENA Rainfed Mixed","Biophysical"
"Shorter growing seasons","MENA Rainfed Mixed","Biophysical"
"Reduced crop productivity/failure","MENA Rainfed Mixed","Biophysical"
"Reduced livestock productivity","MENA Rainfed Mixed","Biophysical"
"Reduced groundwater tables","MENA Rainfed Mixed","Biophysical"
"Desertification","MENA Rainfed Mixed","Biophysical"
"Land degradation","MENA Rainfed Mixed","Biophysical"
"Crop stress/damage/mortality","MENA Rainfed Mixed","Biophysical"
"Water scarcity","MENA Rainfed Mixed","Biophysical"
"Increased flooding","MENA Rainfed Mixed","Biophysical"
"Unpredictable planting period","MENA Rainfed Mixed","Biophysical"
"Damage to infrastructure","MENA Rainfed Mixed","Biophysical"
"Riverine flooding","MENA Rainfed Mixed","Biophysical"
"Reduced water quality","MENA Rainfed Mixed","Biophysical"
