ID,"Label","FS name",FS macro region,"Type-1","Description"
486,"Increase in tropical cyclones/hurricanes","High Altitude Mixed (C. Andes)",LAC,"Hazard",
487,"Increased flooding","High Altitude Mixed (C. Andes)",LAC,"Impact","There is an increase in flooding events due to extreme rainfall. High geographic exposure of agricultural and farming land, homes, property and assets, including physical exposure of rural and urban populations to potentially flooded areas. Urban populations are especially densely populated, rural populations are often even less protected and the poorest are the most vulnerable."
488,"Flash floods","High Altitude Mixed (C. Andes)",LAC,"Impact","Increase in frequency of floods and Changes in run-off pattern impact heavily on areas with inadequate flood protection and drainage infrastructure, Poor land management and spatial planning practices."
489,"Landslide events","High Altitude Mixed (C. Andes)",LAC,"Impact","landslide susceptibility is classified as high in the region according to the information that is currently available. This means that this area has rainfall patterns, terrain slope, geology, soil, land cover and (potentially) earthquakes that make localized landslides a frequent hazard phenomenon."
490,"Reduced livestock productivity","High Altitude Mixed (C. Andes)",LAC,"Impact","The few available studies on climate change impacts on livestock indicate that beef and dairy cattle production will decline under increasing temperatures, as heat stress is a major influenc- ing factor of cattle productivity. Sheep seem to cope better with warmer and drier conditions than cattle and pigs."
491,"Reduced crop productivity/failure","High Altitude Mixed (C. Andes)",LAC,"Impact","Short intervals of a few days above the optimum average temperature leads to strong yield decreases. There is a projected increase in occurrence of heat stress for maize, rice, and soybeans in the region  "
492,"Emergence of new pests","High Altitude Mixed (C. Andes)",LAC,"Impact","Increased temperatures have introduced pests such as the Andean potato weevil."
493,"Shorter growing season","High Altitude Mixed (C. Andes)",LAC,"Impact","over the past 30 years farmers have cultivated at increasingly higher elevations, exposing crops to shorter growing seasons and more snowstorms, floods and droughts."
494,"Desertification","High Altitude Mixed (C. Andes)",LAC,"Impact","Desertification is also a major concern in the region for example in Peru, thirty million hectares or 24 per cent of the total area are in the process of desertification and 3.8 million hectares are already desertified"
495,"Water scarcity","High Altitude Mixed (C. Andes)",LAC,"Impact",
496,"Crop stress/damage/mortality","High Altitude Mixed (C. Andes)",LAC,"Impact",
497,"Shift in growing season","High Altitude Mixed (C. Andes)",LAC,"Impact",
498,"Elevation loss","High Altitude Mixed (C. Andes)",LAC,"Impact",
499,"Leaching of soil nutrients","High Altitude Mixed (C. Andes)",LAC,"Impact",
500,"Damage to infrastructure","High Altitude Mixed (C. Andes)",LAC,"Impact",
501,"Change in production zone suitability","High Altitude Mixed (C. Andes)",LAC,"Impact",
502,"Increase in soil water deficit","High Altitude Mixed (C. Andes)",LAC,"Impact",
503,"Livestock mortalities","High Altitude Mixed (C. Andes)",LAC,"Impact",
504,"Unpredictable planting period","High Altitude Mixed (C. Andes)",LAC,"Impact",
505,"Increase in food insecurity","High Altitude Mixed (C. Andes)",LAC,"Impact","Climate hazards experienced in the central andes region impacts negatively on crop and livestock productivity and very during these episodes of flooding and droughts for example there is a decrease in yields. This threatens food security in the regon."
506,"Loss of income","High Altitude Mixed (C. Andes)",LAC,"Impact","With very little yields produced during the hazard occurrence periods, farmers have reduced income and some even change from farming to other sources of livelihood."
507,"Increase in migration","High Altitude Mixed (C. Andes)",LAC,"Impact","Migration to regions with higher elevations due to inreased temperature is rampant. Damege of infrastrucutre by tropical cyclone/hurricanes also leads to mgration."
508,"Increase in poverty","High Altitude Mixed (C. Andes)",LAC,"Impact","climate hazards in the region impede efforts to alleviate poverty. Destruction of property by floods, strong winds among other hazards exerts pressure on the already existing informal housing units. Also impacts of the hazards on agriculture which is the main economic activity is negatively affectiving the source of livelihood."
509,"Dependence on food aid","High Altitude Mixed (C. Andes)",LAC,"Impact",
510,"Lack of willingness to invest in sustainable agricultural practices","High Altitude Mixed (C. Andes)",LAC,"Impact",
511,"Increase in food spoilage/wastage","High Altitude Mixed (C. Andes)",LAC,"Impact",
512,"Increase in food prices","High Altitude Mixed (C. Andes)",LAC,"Impact",
513,"Competition for resources","High Altitude Mixed (C. Andes)",LAC,"Impact",
514,"Reliance on rainfed agriculture","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","Agriculture in the farming system is heavily dependent on rain-fed systems for both subsistence and export crops; it is therefore vulnerable to climatic variations such as droughts, changing precipitation patterns, and rising temperatures."
515,"High poverty levels ","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","Extreme events strongly affect the rural and urban poor who often reside in informal settlements in high-risk areas (e.g., flood plains and steep slopes). In 2005, the percentage of people living in informal settlements in Latin America was highest in Bolivia (50 percent). The negative effects of extreme events also affect rural communities as they strongly depend on their environment and its natural resource base."
516,"Crop is highly susceptible to pests ","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","There is emergence of new pests such as the Andean potato weevil."
517,"Poor water use efficiency and management","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","The farming system s faced with poor water use effeciency and management with very little conservation efforts going on."
518,"Predominantly small-scale subsistence farming","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","Agricultural production in Peru is largely characterized by smallholder farming, with 80 per cent of farmers in Peru practicing subsistence farming"
519,"Unsustainable natural resource use","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","The livelihood of a large population of communites in the cenral andes region is largely dependant on the natural resource base and this is impacting on the quality of reosurces such as water and soil. Unsustainable agricultural practices is also a challenge."
520,"Weak land tenure and access rights for women","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","In the central andes region, small scale subsistence farming is common throughout and land is predominantly controlled by men limiting women to access rights and resources for inputs leaving them extremely vulnerable."
521,"Inadequate climate information services","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","There is still a lot that could be done to improve the reliability of climate information for the design of appropriate climate change adaptation strategies in the farming system.  However, In Peru and the Andean region, the importance of user-tailored climate services is recognized, but this requires better quality climate observations and more expert meteorologists and climatologists"
522,"Inconsistencies in policy implementation","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","Coordinated efforts between the various stakeholders in implementing climate policies is strongly needed to contiue with the current adaptation strategies nd interventions."
523,"Lack of access to risk insurance","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","Climate hazards are impacting on agriculture in the farning systems increasing povery levels. Lack of access to risk insurance further increase the poverty levels due to loss of income"
524,"Low access to markets","High Altitude Mixed (C. Andes)",LAC,"Vulnerability",
525,"High prevalence of land degradation","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","The region si sebsitive ansd susceptible to land degradation epecially agricultural communities are most vulnerable.  Factors such as lack of good land management (both the land itself (pasture and agriculture) and the management of livestock) expose the region largely. For example, poor Infrastructure and general environment in steep erosion-prone areas increases erosion and soil degradation."
526,"Unfavourable soil conditions","High Altitude Mixed (C. Andes)",LAC,"Vulnerability",
527,"Low access to credit","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","The Peruvian Government notes that causes of vulnerability include the lack of access to financial mechanisms for self-protection "
528,"Low level of education","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","The Peruvian Government notes that causes of vulnerability include the lack of training to face disasters"
529,"Lack of road infrastructure","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","The region has inadequate transportation infrastructure which impedes effective mobility and resource distribution."
530,"High poverty levels ","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","One important example of deprivations concerns the housing sector. Housing patterns have resulted in increased susceptibility to harm in Peru. Data shows that still over one third of urban dwellers lived in slums in 2014 (34%), down from 46 per cent in 2000 and almost halved from 66 per cent in 1990."
531,"Unequal opportunities for women ","High Altitude Mixed (C. Andes)",LAC,"Vulnerability","Gender inequalities are also visible in Peru’s human development dimensions: The country had an absolute deviation from gender parity of 5 per cent between genders. This value puts Peru in the second lowest country group of “medium gender equality”. Peru’s deviation from gender parity in HDI achievement is more severe than that the one of its regional peers (only 2.3%)"
532,"Demographic pressure on land","High Altitude Mixed (C. Andes)",LAC,"Vulnerability",
533,"Lack of access to improved crop varieties","High Altitude Mixed (C. Andes)",LAC,"Vulnerability",
534,"Lack of irrigation infrastructure ","High Altitude Mixed (C. Andes)",LAC,"Vulnerability",
535,"Implement reforestation practices","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","Acción Andina (Andes Action), powered by Global Forest Generation, is scaling up a time-tested, 19-year, community reforestation model. Developed and implemented by Peruvian conservation non-profit Asociación Ecosistemas Andinos, it has resulted in the planting of over 3 million native trees, including 1.5 million polylepis. Restoring forests which grow just below the (retreating) glaciers is a cost-effective solution for long-term climate resilience."
536,"Invest in irrigation infrastructure","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","Despite water scarcity, agricultural development in the narrow plains and hillsides of the valey in the andes region has been enhaced by successfull application of modern agronomic practices (e.g soil conditioning and irrigation techniques)                                                                                                                                   "
537,"Invest in water harvesting and storage infrastructure","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","The National Water Authority in peru implemented water resource management in urban areas to climate change from 2014- 2019 fund by GIZ"
538,"Capacity building on sustainable agricultural practices","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","The  Peruvian Agency of international Cooperation the sustainable use and protection of natural resources in Peru from 2013 to 201 funded by GIZ at a budget of $22.3 million"
539,"Diversify livelihoods","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","People in the region often lead multi-site lives or migrate for various reasons, including hazards. Across the region, findings indicate that people use temporary and permanent migration, among many other coping and adaptation strategies, when confronting hazards that erode livelihoods."
540,"Implement efficient water management","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","Efficient water management is guided by water resources policies and strategies for example the incorporation of water supply and availability risk management into the planning instruments."
541,"Apply integrated pest and diseases management","High Altitude Mixed (C. Andes)",LAC,"Adaptation option",
542,"Implement agroforestry practices","High Altitude Mixed (C. Andes)",LAC,"Adaptation option",
543,"Build women's  capacity ","High Altitude Mixed (C. Andes)",LAC,"Adaptation option",
544,"Undertake soil rehabilitation ","High Altitude Mixed (C. Andes)",LAC,"Adaptation option",
545,"Adopt drought tolerant varieties","High Altitude Mixed (C. Andes)",LAC,"Adaptation option",
546,"Apply integrated pest and diseases management","High Altitude Mixed (C. Andes)",LAC,"Adaptation option",
547,"Improve networking and knowledge exchange","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","An example of a networking and knowledge exchange platform is the Andean Forest Monitoring Network which is a communication platform for science and policy in the Andean countries (Red de Bosques Andinos). The goals of the network include stimulating scientific research on Andean forest ecosystems by promoting collaboration among scientists, and serving as a platform to facilitate applied research and communication between scientists and policy makers. Current members of the network include scientists from Argentina, Colombia, Ecuador, Germany, Peru, USA, and representatives of Ministries of Environment and the national Climate Change adaptation programs of Colombia, Bolivia, Ecuador, and Peru. "
548,"Increase awareness of gender equality ","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","Mitigating the negative effects of gender inequalities is not adequately addressed in the climate change adaptation policies of the Andean countries. Though gender norms and sex-specific issues may be explicitly mentioned in some policies, Andean countries have not systematically included gender considerations in adaptation policies; thus, overlooking rampant inequalities."
549,"Develop policies for building climate change resilience","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","Policies for climate change adaptation and the use of scientific evidence to support and guide policymaking is generally weak because of the underdeveloped science-policy interface. This is particularly problematic at the local level of government where adaptation measures addressing the climate challenges for each community must finally be specified. However, there are a numer of national policy instruments on aspects such as Funding, Adaptation targets, Multisectoral articulation, Implementation tools, Mountain adaptation and daptation programmes"
550,"Implement disaster recovery strategies","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","National System for Disaster Risk Management (SINAGERD) is in charge of pre-and-post disaster actions in Peru and is supported at the highest political level. SINAGERD coordinates the participation and responsibilities of different ministries, including the Ministry of the Environment and the National Service of Meteorology and Hydrology. "
551,"Increase awareness of gender equality ","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","Women have a profound knowledge of their environment and often play a greater role than men in the management of natural resources. Through their experiences, responsibilities and strength, women are a primary resource for adaptation and their roles should be strengthened by government. Bolivia and columbia understands risk management and climate change adaptation as complementary strategies, although the responsibility for these rests with different institutions and thus requires coordination."
552,"Improve access to climate information services","High Altitude Mixed (C. Andes)",LAC,"Adaptation option",
553,"Improve access to risk insurance schemes","High Altitude Mixed (C. Andes)",LAC,"Adaptation option","Assistance is being provided to develop and expand agricultural insurance. For example farmers in Peru can obtain cover for crop failures caused by extreme weather events through an initiative from the Peruvian Ministry of Agriculture that is setting up a risk transfer system with agricultural insurance products, with the support of GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH) and the reinsurer Munich Re. This enables farmers with insurance to recover more quickly from crop failures"
554,"Establish payment for ecosystem services schemes","High Altitude Mixed (C. Andes)",LAC,"Adaptation option",
555,"Improve access to markets","High Altitude Mixed (C. Andes)",LAC,"Adaptation option",
556,"Farmers engaged in agri system","High Altitude Mixed (C. Andes)",LAC,"Exposure","The Agricultural population of farmers in the High Altitude Mixed (Central Andes) Farming System is 7 million and this population is grappling with the impats of climate change."
557,"Area of land used","High Altitude Mixed (C. Andes)",LAC,"Exposure","Peru has 7.6 million hectares suitable for agricultural production, around 17 million hectares can be used for pasture, around 55 million hectares are protected land, and around 19 million hectares are natural areas. The agricultural area not used in the early 2010s was almost 0.8 million hectares, mostly due to lack of water and lack of credit, but also due to lack of labour and seeds, erosion and saltiness"
558,"Food insecurity","High Altitude Mixed (C. Andes)",LAC,"Risk","Farmers in the region always have had to deal with natural phenomena such as El Niño and extreme weather events, but climate change will add on top of these existing hazards which affect food security. With 80 per cent of farmers in Peru practicing subsistence farming, increased climate risks in the agricultural sector will directly affect food security and livelihoods of the farmers"
559,"Loss of livelihoods ","High Altitude Mixed (C. Andes)",LAC,"Risk","Human interventions also stress ecosystems and agricultural livelihoods, for example, mentions deforestation resulting in additional emissions, land-use conflicts, threatened biodiversity and changed hydrological regimes. Land-grabbing and the production of crops for bioethanol and palm oil may also compete with food production. The overuse of resources (e.g. overgrazing), can result in erosion and loss of soil."
560,"Chronic poverty ","High Altitude Mixed (C. Andes)",LAC,"Risk",
561,"Increase in drought events","Irrigated",LAC,"Hazard","Irrigated agricultural areas of Central and South America are subject to an increasing frequency and severity of drought and worsening aridification. For example, in Mexico, rainfall patterns are influenced by the El Niño Southern Oscillation, which increases drought during the dry season. Northern Mexico has experienced frequent drought events. Since 2010, Chile has suffered a mega-drought event, and according to climate change projections, will likely see increases in drought frequency. In Central-Western Argentina, hydrological drought severity has increased since 2017 and is affecting several river basins."
562,"Decrease in average precipitation","Irrigated",LAC,"Hazard","In general, decreases in average precipitation are expected for the arid and semi-arid irrigated agricultural areas of Central and South America. For example, rainfall is projected to decrease substantially across Mexico, especially during the December-February and June-August periods; and Chile is projected to experience decreases in precipitation in its central and southern areas. In the western areas of Argentina, sharp decreases in rainfall are projected for areas of higher elevations, especially during the winter months."
563,"Increase in average temperatures","Irrigated",LAC,"Hazard","Central and South America has experienced a warming of 0.2˚C–0.3˚C per decade since 1980 and a warming of  1.8˚C–3.9 ˚C and 1.9˚C–5.0˚C is projected by 2100, respectively. Maximum and minimum temperatures are projected to increase across Mexico, especially during June-August in the central valley and Chile is projected to experience increases in temperature across the country. In Peru's central coastal lowlands, maximum and minimum temperatures are projected to increase."
564,"Increase in extreme heat (no. of hot days)","Irrigated",LAC,"Hazard","Extreme heat is projected for Argentina, with heat waves impacting the northern region the most, however, some areas to the south west have already experienced an increase in days with extreme heat. The maximum and minimum temperatures are projected to increase by about 1°C across much of the country, although the increase could be as great as 2°C at higher elevations and latitudes."
565,"Increase in extreme rainfall events","Irrigated",LAC,"Hazard","In Peru and Chile, the increasing frequency of El Niño/La Niña events due to climate change leads to extreme rainfall events. In northern Mexico, monsoon rainfall is extremely variable in time and space and is characterised by short, intense events and extreme thunderstorms. "
566,"Rising sea levels","Irrigated",LAC,"Hazard","Sea levels are expected to rise by 0.2–1.1 mm depending on the warming level and area."
567,"Decrease in snowfall","Irrigated",LAC,"Hazard","Climate change is reducing snow accumulation in the Andes mountain range. "
568,"Reduced crop productivity/failure","Irrigated",LAC,"Impact","Climate change hazards typical of the irrigated agricultural system, such as drought, increasing temperatures, hurricanes and flooding have adverse impacts on crop productivity and in some instances can cause complete crop failure."
569,"Increase in pests ","Irrigated",LAC,"Impact","Changes in temperature and rainfall patterns are conducive to outbreaks of agricultural pests."
570,"Increased flooding","Irrigated",LAC,"Impact","Incidences of flooding are expected to increase due to El Niño/La Niña events, increases in hurricanes and extreme rainfall events and sea level rise from the melting of ice-sheets."
571,"Increase in diseases","Irrigated",LAC,"Impact","Changes in temperature and rainfall patterns are conducive to outbreaks of agricultural diseases."
572,"Soil salinisation","Irrigated",LAC,"Impact","Increased groundwater extraction for irrigation due to surface water scarcity, can lead to saltwater intrusion in aquifers and soil salinisation. "
573,"Saline intrusion","Irrigated",LAC,"Impact","Increased groundwater extraction for irrigation due to surface water scarcity, can lead to saltwater intrusion in aquifers and soil salinisation. "
574,"Reduced produce quality","Irrigated",LAC,"Impact","Changes in climate such as heavy rainfall and increases in temperature and solar radiation affect plant physiological processes and fruit and vegetable quality. For example, increases in temperature can affect the sweetness of fruit and vegetables in the irrigated agricultural system."
575,"Reduced livestock productivity","Irrigated",LAC,"Impact","Climate change hazards such as drought, flooding and extreme temperatures can cause livestock mortalities and reduced productivity. "
576,"Reduced fodder availability","Irrigated",LAC,"Impact","Changes in water availability associated with climatic hazards can greatly affect forage and crop yields and feed quality."
577,"Reduced forage availability","Irrigated",LAC,"Impact","Changes in water availability associated with climatic hazards can greatly affect forage and crop yields and feed quality."
578,"Land degradation","Irrigated",LAC,"Impact","Land degradation is a decline in land condition due to direct or indirect human-induced processes including anthropogenic climate change. Land-use change and unsustainable land management practices are direct human drivers of land degradation. Climate change enhances the rate and magnitude of land degradation processes."
579,"Limited water available for irrigation","Irrigated",LAC,"Impact","Climate change hazards such as drought, reduced rainfall and higher temperatures in conjunction with the unsustainable use of water resources limits the amount of water available to meet irrigation needs. "
580,"Water scarcity","Irrigated",LAC,"Impact","Projected increases in drought, reduced rainfall and higher temperatures in conjunction with agricultural expansion and increased water extraction for irrigation is expected to enhance water scarcity."
581,"Increase in soil water deficit","Irrigated",LAC,"Impact","Deficits in soil moisture are caused by climate change hazards such as reduced precipitation, drought and high temperatures. "
582,"Increase in heat stress","Irrigated",LAC,"Impact",
583,"Reduced groundwater tables","Irrigated",LAC,"Impact","Increasing incidences of drought, reduced rainfall and higher temperatures in conjunction with enhanced groundwater extraction are leading to a decline groundwater tables. "
584,"Increase in food insecurity","Irrigated",LAC,"Impact","Climate change is expected to have an adverse impact on agricultural production and food security in the irrigated drylands of Central and South America. For example, in Chile, drought is projected to have a significant impact on the production of fruit farmers. In Mexico, farmers highlighted drought as the main cause for agricultural losses, with Baja California, Sonora, and Sinaloa being badly affected. In Central-West Argentina, drought (2010/2011- 2014/2015) resulted in water shortages reducing grape and seasonal crop production as well as the loss of livestock, resulting in a decrease in regional food security."
585,"Loss of income","Irrigated",LAC,"Impact","Adverse climate change effects on agricultural productivity will cause a decline in the incomes of rural households."
586,"Increase in poverty","Irrigated",LAC,"Impact","Climate change can negatively impact upon agricultural productivity thereby enhancing rural poverty levels."
587,"Lack of willingness to invest in sustainable agricultural practices","Irrigated",LAC,"Impact","Farmers with limited access to financial resources are less willing to invest in modern technology and sustainable farming practices. "
588,"Weak land tenure and access rights for women","Irrigated",LAC,"Vulnerability","In Central and South America, women engaged in agricultural activities are typically excluded from extension systems and denied access to benefits from climate de-risking, higher-profitability options and information, thereby limiting their ability to sustainably improve their agricultural activities. Land tenure systems also tend to be unequal, for example, 15% of agricultural units are owned by women in Central America, and 23% in South America. In Mexico, less than 33% of all landowners are women."
589,"Inadequate regulation of water resources","Irrigated",LAC,"Vulnerability","Poor water use regulation has led to an overexploitation of water resources in the irrigation agricultural system. For example, Chile’s hydrological regulation capacity lacks coordination between institutions and is challenged by data deficits."
590,"Unequal opportunities for women ","Irrigated",LAC,"Vulnerability","In Central and South America, women engaged in agricultural activities are typically excluded from extension systems and denied access to benefits from climate de-risking, higher-profitability options and information, thereby limiting their ability to sustainably improve their agricultural activities."
591,"Inadequate climate information services","Irrigated",LAC,"Vulnerability","There is a need for improved monitoring and information distribution on climate hazards and impacts affecting the irrigated agricultural system.  For example, there is a need for improved monitoring of snowfall and groundwater levels in Central-West Argentina. Improved hydrometeorological forecasts will enable farmers' to make informed decisions. "
592,"Weak land tenure ","Irrigated",LAC,"Vulnerability","In general, the Latin America and Caribbean region lacks regularisation of land tenure and access to land. Furthermore, weak policies promote environmentally irresponsible investments contributing to the deterioration of the region's natural resources affecting the productive base on which the agricultural sector depends. "
593,"Low access to credit","Irrigated",LAC,"Vulnerability","A lack of access to credit was highlighted as a key vulnerability in Mexico and Chile. For example, in Mexico, access to financial resources is a major challenge, with only 1.5% of financial products channelled to the rural sector."
594,"Water scarce area","Irrigated",LAC,"Vulnerability","The irrigated agricultural system is found in arid areas of Northern and Central Mexico and coastal and inland valley areas of Peru, Chile and Western Argentina. Water scarcity challenges affect over 49% of Mexico, with the northern region facing frequent droughts. In Chile, climate change is affecting water resources, both from the demand and supply side. The agricultural sector in Chile constitutes 82% of total consumptive water extraction at the national level and the country is currently classified as being in a state of “high” to “extremely high” water stress. The Peruvian coastline is the most arid region of the country."
595,"Limited uptake of modern technologies","Irrigated",LAC,"Vulnerability","There is a low level of adoption of improved irrigation technology. For example, in Central Chile, only 30% of farmers interviewed used new technologies and efficient irrigation systems."
596,"Poor water use efficiency and management","Irrigated",LAC,"Vulnerability","Water use efficiency is typically low in the irrigated agricultural system due to a low adoption of modern irrigation technology, a lack of maintenance of water storage and irrigation infrastructure and inefficient practices. For example, Mexico's National Water Plan (2019–2024) identifies inefficient water use as a key issue in the agricultural sector, which generates water losses of more than 40%."
597,"Unsustainable land management practices","Irrigated",LAC,"Vulnerability","Crop and livestock production are generally unsustainable and negatively impact natural resources. For example, unsustainable production has led to environmental challenges such as soil erosion and salinisation, overexploitation of aquifers, contamination of freshwater bodies and ecosystem damage. Unsustainable practices are the result of unclear land tenure rights, inefficient public policies, and a lack of knowledge of sustainable agricultural practices."
598,"High demand for irrigation water","Irrigated",LAC,"Vulnerability","Increasing aridity and agricultural expansion have increased the demand for irrigation water. For example, there is growing pressure on water resources for grape production in Mexico. In Peru, water demand is increasing to produce export goods with high water needs, such as asparagus, grapes, avocado and blueberries."
599,"Invest in water harvesting and storage infrastructure","Irrigated",LAC,"Adaptation option","There is a need to invest in rainwater harvesting and storage infrastructure to allow for irrigation when faced with water shortages. For example, in Mexico, farmers are using reservoirs and rainwater harvesting systems."
600,"Invest in agricultural research and development","Irrigated",LAC,"Adaptation option","In general, there is a need to invest in research on the impacts of climate change on the irrigated agricultural system. There is a lack of Latin American case studies on the impacts of drought on water quality and most importantly, its relation to irrigated agriculture. In Mexico, there has been a recent push for innovation, research, technology development, and education in the agricultural sector. However, research focusing on the sustainable use of water in agriculture is still in its infancy, but it is becoming a priority field."
601,"Implement efficient water management","Irrigated",LAC,"Adaptation option","There is a need to implement efficient water resources planning and management in the irrigated agricultural sector to ensure sustainable use that does not exceed replenishment cycles in the face of climate change. "
602,"Implement water conservation irrigation","Irrigated",LAC,"Adaptation option","Water conservation irrigation such as drip irrigation, micro sprinkling, irrigation scheduling, furrow flooding, amongst other techniques, are important in ensuring crops are watered efficiently. Practices should be tailored to the local context."
603,"Implement climate smart agriculture practices","Irrigated",LAC,"Adaptation option","Climate smart agricultural practices can be used to enhance the resilience of farmers engaged in the irrigated agricultural system. Examples of relevant practices include agroforestry, silvopastoralism, improved crop varieties and cattle breeds, shade nets, crop residue mulches, controlled environments or plastic sheeting on the soil surface. "
604,"Build capacity on water use efficiency","Irrigated",LAC,"Adaptation option","Water resource governance can be strengthened in the irrigated agricultural system by establishing water user associations and conducting training, and raising awareness on efficient water use and water conservation practices."
605,"Establish water user associations","Irrigated",LAC,"Adaptation option","Associations for groundwater use are needed to regulate consumption."
606,"Improve networking and knowledge exchange","Irrigated",LAC,"Adaptation option","Collaboration between researchers and national water authorities is key to improving water management decision making. For example, groundwater modelling can inform extraction limits in irrigated agricultural systems to reduce future challenges surrounding overexploitation and water scarcity."
607,"Land tenure reform","Irrigated",LAC,"Adaptation option","Land tenure reform that addresses inequalities in ownership and resource access and encourages sustainable natural resource use is key to improving the productive base on which the region's agricultural sector depends. "
608,"Improve regulation of groundwater extraction","Irrigated",LAC,"Adaptation option","There is a need for improved regulation of groundwater extraction for irrigated agricultural production. For example, in Chile, regulations focused on surface water extraction, which lead to an overextraction of groundwater and significant reductions in groundwater levels. Groundwater regulation in Chile can be  improved by bettering horizontal and vertical inter-institutional coordination as well as strengthening the institutions themselves."
609,"Incentivise sustainable natural resource use","Irrigated",LAC,"Adaptation option","Economic incentive mechanisms can be used to improve water use efficiency in the irrigated agricultural system."
610,"Build climate information services","Irrigated",LAC,"Adaptation option","There is a need to improve agroclimatic information and early warning systems, especially in areas of greatest vulnerability."
611,"Develop policies for building climate change resilience","Irrigated",LAC,"Adaptation option","The resilience of farmers engaged in irrigated agricultural systems to water scarcity could be improved through better monitoring of hydrological conditions and the development/improvement of water management plans."
612,"Improve access to credit","Irrigated",LAC,"Adaptation option","Improving access to credit will enable farmers to adopt modern technology. In Chile, a lack of access to credit was identified as the main factor influencing the adoption of new technology. "
613,"Farmers engaged in agri system","Irrigated",LAC,"Exposure","The irrigated agricultural system supported a population of close to 11 million people in 2001, this number will have grown significantly over the past decade."
614,"Food insecurity","Irrigated",LAC,"Risk","Climate change is a driver of yield and productivity gaps and ultimately food insecurity in the region."
615,"Loss of livelihoods ","Irrigated",LAC,"Risk","Climate change is a driver of yield and productivity gaps, ultimately affecting the viability of the irrigated agricultural system and the livelihoods that depend on it."
616,"Increase in average temperatures","Maize-beans (Mesoamerica)",LAC,"Hazard","Central America is highly exposed, vulnerable and strongly impacted by climate change. Several extreme events are already impacting the region and are projected to intensify, such as increasing average temperatures. Climate projections suggest increases in temperature across Latin America by 2100 (medium confidence). Under a range of medium and high emissions scenarios (RCPs 4.5 and 8.5), warming varies from +1.6°C to +4°C in Central America (medium confidence). A survey of 860 smallholder farmers in Central America highlighted increasing temperature as the most recognised climate related hazard (mentioned by 96.1% of farmers)."
617,"Decrease in average precipitation","Maize-beans (Mesoamerica)",LAC,"Hazard","Reduced precipitation and altered rainfall seasons are impacting rainfed subsistence farming particularly in the Dry Corridor in Central America. Global Climate and Earth System Models indicate that Central America is projected to become distinctly drier in the future. Rainfall changes for Central America range from between -22% to +7% by 2100. In Central America, 68.6% (n=860) of surveyed smallholder farmers mentioned that annual rainfall had decreased."
618,"Increase in drought events","Maize-beans (Mesoamerica)",LAC,"Hazard","Central America is highly exposed, vulnerable and strongly impacted by climate change. Several extreme events are already impacting the region and are projected to intensify, such as increasing frequency and severity of droughts. Of 860 smallholder farmers surveyed in Guatemala, Honduras and Costa Rica, 57.3% reported having been impacted by droughts. In Chiquimula, Choluteca and Yoro, drought was the main climatic stress for smallholder farmers."
619,"Increase in extreme rainfall events","Maize-beans (Mesoamerica)",LAC,"Hazard","Since the mid-20th century, the magnitude and frequency of extreme precipitation events has increased in Central America."
620,"Increase in tropical cyclones/hurricanes","Maize-beans (Mesoamerica)",LAC,"Hazard","Climate change models indicate an increase in the frequency and intensity of extreme weather events in Central America. The region is strongly affected by hurricanes. Of 860 smallholder farmers surveyed in Guatemala, Honduras and Costa Rica, 32.1% reported having been impacted by hurricanes."
621,"Increasingly erratic rainfall","Maize-beans (Mesoamerica)",LAC,"Hazard","Altered rainfall seasons are impacting rainfed subsistence farming particularly in the Dry Corridor in Central America. Climate models project erratic rainfall will increase in the region. "
622,"Increased flooding","Maize-beans (Mesoamerica)",LAC,"Impact","Countries in Central America have experienced an increasing amount of flooding. Urban and rural areas will continue to be affected by flooding due to extreme rainfall events (high confidence)."
